system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,376.89"
3-Jan-08,"12,895.27"
4-Jan-08,"13,276.12"
5-Jan-08,"13,467.67"
6-Jan-08,
7-Jan-08,
8-Jan-08,"13,977.10"
9-Jan-08,
10-Jan-08,"13,791.73"
11-Jan-08,
12-Jan-08,
13-Jan-08,"13,743.48"
14-Jan-08,
15-Jan-08,"13,496.11"
16-Jan-08,"13,456.80"
17-Jan-08,"12,869"
18-Jan-08,"13,657.74"
19-Jan-08,
20-Jan-08,"13,265.89"
21-Jan-08,"13,188.74"
22-Jan-08,
23-Jan-08,"13,536.10"
24-Jan-08,
25-Jan-08,"13,342.40"
26-Jan-08,"13,362.85"
27-Jan-08,
28-Jan-08,"13,573.47"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,602.05"
1-Feb-08,
2-Feb-08,"13,777.00"
3-Feb-08,
4-Feb-08,"13,730.80"
5-Feb-08,
6-Feb-08,
7-Feb-08,"12,698.19"
8-Feb-08,
9-Feb-08,"12,857"
10-Feb-08,
11-Feb-08,"13,218.21"
12-Feb-08,"13,318.50"
13-Feb-08,
14-Feb-08,"13,629.60"
15-Feb-08,
16-Feb-08,"13,399.08"
17-Feb-08,
18-Feb-08,
19-Feb-08,
20-Feb-08,"13,415.73"
21-Feb-08,"13,435.72"
22-Feb-08,"12,966.24"
23-Feb-08,"13,551.97"
24-Feb-08,"13,621.33"
25-Feb-08,"13,747.87"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,242.39"
1-Mar-08,
2-Mar-08,"13,593.56"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,604.94"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,612.06"
10-Mar-08,
11-Mar-08,"13,673.19"
12-Mar-08,"13,507.68"
13-Mar-08,"13,654.88"
14-Mar-08,"13,624.92"
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,750.94"
18-Mar-08,"13,821.23"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,657.82"
23-Mar-08,"13,730.65"
24-Mar-08,"13,692"
25-Mar-08,"13,700.30"
26-Mar-08,
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,438.51"
30-Mar-08,"13,832.67"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,800.18"
3-Apr-08,"13,902.14"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"14,061.64"
8-Apr-08,"13,906.56"
9-Apr-08,"14,012.40"
10-Apr-08,"14,588.21"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"14,249.60"
15-Apr-08,"14,502.40"
16-Apr-08,"14,610.74"
17-Apr-08,"14,733.89"
18-Apr-08,"15,092.20"
19-Apr-08,"14,751.29"
20-Apr-08,"14,485.38"
21-Apr-08,"14,667.23"
22-Apr-08,"14,655.63"
