system:time_start,tmax
1-Jan-08,0.389
2-Jan-08,-0.686
3-Jan-08,-7.485
4-Jan-08,-8.511
5-Jan-08,-1.565
6-Jan-08,2.486
7-Jan-08,5.121
8-Jan-08,11.946
9-Jan-08,13.511
10-Jan-08,9.5
11-Jan-08,5.5
12-Jan-08,5.164
13-Jan-08,5.5
14-Jan-08,1.533
15-Jan-08,-1.615
16-Jan-08,-0.662
17-Jan-08,-1.392
18-Jan-08,2.962
19-Jan-08,3
20-Jan-08,-1
21-Jan-08,-5.126
22-Jan-08,-2.118
23-Jan-08,0.61
24-Jan-08,-1.314
25-Jan-08,-3.489
26-Jan-08,-2.511
27-Jan-08,-2
28-Jan-08,0.626
29-Jan-08,3.926
30-Jan-08,5.771
31-Jan-08,3.012
1-Feb-08,0.105
2-Feb-08,4.475
3-Feb-08,3.611
4-Feb-08,3.929
5-Feb-08,2.54
6-Feb-08,1.548
7-Feb-08,0.286
8-Feb-08,-3.391
9-Feb-08,-1.05
10-Feb-08,2.024
11-Feb-08,-1.63
12-Feb-08,-5.133
13-Feb-08,-0.422
14-Feb-08,1.417
15-Feb-08,2.952
16-Feb-08,0.041
17-Feb-08,-0.722
18-Feb-08,6.861
19-Feb-08,6.946
20-Feb-08,2.437
21-Feb-08,-2.5
22-Feb-08,-3.945
23-Feb-08,-1.238
24-Feb-08,2.2
25-Feb-08,4.003
26-Feb-08,3.5
27-Feb-08,2.28
28-Feb-08,-0.104
29-Feb-08,-4.125
1-Mar-08,-1.529
2-Mar-08,1.845
3-Mar-08,3.467
4-Mar-08,8.807
5-Mar-08,7.829
6-Mar-08,3.117
7-Mar-08,4.59
8-Mar-08,4.5
9-Mar-08,4.568
10-Mar-08,-0.594
11-Mar-08,0.814
12-Mar-08,4.063
13-Mar-08,3.528
14-Mar-08,5.633
15-Mar-08,5.746
16-Mar-08,3.766
17-Mar-08,4.5
18-Mar-08,5.532
19-Mar-08,4.842
20-Mar-08,3.054
21-Mar-08,2.5
22-Mar-08,1.702
23-Mar-08,3.25
24-Mar-08,2.999
25-Mar-08,2.976
26-Mar-08,7.684
27-Mar-08,10.036
28-Mar-08,6.473
29-Mar-08,0.043
30-Mar-08,3.497
31-Mar-08,5.224
1-Apr-08,8.666
2-Apr-08,11.142
3-Apr-08,8.612
4-Apr-08,7
5-Apr-08,6.959
6-Apr-08,7.183
7-Apr-08,6.752
8-Apr-08,9.27
9-Apr-08,10.665
10-Apr-08,16.259
11-Apr-08,14.891
12-Apr-08,11.484
13-Apr-08,10.453
14-Apr-08,9.253
15-Apr-08,11.585
16-Apr-08,14.463
17-Apr-08,16.471
18-Apr-08,21.605
19-Apr-08,20.751
20-Apr-08,16.998
21-Apr-08,15.766
22-Apr-08,19.928
23-Apr-08,24.854
24-Apr-08,24.048
25-Apr-08,18.861
26-Apr-08,16.396
27-Apr-08,12.577
28-Apr-08,11
29-Apr-08,11.013
30-Apr-08,10.79
1-May-08,11.737
2-May-08,12.5
3-May-08,10.527
4-May-08,7.748
5-May-08,14.228
6-May-08,19.982
7-May-08,22.138
8-May-08,24.141
9-May-08,21.268
10-May-08,17.141
11-May-08,17.284
12-May-08,16.474
13-May-08,18.665
14-May-08,20.079
15-May-08,19.238
16-May-08,19.5
17-May-08,19.783
18-May-08,21.238
19-May-08,18.245
20-May-08,17.763
21-May-08,18.31
22-May-08,16.712
23-May-08,17.723
24-May-08,19.905
25-May-08,21.636
26-May-08,25.456
27-May-08,28
28-May-08,23.261
29-May-08,22.826
30-May-08,22.468
31-May-08,18.473
1-Jun-08,20.776
2-Jun-08,23.948
3-Jun-08,23.94
4-Jun-08,19.673
5-Jun-08,16.732
6-Jun-08,15.789
7-Jun-08,18.996
8-Jun-08,29.728
9-Jun-08,30.894
10-Jun-08,28.091
11-Jun-08,29.415
12-Jun-08,26.215
13-Jun-08,25.741
14-Jun-08,24.977
15-Jun-08,20.473
16-Jun-08,15.97
17-Jun-08,19.579
18-Jun-08,21.406
19-Jun-08,21.5
20-Jun-08,21.936
21-Jun-08,22.543
22-Jun-08,23.525
23-Jun-08,23.747
24-Jun-08,24.534
25-Jun-08,26.397
26-Jun-08,27.248
27-Jun-08,26.77
28-Jun-08,22.739
29-Jun-08,19.89
30-Jun-08,25.927
1-Jul-08,27.979
2-Jul-08,27.965
3-Jul-08,28.673
4-Jul-08,25.872
5-Jul-08,24.637
6-Jul-08,25.812
7-Jul-08,28.364
8-Jul-08,30.528
9-Jul-08,30.825
10-Jul-08,29.504
11-Jul-08,25.284
12-Jul-08,23.971
13-Jul-08,25.585
14-Jul-08,26.885
15-Jul-08,27.639
16-Jul-08,28.356
17-Jul-08,30
18-Jul-08,29
19-Jul-08,29.038
20-Jul-08,26.449
21-Jul-08,23.232
22-Jul-08,24.199
23-Jul-08,23
24-Jul-08,22.713
25-Jul-08,25.097
26-Jul-08,27.452
27-Jul-08,27.322
28-Jul-08,27.496
29-Jul-08,28.367
30-Jul-08,27.412
31-Jul-08,26
1-Aug-08,24.966
2-Aug-08,24.009
3-Aug-08,23.304
4-Aug-08,25
5-Aug-08,23.124
6-Aug-08,20
7-Aug-08,18.106
8-Aug-08,18.394
9-Aug-08,20.869
10-Aug-08,23.5
11-Aug-08,21.119
12-Aug-08,19.509
13-Aug-08,23.218
14-Aug-08,24.311
15-Aug-08,25.056
16-Aug-08,25
17-Aug-08,26.392
18-Aug-08,27.419
19-Aug-08,24.5
20-Aug-08,22.368
21-Aug-08,24.479
22-Aug-08,26.647
23-Aug-08,26.848
24-Aug-08,24.927
25-Aug-08,25.977
26-Aug-08,24.995
27-Aug-08,24.013
28-Aug-08,25
29-Aug-08,23.248
30-Aug-08,24.945
31-Aug-08,26
1-Sep-08,26.319
2-Sep-08,26
3-Sep-08,25.235
4-Sep-08,27.768
5-Sep-08,26.188
6-Sep-08,24.299
7-Sep-08,24.723
8-Sep-08,23.761
9-Sep-08,21.527
10-Sep-08,19.388
11-Sep-08,19.06
12-Sep-08,18
13-Sep-08,20.517
14-Sep-08,21.747
15-Sep-08,24.268
16-Sep-08,22.261
17-Sep-08,18.615
18-Sep-08,18.926
19-Sep-08,15.5
20-Sep-08,15.506
21-Sep-08,20.204
22-Sep-08,19.413
23-Sep-08,16.233
24-Sep-08,17.65
25-Sep-08,18.245
26-Sep-08,17.007
27-Sep-08,17.862
28-Sep-08,18.897
29-Sep-08,20.355
1-Oct-08,16.53
2-Oct-08,16.282
3-Oct-08,15.294
4-Oct-08,14.714
5-Oct-08,14.994
6-Oct-08,14.012
7-Oct-08,15.756
8-Oct-08,18
9-Oct-08,20.53
10-Oct-08,21
11-Oct-08,19.262
12-Oct-08,18.434
13-Oct-08,15.949
14-Oct-08,14.847
15-Oct-08,15.674
16-Oct-08,15.235
17-Oct-08,13.958
18-Oct-08,12.453
19-Oct-08,10.5
20-Oct-08,11.916
21-Oct-08,13.414
22-Oct-08,9.426
23-Oct-08,8.131
24-Oct-08,12.85
25-Oct-08,14.5
26-Oct-08,16.9
27-Oct-08,17.497
28-Oct-08,14.5
29-Oct-08,8.601
30-Oct-08,6.302
31-Oct-08,10.089
1-Nov-08,11.321
2-Nov-08,8.318
3-Nov-08,7.666
4-Nov-08,12.654
5-Nov-08,17.834
6-Nov-08,16.449
7-Nov-08,15.094
8-Nov-08,14.438
9-Nov-08,13.496
10-Nov-08,11.388
11-Nov-08,8.331
12-Nov-08,6.72
13-Nov-08,6.768
14-Nov-08,9.131
15-Nov-08,13.525
16-Nov-08,15.997
17-Nov-08,10.285
18-Nov-08,5.622
19-Nov-08,1.022
20-Nov-08,-0.712
21-Nov-08,-0.808
22-Nov-08,-1.871
23-Nov-08,-1.869
24-Nov-08,1.333
25-Nov-08,7.194
26-Nov-08,9
27-Nov-08,5.999
28-Nov-08,4.716
29-Nov-08,4.881
30-Nov-08,3.519
1-Dec-08,3.882
2-Dec-08,6.022
3-Dec-08,5.963
4-Dec-08,5.708
5-Dec-08,4.363
6-Dec-08,0.782
7-Dec-08,-0.087
8-Dec-08,-3.5
9-Dec-08,-1.067
10-Dec-08,12.626
11-Dec-08,6.938
12-Dec-08,1.794
13-Dec-08,-0.948
14-Dec-08,-1.4
15-Dec-08,8.705
16-Dec-08,12.772
17-Dec-08,-0.002
18-Dec-08,-1.028
19-Dec-08,-1.961
20-Dec-08,-7.931
21-Dec-08,-8.6
22-Dec-08,-5.608
23-Dec-08,-5.091
24-Dec-08,1.822
25-Dec-08,9.505
26-Dec-08,2.173
27-Dec-08,1.715
28-Dec-08,9.284
29-Dec-08,9
30-Dec-08,4.5
1-Jan-09,-8.495
2-Jan-09,-5.875
3-Jan-09,-2.225
4-Jan-09,-0.789
5-Jan-09,1.696
6-Jan-09,1.5
7-Jan-09,-1.328
8-Jan-09,-0.142
9-Jan-09,-0.816
10-Jan-09,-3.803
11-Jan-09,-5.004
12-Jan-09,-4.666
13-Jan-09,-1.547
14-Jan-09,0.629
15-Jan-09,-8.126
16-Jan-09,-10.231
17-Jan-09,-9.137
18-Jan-09,-7.272
19-Jan-09,-3.72
20-Jan-09,-1.682
21-Jan-09,-3.5
22-Jan-09,-2.266
23-Jan-09,-0.804
24-Jan-09,-0.97
25-Jan-09,-3.5
26-Jan-09,-6.488
27-Jan-09,-5.185
28-Jan-09,-3.039
29-Jan-09,-0.38
30-Jan-09,0.748
31-Jan-09,-0.5
1-Feb-09,-2.482
2-Feb-09,2.44
3-Feb-09,4
4-Feb-09,-3
5-Feb-09,-6.5
6-Feb-09,-6.528
7-Feb-09,-0.534
8-Feb-09,8.116
9-Feb-09,3.999
10-Feb-09,-0.454
11-Feb-09,5.69
12-Feb-09,9.304
13-Feb-09,5.522
14-Feb-09,-0.12
15-Feb-09,2.993
16-Feb-09,2.402
17-Feb-09,1.9
18-Feb-09,1.917
19-Feb-09,2.335
20-Feb-09,0.2
21-Feb-09,-0.191
22-Feb-09,2.566
23-Feb-09,2
24-Feb-09,-0.513
25-Feb-09,-0.43
26-Feb-09,2.645
27-Feb-09,6.772
28-Feb-09,7.986
1-Mar-09,-1.561
2-Mar-09,-5.004
3-Mar-09,-3.29
4-Mar-09,-2.328
5-Mar-09,0.192
6-Mar-09,4.55
7-Mar-09,10.276
8-Mar-09,11.616
9-Mar-09,6.508
10-Mar-09,2.995
11-Mar-09,6.526
12-Mar-09,4.97
13-Mar-09,-0.567
14-Mar-09,4.283
15-Mar-09,9.288
16-Mar-09,7.262
17-Mar-09,5.265
18-Mar-09,9.138
19-Mar-09,10.334
20-Mar-09,6.699
21-Mar-09,4.619
