system:time_start,tmin
1-Jan-08,-10.743
2-Jan-08,-12.801
3-Jan-08,-21.596
4-Jan-08,-22.457
5-Jan-08,-16.447
6-Jan-08,-7.858
7-Jan-08,-2.825
8-Jan-08,-0.025
9-Jan-08,2.321
10-Jan-08,0.126
11-Jan-08,-2.454
12-Jan-08,-2.085
13-Jan-08,-5.402
14-Jan-08,-6.215
15-Jan-08,-9.808
16-Jan-08,-12.454
17-Jan-08,-16.087
18-Jan-08,-9.386
19-Jan-08,-7.218
20-Jan-08,-10.591
21-Jan-08,-16.689
22-Jan-08,-15.809
23-Jan-08,-9.732
24-Jan-08,-11.123
25-Jan-08,-16.64
26-Jan-08,-14.416
27-Jan-08,-9.78
28-Jan-08,-9.268
29-Jan-08,-8.316
30-Jan-08,-5.702
31-Jan-08,-8.341
1-Feb-08,-7.1
2-Feb-08,-4.473
3-Feb-08,-2.997
4-Feb-08,-4.564
5-Feb-08,-2.069
6-Feb-08,-0.93
7-Feb-08,-5.505
8-Feb-08,-8.18
9-Feb-08,-13.676
10-Feb-08,-10.403
11-Feb-08,-13.396
12-Feb-08,-17.572
13-Feb-08,-12.969
14-Feb-08,-6.254
15-Feb-08,-7.327
16-Feb-08,-13.797
17-Feb-08,-15.736
18-Feb-08,-7.399
19-Feb-08,-2.921
20-Feb-08,-9.158
21-Feb-08,-14.34
22-Feb-08,-14.528
23-Feb-08,-11.436
24-Feb-08,-13.637
25-Feb-08,-12.124
26-Feb-08,-8.888
27-Feb-08,-5.347
28-Feb-08,-11.16
29-Feb-08,-21.294
1-Mar-08,-13.781
2-Mar-08,-7.834
3-Mar-08,-13.335
4-Mar-08,-5.389
5-Mar-08,-3.402
6-Mar-08,-5.998
7-Mar-08,-5.237
8-Mar-08,-0.614
9-Mar-08,-4.131
10-Mar-08,-10.794
11-Mar-08,-12.594
12-Mar-08,-8.216
13-Mar-08,-7.62
14-Mar-08,-4.408
15-Mar-08,-1.481
16-Mar-08,-1.518
17-Mar-08,-3.753
18-Mar-08,-8.189
19-Mar-08,-4.988
20-Mar-08,-0.042
21-Mar-08,-4.878
22-Mar-08,-6.385
23-Mar-08,-7.113
24-Mar-08,-10.611
25-Mar-08,-9.279
26-Mar-08,-4.83
27-Mar-08,-3.831
28-Mar-08,-2.426
29-Mar-08,-6.465
30-Mar-08,-8.479
31-Mar-08,-6.706
1-Apr-08,-1.117
2-Apr-08,-0.412
3-Apr-08,-3.161
4-Apr-08,-0.883
5-Apr-08,0.714
6-Apr-08,0.345
7-Apr-08,-1.775
8-Apr-08,-3.675
9-Apr-08,-3.231
10-Apr-08,0.882
11-Apr-08,0.117
12-Apr-08,2.415
13-Apr-08,-0.211
14-Apr-08,-2
15-Apr-08,-2.533
16-Apr-08,-2.466
17-Apr-08,-1.039
18-Apr-08,-0.094
19-Apr-08,2.424
20-Apr-08,0.765
21-Apr-08,3.916
22-Apr-08,3.07
23-Apr-08,4.814
24-Apr-08,8.476
25-Apr-08,2.077
26-Apr-08,0.521
27-Apr-08,3.885
28-Apr-08,3.954
29-Apr-08,4.5
30-Apr-08,-0.14
1-May-08,-2.24
2-May-08,-0.784
3-May-08,3.254
4-May-08,4.948
5-May-08,5.496
6-May-08,2.834
7-May-08,5.709
8-May-08,8.584
9-May-08,5.539
10-May-08,6.1
11-May-08,3.518
12-May-08,2.901
13-May-08,5.408
14-May-08,3.109
15-May-08,5.589
16-May-08,6.993
17-May-08,7.55
18-May-08,6.5
19-May-08,6.248
20-May-08,4.929
