system:time_start,ppt
1-Jan-08,3.071
2-Jan-08,17.737
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,1.106
11-Jan-08,1.861
12-Jan-08,19.401
13-Jan-08,0
14-Jan-08,0.23
15-Jan-08,17.254
16-Jan-08,0
17-Jan-08,0
18-Jan-08,8.183
19-Jan-08,10.092
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0
26-Jan-08,0
27-Jan-08,3.229
28-Jan-08,1.478
29-Jan-08,0
30-Jan-08,1.317
31-Jan-08,2.628
1-Feb-08,0
2-Feb-08,27.775
3-Feb-08,0
4-Feb-08,0
5-Feb-08,10.853
6-Feb-08,6.867
7-Feb-08,25.185
8-Feb-08,5.27
9-Feb-08,4.492
10-Feb-08,9.666
11-Feb-08,4.387
12-Feb-08,0
13-Feb-08,17.258
14-Feb-08,54.888
15-Feb-08,1.308
16-Feb-08,0
17-Feb-08,0
18-Feb-08,16.96
19-Feb-08,6.504
20-Feb-08,0
21-Feb-08,0
22-Feb-08,0
23-Feb-08,6.47
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,25.041
28-Feb-08,3.176
29-Feb-08,0
1-Mar-08,7.167
2-Mar-08,13.407
3-Mar-08,0
4-Mar-08,0
5-Mar-08,14.004
6-Mar-08,9.005
7-Mar-08,0
8-Mar-08,9.248
9-Mar-08,33.894
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0.001
13-Mar-08,2.074
14-Mar-08,0
15-Mar-08,6.951
16-Mar-08,2.654
17-Mar-08,0.001
18-Mar-08,0
19-Mar-08,0.731
20-Mar-08,26.271
21-Mar-08,0.998
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,0.885
27-Mar-08,0
28-Mar-08,4.557
29-Mar-08,8.292
30-Mar-08,0
31-Mar-08,0
1-Apr-08,6.626
2-Apr-08,5.863
3-Apr-08,0
4-Apr-08,0
5-Apr-08,13.818
6-Apr-08,0
7-Apr-08,0
8-Apr-08,0
9-Apr-08,0
10-Apr-08,0
11-Apr-08,0
12-Apr-08,9.07
13-Apr-08,0.953
14-Apr-08,0
15-Apr-08,0
16-Apr-08,0
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0
24-Apr-08,0
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0
28-Apr-08,0.451
29-Apr-08,58.32
30-Apr-08,24.993
1-May-08,0
2-May-08,0
3-May-08,0
4-May-08,7.502
5-May-08,10.108
6-May-08,0
7-May-08,0.005
8-May-08,0.816
9-May-08,0
10-May-08,0
11-May-08,0
12-May-08,0
13-May-08,0
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,0.249
18-May-08,0
19-May-08,0
20-May-08,0
21-May-08,0.521
22-May-08,2.089
23-May-08,0.026
24-May-08,0.031
25-May-08,0
26-May-08,0
27-May-08,0
28-May-08,0
29-May-08,0
30-May-08,0
31-May-08,0.906
1-Jun-08,6.474
2-Jun-08,0
3-Jun-08,0
4-Jun-08,1.512
5-Jun-08,9.896
6-Jun-08,0.751
7-Jun-08,4.021
8-Jun-08,0
9-Jun-08,0
10-Jun-08,0.011
11-Jun-08,5.817
12-Jun-08,0
13-Jun-08,0
14-Jun-08,0
15-Jun-08,13.857
16-Jun-08,4.634
