system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,386.06"
3-Jan-08,"12,851.56"
4-Jan-08,"13,237.00"
5-Jan-08,"13,169.93"
6-Jan-08,"13,513.64"
7-Jan-08,
8-Jan-08,"14,017.23"
9-Jan-08,
10-Jan-08,"13,745.94"
11-Jan-08,
12-Jan-08,"13,497.30"
13-Jan-08,
14-Jan-08,
15-Jan-08,"13,433.47"
16-Jan-08,"13,348.12"
17-Jan-08,
18-Jan-08,"13,175"
19-Jan-08,"13,474.85"
20-Jan-08,"13,272.31"
21-Jan-08,"13,067.92"
22-Jan-08,"13,381.95"
23-Jan-08,"13,446.89"
24-Jan-08,
25-Jan-08,"13,153.82"
26-Jan-08,"13,306.16"
27-Jan-08,"12,962.60"
28-Jan-08,"13,469.07"
29-Jan-08,"13,599.89"
30-Jan-08,
31-Jan-08,"13,521.28"
1-Feb-08,
2-Feb-08,"13,737.87"
3-Feb-08,
4-Feb-08,"13,374"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,105.37"
12-Feb-08,"13,162.81"
13-Feb-08,
14-Feb-08,"13,565.41"
15-Feb-08,"13,590.55"
16-Feb-08,"13,271.07"
17-Feb-08,"13,224.11"
18-Feb-08,
19-Feb-08,"13,743.53"
20-Feb-08,"13,435.44"
21-Feb-08,"13,277.35"
22-Feb-08,
23-Feb-08,"13,341.69"
24-Feb-08,"13,527.26"
25-Feb-08,"13,692.02"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,171.25"
1-Mar-08,
2-Mar-08,"13,517.78"
3-Mar-08,"13,670.08"
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,676.93"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,575.53"
10-Mar-08,"13,484.11"
11-Mar-08,"13,586.16"
12-Mar-08,
13-Mar-08,"13,312.15"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,663.87"
18-Mar-08,"13,754.24"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,661.87"
23-Mar-08,"13,665.83"
24-Mar-08,"13,679.65"
25-Mar-08,"13,639.58"
26-Mar-08,"13,878.79"
27-Mar-08,"13,386.58"
28-Mar-08,
29-Mar-08,"13,523.59"
30-Mar-08,"13,769.49"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,791.32"
3-Apr-08,"13,863.76"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"13,952.06"
8-Apr-08,"14,000.42"
9-Apr-08,
10-Apr-08,
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"14,259.38"
15-Apr-08,"14,424.22"
16-Apr-08,"14,582.12"
17-Apr-08,"14,671.24"
18-Apr-08,"14,903.00"
19-Apr-08,"14,766.34"
20-Apr-08,"14,414.09"
21-Apr-08,"14,723.21"
22-Apr-08,"14,335.43"
23-Apr-08,"15,028.46"
24-Apr-08,"14,827.37"
25-Apr-08,"14,566.58"
26-Apr-08,"14,707.29"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,408.09"
1-May-08,"14,345.52"
2-May-08,"14,506.13"
3-May-08,
4-May-08,
5-May-08,"14,755.95"
6-May-08,"14,325.13"
7-May-08,"14,842.41"
8-May-08,"14,602.76"
9-May-08,
10-May-08,"14,409"
11-May-08,"14,619.02"
12-May-08,"14,303.37"
13-May-08,"14,209.30"
14-May-08,"14,884.91"
15-May-08,"14,379.05"
16-May-08,
17-May-08,
18-May-08,"14,813.28"
19-May-08,"14,610.20"
20-May-08,"14,605.61"
21-May-08,"14,597.28"
22-May-08,
23-May-08,"14,630.34"
24-May-08,"14,274.39"
25-May-08,"14,878.89"
26-May-08,"14,711.57"
27-May-08,
28-May-08,"14,727.57"
29-May-08,"14,812.84"
30-May-08,"14,911.27"
31-May-08,
1-Jun-08,"14,952.81"
2-Jun-08,
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,
8-Jun-08,"15,312.23"
9-Jun-08,
10-Jun-08,"15,057.86"
11-Jun-08,"15,050.66"
12-Jun-08,"14,696.05"
13-Jun-08,"15,102.46"
14-Jun-08,"14,773.39"
15-Jun-08,
16-Jun-08,
17-Jun-08,
18-Jun-08,"14,533.83"
19-Jun-08,"14,603.23"
20-Jun-08,"14,904.17"
21-Jun-08,"14,687.36"
22-Jun-08,"14,849.75"
23-Jun-08,
24-Jun-08,"14,947.39"
25-Jun-08,"14,877.77"
26-Jun-08,
27-Jun-08,"14,693.05"
28-Jun-08,
29-Jun-08,"14,731.77"
30-Jun-08,"14,566.16"
1-Jul-08,"14,988.24"
2-Jul-08,"14,650.80"
3-Jul-08,"15,020.39"
4-Jul-08,"14,920.43"
5-Jul-08,"14,914.50"
6-Jul-08,"15,035.26"
7-Jul-08,"14,986.31"
8-Jul-08,"15,195.53"
9-Jul-08,"15,067.67"
10-Jul-08,"15,077.25"
11-Jul-08,
12-Jul-08,"14,841.37"
13-Jul-08,"14,968.62"
14-Jul-08,
15-Jul-08,"15,116.20"
16-Jul-08,"15,065.35"
17-Jul-08,"14,924.47"
18-Jul-08,"14,837.42"
19-Jul-08,
20-Jul-08,
21-Jul-08,
22-Jul-08,
23-Jul-08,
24-Jul-08,
25-Jul-08,"14,866.10"
26-Jul-08,"15,109.55"
27-Jul-08,
28-Jul-08,"14,920.43"
29-Jul-08,"14,980.19"
30-Jul-08,"14,897.03"
31-Jul-08,
1-Aug-08,"14,694.63"
2-Aug-08,
3-Aug-08,
4-Aug-08,
5-Aug-08,
6-Aug-08,
7-Aug-08,
8-Aug-08,
9-Aug-08,"14,686.91"
10-Aug-08,"14,630.05"
11-Aug-08,
12-Aug-08,
13-Aug-08,"14,769.04"
14-Aug-08,"14,780.16"
15-Aug-08,"14,844.76"
16-Aug-08,"14,899.06"
17-Aug-08,"14,762.76"
18-Aug-08,"15,012.67"
19-Aug-08,
20-Aug-08,"14,751.53"
21-Aug-08,"14,901.23"
22-Aug-08,"14,950.99"
23-Aug-08,"14,974.21"
24-Aug-08,"14,755.23"
25-Aug-08,"14,801.29"
26-Aug-08,"14,652.92"
27-Aug-08,"14,881.91"
28-Aug-08,"14,672.21"
29-Aug-08,
30-Aug-08,"14,786.02"
