system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,470.66"
3-Jan-08,"13,122.34"
4-Jan-08,"13,500.12"
5-Jan-08,
6-Jan-08,
7-Jan-08,
8-Jan-08,"13,940.61"
9-Jan-08,
10-Jan-08,"13,733.57"
11-Jan-08,
12-Jan-08,"13,394.23"
13-Jan-08,"13,663.01"
14-Jan-08,
15-Jan-08,"13,611.72"
16-Jan-08,"13,537"
17-Jan-08,
18-Jan-08,"13,829.09"
19-Jan-08,
20-Jan-08,"13,502.46"
21-Jan-08,"13,393.99"
22-Jan-08,
23-Jan-08,"13,657.74"
24-Jan-08,"13,288.14"
25-Jan-08,"13,454.54"
26-Jan-08,"13,570.52"
27-Jan-08,
28-Jan-08,"13,595.90"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,686.96"
1-Feb-08,
2-Feb-08,"13,851.27"
3-Feb-08,
4-Feb-08,"13,827.59"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,285"
12-Feb-08,"13,434.51"
13-Feb-08,
14-Feb-08,"13,676.57"
15-Feb-08,"13,549.22"
16-Feb-08,"13,535.84"
17-Feb-08,"13,431.90"
18-Feb-08,
19-Feb-08,"13,785.62"
20-Feb-08,"13,609.28"
21-Feb-08,"13,565.29"
22-Feb-08,"12,862.76"
23-Feb-08,"13,635.53"
24-Feb-08,"13,682.99"
25-Feb-08,"13,826.34"
26-Feb-08,
27-Feb-08,
28-Feb-08,"13,414.34"
29-Feb-08,"13,451.40"
1-Mar-08,
2-Mar-08,"13,706.14"
3-Mar-08,
4-Mar-08,
5-Mar-08,"13,976"
6-Mar-08,"13,788.58"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,733.43"
10-Mar-08,
11-Mar-08,"13,717.63"
12-Mar-08,"12,918.21"
13-Mar-08,"13,595.20"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,901.64"
18-Mar-08,"13,907.45"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,778.13"
23-Mar-08,"13,844.60"
24-Mar-08,"13,799.60"
25-Mar-08,"13,799.21"
26-Mar-08,"13,825.56"
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,670.70"
30-Mar-08,"14,009.99"
31-Mar-08,
1-Apr-08,
2-Apr-08,"14,003.81"
3-Apr-08,"14,075.78"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"14,022.93"
8-Apr-08,"14,229.99"
9-Apr-08,"14,063.31"
10-Apr-08,"14,478.70"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"13,959.20"
15-Apr-08,"14,446.46"
16-Apr-08,"14,290.51"
