system:time_start,tmax
1-Jan-08,0.454
2-Jan-08,-0.07
3-Jan-08,-8.882
4-Jan-08,-8.235
5-Jan-08,-1.316
6-Jan-08,2.699
7-Jan-08,4.574
8-Jan-08,12.376
9-Jan-08,12.007
10-Jan-08,8.584
11-Jan-08,6.173
12-Jan-08,7.573
13-Jan-08,5.146
14-Jan-08,0.644
15-Jan-08,-1.873
16-Jan-08,-0.981
17-Jan-08,-0.69
18-Jan-08,4.684
19-Jan-08,2.061
20-Jan-08,-1
21-Jan-08,-5.016
22-Jan-08,-0.414
23-Jan-08,1.027
24-Jan-08,-1.498
25-Jan-08,-3.449
26-Jan-08,-2.054
27-Jan-08,-1.498
28-Jan-08,1.008
29-Jan-08,3.5
30-Jan-08,6.058
31-Jan-08,3.168
1-Feb-08,0.842
2-Feb-08,7.498
3-Feb-08,3.5
4-Feb-08,3.652
5-Feb-08,2.855
6-Feb-08,1.616
7-Feb-08,0
8-Feb-08,-3.105
9-Feb-08,-1.033
10-Feb-08,2.387
11-Feb-08,-3
12-Feb-08,-4.488
13-Feb-08,1.04
14-Feb-08,1.362
15-Feb-08,3.453
16-Feb-08,-0.253
17-Feb-08,0.582
18-Feb-08,8.72
19-Feb-08,7.017
20-Feb-08,2
21-Feb-08,-2.5
22-Feb-08,-3.017
23-Feb-08,0.112
24-Feb-08,1.54
25-Feb-08,4.5
26-Feb-08,3.751
27-Feb-08,2.5
28-Feb-08,-0.774
29-Feb-08,-4.037
1-Mar-08,0.795
2-Mar-08,2.253
3-Mar-08,3.209
4-Mar-08,9.592
5-Mar-08,6.505
6-Mar-08,5.089
7-Mar-08,5
8-Mar-08,5.426
9-Mar-08,6.044
10-Mar-08,-0.07
11-Mar-08,0.725
12-Mar-08,3.421
13-Mar-08,2.498
14-Mar-08,5.466
15-Mar-08,4.565
16-Mar-08,3.54
17-Mar-08,4
18-Mar-08,6
19-Mar-08,4
20-Mar-08,3.108
21-Mar-08,2.007
22-Mar-08,2.089
23-Mar-08,3.324
24-Mar-08,2.731
25-Mar-08,2
26-Mar-08,8.592
27-Mar-08,9.462
28-Mar-08,5.837
29-Mar-08,0
30-Mar-08,5.158
31-Mar-08,4.552
1-Apr-08,9.615
2-Apr-08,10.615
3-Apr-08,9.524
4-Apr-08,6.588
5-Apr-08,7.555
6-Apr-08,6.576
7-Apr-08,7.782
8-Apr-08,9.727
9-Apr-08,10.096
10-Apr-08,16.041
11-Apr-08,14.581
12-Apr-08,10.801
13-Apr-08,9.354
14-Apr-08,9.813
15-Apr-08,11.658
16-Apr-08,14.288
17-Apr-08,15.077
18-Apr-08,21.312
19-Apr-08,19.682
20-Apr-08,15.095
21-Apr-08,13.367
22-Apr-08,16.473
23-Apr-08,22.183
24-Apr-08,20.96
25-Apr-08,18.24
26-Apr-08,15.505
27-Apr-08,12.029
28-Apr-08,10.895
29-Apr-08,10.932
30-Apr-08,11.05
1-May-08,12.155
2-May-08,12.668
3-May-08,9.925
4-May-08,7.618
5-May-08,15.122
6-May-08,18.803
7-May-08,20.765
8-May-08,23.533
9-May-08,19.011
10-May-08,15.767
11-May-08,16.497
12-May-08,16.464
13-May-08,19.597
14-May-08,20.022
15-May-08,17.385
16-May-08,18.5
17-May-08,18.453
18-May-08,20.048
19-May-08,17.744
20-May-08,17.438
21-May-08,17.035
22-May-08,15.192
23-May-08,18.316
24-May-08,19.607
25-May-08,21.682
26-May-08,23.663
27-May-08,25.827
28-May-08,20.787
29-May-08,23.384
30-May-08,21.118
31-May-08,16.05
1-Jun-08,20.932
2-Jun-08,22.444
3-Jun-08,23.439
4-Jun-08,18.968
5-Jun-08,18.265
6-Jun-08,16.006
7-Jun-08,17.571
8-Jun-08,26.777
9-Jun-08,29.668
10-Jun-08,25.979
11-Jun-08,26.004
12-Jun-08,25.605
13-Jun-08,25.886
14-Jun-08,23.721
15-Jun-08,18.097
16-Jun-08,15.119
17-Jun-08,18.561
18-Jun-08,20.103
19-Jun-08,20.425
20-Jun-08,20.442
21-Jun-08,21.923
22-Jun-08,22.457
23-Jun-08,21.804
24-Jun-08,24.5
25-Jun-08,26.5
26-Jun-08,27.115
27-Jun-08,26.722
28-Jun-08,20.989
29-Jun-08,19.696
30-Jun-08,24.66
1-Jul-08,27.5
2-Jul-08,27.498
3-Jul-08,27.636
4-Jul-08,24.663
5-Jul-08,24.289
6-Jul-08,24.998
7-Jul-08,27.311
8-Jul-08,29.76
9-Jul-08,29.101
10-Jul-08,28.819
11-Jul-08,25.503
12-Jul-08,24.549
13-Jul-08,25.359
14-Jul-08,26.5
15-Jul-08,28.5
16-Jul-08,28.948
17-Jul-08,30.182
18-Jul-08,28.587
19-Jul-08,29.478
20-Jul-08,26.01
21-Jul-08,24.444
22-Jul-08,24.327
23-Jul-08,22.581
24-Jul-08,23.472
25-Jul-08,24.113
26-Jul-08,26.328
27-Jul-08,25.828
28-Jul-08,26.05
29-Jul-08,27.728
30-Jul-08,27.5
31-Jul-08,25.433
1-Aug-08,23.592
2-Aug-08,22.231
3-Aug-08,23.048
4-Aug-08,24.053
5-Aug-08,23
6-Aug-08,19.85
7-Aug-08,17.433
8-Aug-08,17.819
9-Aug-08,21.16
10-Aug-08,23.063
11-Aug-08,19.959
12-Aug-08,19.06
13-Aug-08,22.46
14-Aug-08,23.522
15-Aug-08,24.896
16-Aug-08,23.898
17-Aug-08,25.939
18-Aug-08,26.584
19-Aug-08,23.255
20-Aug-08,21.889
21-Aug-08,24.785
22-Aug-08,26.061
23-Aug-08,25.456
24-Aug-08,22.287
25-Aug-08,24.841
26-Aug-08,23.91
27-Aug-08,24.592
28-Aug-08,25.066
29-Aug-08,22.842
30-Aug-08,24.694
31-Aug-08,25.5
1-Sep-08,26.494
