system:time_start,tmin
1-Jan-08,-8.654
2-Jan-08,-10.708
3-Jan-08,-20.119
4-Jan-08,-19.757
5-Jan-08,-13.49
6-Jan-08,-4.705
7-Jan-08,-1.439
8-Jan-08,1.657
9-Jan-08,4.55
10-Jan-08,0.912
11-Jan-08,-1.913
12-Jan-08,-1.208
13-Jan-08,-3.869
14-Jan-08,-5.651
15-Jan-08,-9.389
16-Jan-08,-9.549
17-Jan-08,-13.263
18-Jan-08,-5.119
19-Jan-08,-5.827
20-Jan-08,-9.756
21-Jan-08,-14.777
22-Jan-08,-12.379
23-Jan-08,-6.138
24-Jan-08,-10.089
25-Jan-08,-13.398
26-Jan-08,-10.474
27-Jan-08,-8.157
28-Jan-08,-9.471
29-Jan-08,-6.532
30-Jan-08,-3.028
31-Jan-08,-6.537
1-Feb-08,-5.837
2-Feb-08,-2.54
3-Feb-08,-2.563
4-Feb-08,-3.5
5-Feb-08,-1.892
6-Feb-08,-0.5
7-Feb-08,-6.031
8-Feb-08,-7.932
9-Feb-08,-10.899
10-Feb-08,-6.165
11-Feb-08,-12.49
12-Feb-08,-14.961
13-Feb-08,-8.912
14-Feb-08,-4.609
15-Feb-08,-6.267
16-Feb-08,-13.082
17-Feb-08,-13.213
18-Feb-08,-2.09
19-Feb-08,-2.002
20-Feb-08,-7.291
21-Feb-08,-12.749
22-Feb-08,-12.439
23-Feb-08,-7.944
24-Feb-08,-10.926
25-Feb-08,-8.606
26-Feb-08,-5.724
27-Feb-08,-3.295
28-Feb-08,-10.488
29-Feb-08,-17.773
1-Mar-08,-9.795
2-Mar-08,-5.933
3-Mar-08,-10.399
4-Mar-08,-0.507
5-Mar-08,-2.486
6-Mar-08,-4.611
7-Mar-08,-3.24
8-Mar-08,0.428
9-Mar-08,-4.5
10-Mar-08,-9.222
11-Mar-08,-10.227
12-Mar-08,-4.908
13-Mar-08,-6.843
14-Mar-08,-2.489
15-Mar-08,-0.892
16-Mar-08,-1.998
17-Mar-08,-2.489
18-Mar-08,-6.262
19-Mar-08,-2.471
20-Mar-08,0.466
21-Mar-08,-4.069
22-Mar-08,-5.893
23-Mar-08,-6.436
24-Mar-08,-9.181
25-Mar-08,-7.541
26-Mar-08,-3.287
27-Mar-08,-2.617
28-Mar-08,-0.926
29-Mar-08,-5.021
30-Mar-08,-6.5
31-Mar-08,-4.525
1-Apr-08,1.017
2-Apr-08,-0.005
3-Apr-08,-2.147
4-Apr-08,0.394
5-Apr-08,1.143
6-Apr-08,0.994
7-Apr-08,-1.493
8-Apr-08,-2.776
9-Apr-08,-2.405
10-Apr-08,3.121
11-Apr-08,2.149
12-Apr-08,3.5
13-Apr-08,0.082
14-Apr-08,-1.5
15-Apr-08,-1.479
16-Apr-08,-1.457
17-Apr-08,0.569
18-Apr-08,1.118
19-Apr-08,3.946
20-Apr-08,2
21-Apr-08,4.971
22-Apr-08,3.682
23-Apr-08,5.07
24-Apr-08,7.883
25-Apr-08,3.255
26-Apr-08,1.5
27-Apr-08,4
28-Apr-08,2.985
29-Apr-08,4.988
30-Apr-08,0.058
1-May-08,-1.37
2-May-08,0.027
3-May-08,3.636
4-May-08,5.417
5-May-08,5.037
6-May-08,3
7-May-08,7.574
8-May-08,9.338
9-May-08,6.088
10-May-08,7
11-May-08,5
12-May-08,3.527
13-May-08,6.088
14-May-08,4.184
15-May-08,5.829
16-May-08,7.76
17-May-08,8.004
18-May-08,6.536
19-May-08,7.003
20-May-08,5
21-May-08,7.827
22-May-08,7.415
23-May-08,6.629
24-May-08,6.052
