system:time_start,ppt
1-Jan-08,4.923
2-Jan-08,18.849
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0.252
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,0.565
11-Jan-08,0.362
12-Jan-08,20.953
13-Jan-08,0
14-Jan-08,0.337
15-Jan-08,14.551
16-Jan-08,0
17-Jan-08,0
18-Jan-08,8.608
19-Jan-08,9.717
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0.984
26-Jan-08,0
27-Jan-08,1.095
28-Jan-08,0.043
29-Jan-08,0
30-Jan-08,0.052
31-Jan-08,2.524
1-Feb-08,0
2-Feb-08,27.99
3-Feb-08,0
4-Feb-08,0
5-Feb-08,8.177
6-Feb-08,6.041
7-Feb-08,19.483
8-Feb-08,2.712
9-Feb-08,5.342
10-Feb-08,7.503
11-Feb-08,3.714
12-Feb-08,0
13-Feb-08,15.185
14-Feb-08,46.691
15-Feb-08,0.587
16-Feb-08,0
17-Feb-08,0
18-Feb-08,18.379
19-Feb-08,5.161
20-Feb-08,0.392
21-Feb-08,0
22-Feb-08,0
23-Feb-08,6.466
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,20.237
28-Feb-08,2.901
29-Feb-08,0
1-Mar-08,4.81
2-Mar-08,10.579
3-Mar-08,0
4-Mar-08,0
5-Mar-08,13
6-Mar-08,15.071
7-Mar-08,0
8-Mar-08,7.686
9-Mar-08,33.434
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0
13-Mar-08,2.599
14-Mar-08,0
15-Mar-08,7.466
16-Mar-08,2.9
17-Mar-08,0
18-Mar-08,0
19-Mar-08,0
20-Mar-08,27.983
21-Mar-08,0.959
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,1.001
27-Mar-08,0
28-Mar-08,4.171
29-Mar-08,7.157
30-Mar-08,0
31-Mar-08,0
1-Apr-08,7.14
2-Apr-08,3.791
3-Apr-08,0
4-Apr-08,0
5-Apr-08,13.888
6-Apr-08,0.185
7-Apr-08,0
8-Apr-08,0
9-Apr-08,0
10-Apr-08,0
11-Apr-08,0
12-Apr-08,9.431
13-Apr-08,2.192
14-Apr-08,0
15-Apr-08,0
16-Apr-08,0
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0
24-Apr-08,0.282
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0
28-Apr-08,0.05
29-Apr-08,61.108
30-Apr-08,42.892
1-May-08,0
2-May-08,0
3-May-08,0
4-May-08,10.912
5-May-08,10.355
6-May-08,0.06
7-May-08,0.168
8-May-08,0.866
9-May-08,0
10-May-08,0
11-May-08,0
12-May-08,0
13-May-08,0
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,0.71
18-May-08,0.042
19-May-08,0
20-May-08,0
21-May-08,0.066
22-May-08,0.185
23-May-08,0.284
24-May-08,0.219
25-May-08,0
26-May-08,0
27-May-08,0.041
28-May-08,0
29-May-08,0
30-May-08,0
31-May-08,1.578
1-Jun-08,7.562
2-Jun-08,0
3-Jun-08,0
4-Jun-08,1.844
5-Jun-08,4.513
6-Jun-08,0.565
7-Jun-08,1.567
8-Jun-08,0
9-Jun-08,0
10-Jun-08,0.006
11-Jun-08,3.282
12-Jun-08,0
13-Jun-08,0
14-Jun-08,0
15-Jun-08,1.86
16-Jun-08,5.719
17-Jun-08,4.98
18-Jun-08,0.135
19-Jun-08,0
20-Jun-08,0.034
21-Jun-08,0.846
22-Jun-08,1.033
23-Jun-08,3.454
24-Jun-08,2.095
25-Jun-08,4.596
26-Jun-08,0
27-Jun-08,0.078
28-Jun-08,0.222
29-Jun-08,2.768
30-Jun-08,8.934
1-Jul-08,0
2-Jul-08,0.276
3-Jul-08,0
4-Jul-08,0
5-Jul-08,0
6-Jul-08,0
7-Jul-08,0
8-Jul-08,0
9-Jul-08,0
10-Jul-08,0.66
11-Jul-08,0
12-Jul-08,0
13-Jul-08,0
14-Jul-08,0
15-Jul-08,0.058
16-Jul-08,0
17-Jul-08,0
18-Jul-08,0
