system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,514.68"
3-Jan-08,"13,156.27"
4-Jan-08,
5-Jan-08,"13,361.24"
6-Jan-08,"13,630.27"
7-Jan-08,
8-Jan-08,"13,936.00"
9-Jan-08,
10-Jan-08,"13,746.09"
11-Jan-08,
12-Jan-08,"13,351.73"
13-Jan-08,
14-Jan-08,
15-Jan-08,"13,547.58"
16-Jan-08,"13,495.67"
17-Jan-08,"13,412.92"
18-Jan-08,
19-Jan-08,"13,633.26"
20-Jan-08,"13,491.21"
21-Jan-08,"13,336.39"
22-Jan-08,"13,575.46"
23-Jan-08,"13,617.54"
24-Jan-08,
25-Jan-08,"13,394.62"
26-Jan-08,"13,524.47"
27-Jan-08,
28-Jan-08,"13,538.56"
29-Jan-08,"13,663.00"
30-Jan-08,
31-Jan-08,"13,620.80"
1-Feb-08,
2-Feb-08,"13,786.81"
3-Feb-08,
4-Feb-08,"13,344.02"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,"13,711.73"
11-Feb-08,"13,396.43"
12-Feb-08,"13,433.34"
13-Feb-08,
14-Feb-08,"13,578.18"
15-Feb-08,
16-Feb-08,"13,443.10"
17-Feb-08,"13,451.35"
18-Feb-08,
19-Feb-08,"13,798.93"
20-Feb-08,"13,298.93"
21-Feb-08,"13,488.00"
22-Feb-08,
23-Feb-08,
24-Feb-08,"13,627.07"
25-Feb-08,"13,764.48"
26-Feb-08,
27-Feb-08,
28-Feb-08,"13,258.01"
29-Feb-08,"13,415.78"
1-Mar-08,
2-Mar-08,"13,630.83"
3-Mar-08,
4-Mar-08,
5-Mar-08,"13,273"
6-Mar-08,"13,768.58"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,736.37"
10-Mar-08,"13,481.05"
11-Mar-08,"13,705.40"
12-Mar-08,
13-Mar-08,"13,506.90"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,749.68"
18-Mar-08,"13,770.57"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,750.92"
23-Mar-08,"13,766.21"
24-Mar-08,"13,767.41"
25-Mar-08,"13,756.88"
26-Mar-08,"13,875.80"
27-Mar-08,"13,659.81"
28-Mar-08,
29-Mar-08,"13,490.26"
30-Mar-08,"13,883.58"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,882.54"
3-Apr-08,"13,993.21"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"14,065.42"
8-Apr-08,"14,159.10"
9-Apr-08,"13,847.00"
10-Apr-08,"13,679.25"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"13,969.63"
15-Apr-08,"14,247.00"
16-Apr-08,"14,284.05"
17-Apr-08,"14,332.26"
18-Apr-08,"14,214.11"
19-Apr-08,"14,448.37"
20-Apr-08,"14,097.52"
21-Apr-08,"14,084.53"
22-Apr-08,
23-Apr-08,"14,578.89"
24-Apr-08,"14,535.73"
25-Apr-08,"14,402.16"
26-Apr-08,"14,458.50"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,249.85"
1-May-08,"14,016"
2-May-08,"14,312.60"
3-May-08,
4-May-08,
5-May-08,"14,497.50"
6-May-08,"14,151.41"
7-May-08,"14,575.27"
8-May-08,"14,243.63"
9-May-08,
10-May-08,
11-May-08,"14,396.14"
12-May-08,
13-May-08,"14,023.07"
14-May-08,"14,596.11"
15-May-08,
16-May-08,
17-May-08,
18-May-08,"14,545.89"
19-May-08,"14,397.14"
20-May-08,"14,356.26"
21-May-08,"14,455.68"
22-May-08,
23-May-08,"14,414.94"
24-May-08,
25-May-08,"14,656.36"
26-May-08,"14,128.36"
27-May-08,
28-May-08,"14,516.52"
29-May-08,"14,555.78"
30-May-08,"14,360.94"
31-May-08,
1-Jun-08,"14,570.30"
2-Jun-08,
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,
8-Jun-08,"14,961.81"
9-Jun-08,"14,694.57"
10-Jun-08,"14,741.61"
11-Jun-08,"14,848.22"
12-Jun-08,"14,600.80"
13-Jun-08,"14,835.10"
14-Jun-08,"14,539.81"
15-Jun-08,
16-Jun-08,
17-Jun-08,"14,527"
18-Jun-08,"14,558.29"
19-Jun-08,"14,406.73"
20-Jun-08,"14,606.69"
21-Jun-08,"14,484.51"
22-Jun-08,"14,486.07"
23-Jun-08,
24-Jun-08,"14,846.05"
25-Jun-08,"14,420.34"
26-Jun-08,"14,810.20"
27-Jun-08,"14,331.57"
28-Jun-08,
29-Jun-08,
30-Jun-08,
1-Jul-08,"14,733.76"
2-Jul-08,"14,439.23"
3-Jul-08,"14,695.71"
4-Jul-08,"14,719.46"
5-Jul-08,"14,723.81"
6-Jul-08,"14,656.59"
7-Jul-08,"14,488.96"
8-Jul-08,"14,935.96"
9-Jul-08,"14,752.47"
10-Jul-08,"15,025.44"
11-Jul-08,
12-Jul-08,"14,813.08"
13-Jul-08,"14,746.62"
14-Jul-08,
15-Jul-08,"14,923.60"
16-Jul-08,"14,823.20"
17-Jul-08,"15,019.25"
18-Jul-08,
19-Jul-08,
20-Jul-08,
21-Jul-08,
22-Jul-08,"14,685.55"
23-Jul-08,
24-Jul-08,
25-Jul-08,"14,688.00"
26-Jul-08,"14,880.58"
27-Jul-08,
