system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,662.88"
3-Jan-08,"12,875.69"
4-Jan-08,"13,585.94"
5-Jan-08,"13,353.49"
6-Jan-08,
7-Jan-08,
8-Jan-08,"14,024.91"
9-Jan-08,
10-Jan-08,"13,841.24"
11-Jan-08,
12-Jan-08,"13,709.16"
13-Jan-08,"13,738.36"
14-Jan-08,
15-Jan-08,"13,495.09"
16-Jan-08,"13,478.63"
17-Jan-08,
18-Jan-08,"13,677.91"
19-Jan-08,
20-Jan-08,"13,322.04"
21-Jan-08,"13,196.44"
22-Jan-08,
23-Jan-08,"13,532.84"
24-Jan-08,
25-Jan-08,"13,314.92"
26-Jan-08,"13,403.08"
27-Jan-08,
28-Jan-08,"13,625.85"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,566.40"
1-Feb-08,
2-Feb-08,"13,753.02"
3-Feb-08,
4-Feb-08,"13,708.89"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,547"
12-Feb-08,"13,210.87"
13-Feb-08,
14-Feb-08,"13,599.82"
15-Feb-08,"13,578"
16-Feb-08,"13,381.70"
17-Feb-08,
18-Feb-08,
19-Feb-08,
20-Feb-08,
21-Feb-08,"13,449.51"
22-Feb-08,"12,992.60"
23-Feb-08,"13,515.47"
24-Feb-08,"13,584.47"
25-Feb-08,"13,708.31"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,177.14"
1-Mar-08,
2-Mar-08,"13,555.62"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,702.07"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,547.76"
10-Mar-08,
11-Mar-08,"13,666.49"
12-Mar-08,"13,485"
13-Mar-08,"13,665.42"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,751.25"
18-Mar-08,"13,810.05"
19-Mar-08,
20-Mar-08,
21-Mar-08,"13,296.89"
22-Mar-08,"13,653.20"
23-Mar-08,"13,658.32"
24-Mar-08,"13,745.02"
25-Mar-08,"13,653.53"
26-Mar-08,"13,824.01"
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,420.41"
30-Mar-08,"13,808.65"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,789.80"
3-Apr-08,"13,871.43"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"13,887.29"
8-Apr-08,"13,887.63"
9-Apr-08,"13,912.67"
10-Apr-08,"14,076.43"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"13,939.03"
15-Apr-08,"14,101.82"
16-Apr-08,"14,365.31"
17-Apr-08,"14,435.75"
18-Apr-08,"14,771.66"
19-Apr-08,"14,515.59"
20-Apr-08,"14,362.96"
21-Apr-08,"14,338.41"
22-Apr-08,"14,371.02"
23-Apr-08,"14,819.31"
24-Apr-08,"14,771.82"
25-Apr-08,"14,682.55"
26-Apr-08,"14,595.44"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,021"
1-May-08,"14,376.35"
2-May-08,"14,200.03"
3-May-08,
4-May-08,
5-May-08,"14,670.73"
6-May-08,"14,328.12"
7-May-08,"14,717.91"
8-May-08,"14,891.60"
9-May-08,
10-May-08,
11-May-08,"14,668.40"
12-May-08,
13-May-08,"14,532.94"
14-May-08,"14,724.75"
15-May-08,
16-May-08,
17-May-08,"14,294"
18-May-08,
19-May-08,"14,347.81"
20-May-08,"14,332.64"
21-May-08,"14,276.18"
22-May-08,
23-May-08,
24-May-08,"14,279.99"
25-May-08,"14,792.92"
26-May-08,"14,490.65"
27-May-08,"14,901.17"
28-May-08,"14,591.42"
29-May-08,"14,926.30"
30-May-08,
31-May-08,
1-Jun-08,"14,462.36"
2-Jun-08,
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,"14,862.26"
8-Jun-08,"15,134.90"
9-Jun-08,"14,828.75"
10-Jun-08,"14,763.46"
11-Jun-08,"14,991.88"
12-Jun-08,"14,843.84"
13-Jun-08,"14,970.13"
14-Jun-08,"14,673.93"
15-Jun-08,
16-Jun-08,
17-Jun-08,"14,572.57"
18-Jun-08,"14,700.46"
19-Jun-08,"14,542.19"
20-Jun-08,
21-Jun-08,
22-Jun-08,
23-Jun-08,
24-Jun-08,"14,693.24"
25-Jun-08,"14,822.54"
26-Jun-08,
27-Jun-08,
28-Jun-08,
29-Jun-08,
30-Jun-08,"14,675.93"
1-Jul-08,"14,813.07"
2-Jul-08,"15,016.63"
3-Jul-08,
4-Jul-08,"14,874.83"
5-Jul-08,
6-Jul-08,"14,829.25"
7-Jul-08,"14,960.02"
8-Jul-08,"14,988.57"
9-Jul-08,"14,987.64"
10-Jul-08,"14,879.70"
11-Jul-08,
12-Jul-08,"14,706.90"
13-Jul-08,"14,757"
14-Jul-08,
15-Jul-08,"14,932.60"
16-Jul-08,"15,118.88"
17-Jul-08,"14,844.40"
18-Jul-08,
19-Jul-08,"14,835.85"
20-Jul-08,
21-Jul-08,"14,600.83"
22-Jul-08,"14,797.06"
23-Jul-08,
24-Jul-08,
25-Jul-08,"14,955.36"
26-Jul-08,"14,732.39"
27-Jul-08,"14,981.97"
28-Jul-08,"14,865.99"
29-Jul-08,"14,805.16"
30-Jul-08,
31-Jul-08,
1-Aug-08,"14,883.71"
2-Aug-08,
3-Aug-08,"14,798.93"
4-Aug-08,"14,547.81"
5-Aug-08,"14,661.68"
6-Aug-08,
7-Aug-08,
8-Aug-08,
9-Aug-08,"14,588.35"
10-Aug-08,"14,766.20"
11-Aug-08,
12-Aug-08,"13,924"
13-Aug-08,"14,593.73"
14-Aug-08,"14,708.47"
15-Aug-08,"14,753.66"
16-Aug-08,
17-Aug-08,"14,613.09"
18-Aug-08,"14,902.80"
19-Aug-08,"14,656.07"
20-Aug-08,"14,563.37"
21-Aug-08,"14,898.08"
22-Aug-08,"14,960.25"
23-Aug-08,"15,008.74"
24-Aug-08,"14,881.93"
25-Aug-08,
26-Aug-08,"14,748.74"
27-Aug-08,"14,787.57"
28-Aug-08,"14,552.10"
29-Aug-08,"14,658.64"
30-Aug-08,"14,732.33"
31-Aug-08,"14,814.23"
1-Sep-08,"14,887.88"
2-Sep-08,"14,834.19"
3-Sep-08,"14,746.48"
4-Sep-08,"15,069.79"
5-Sep-08,"14,785.08"
6-Sep-08,
7-Sep-08,"14,699.28"
8-Sep-08,"14,700.30"
9-Sep-08,
10-Sep-08,"14,529.64"
11-Sep-08,"14,544.60"
12-Sep-08,
13-Sep-08,"14,763.57"
14-Sep-08,
15-Sep-08,"14,702.33"
16-Sep-08,
17-Sep-08,"14,631.07"
18-Sep-08,"14,543.73"
19-Sep-08,"14,355.94"
20-Sep-08,"14,600.76"
21-Sep-08,"14,631.34"
22-Sep-08,"14,504.49"
23-Sep-08,"14,472.57"
24-Sep-08,"14,574.64"
25-Sep-08,
26-Sep-08,
27-Sep-08,
28-Sep-08,
29-Sep-08,"14,556.94"
1-Oct-08,
2-Oct-08,"14,285.71"
3-Oct-08,
4-Oct-08,"14,298.81"
5-Oct-08,"14,139.49"
6-Oct-08,
7-Oct-08,"14,467.13"
8-Oct-08,
9-Oct-08,"14,655.55"
10-Oct-08,"14,591.03"
11-Oct-08,"14,568.09"
12-Oct-08,"14,521.68"
13-Oct-08,"14,170"
14-Oct-08,
15-Oct-08,"14,227.12"
16-Oct-08,
17-Oct-08,"14,337.63"
18-Oct-08,"14,264.01"
19-Oct-08,"14,162.40"
20-Oct-08,"14,345.31"
21-Oct-08,
22-Oct-08,
23-Oct-08,"14,070.70"
24-Oct-08,"14,356.77"
25-Oct-08,
26-Oct-08,"14,476.10"
27-Oct-08,"14,509.81"
28-Oct-08,
29-Oct-08,
30-Oct-08,
31-Oct-08,"14,246.71"
1-Nov-08,"14,119.90"
2-Nov-08,"13,947.54"
3-Nov-08,"13,997.56"
4-Nov-08,"14,392.88"
5-Nov-08,
6-Nov-08,
7-Nov-08,
8-Nov-08,
9-Nov-08,"14,138.79"
10-Nov-08,"13,959.30"
11-Nov-08,
12-Nov-08,"13,969.47"
13-Nov-08,
14-Nov-08,"13,579"
15-Nov-08,
16-Nov-08,"13,857.09"
17-Nov-08,"13,808.05"
18-Nov-08,"13,691.00"
19-Nov-08,"13,629.54"
20-Nov-08,"13,568.77"
21-Nov-08,"13,634.36"
22-Nov-08,
23-Nov-08,"13,563.16"
24-Nov-08,"13,714.88"
25-Nov-08,
26-Nov-08,"13,706.85"
27-Nov-08,"13,846.37"
28-Nov-08,
29-Nov-08,"13,732.67"
30-Nov-08,
1-Dec-08,
2-Dec-08,"13,772.84"
3-Dec-08,"13,789.07"
4-Dec-08,
5-Dec-08,"13,607.48"
6-Dec-08,
7-Dec-08,
8-Dec-08,"13,266.28"
9-Dec-08,
10-Dec-08,
11-Dec-08,
12-Dec-08,"13,680.78"
13-Dec-08,"13,420.62"
14-Dec-08,"13,205.28"
15-Dec-08,
16-Dec-08,
17-Dec-08,
18-Dec-08,"13,558.67"
19-Dec-08,
20-Dec-08,
21-Dec-08,
22-Dec-08,
23-Dec-08,"13,402.79"
24-Dec-08,
25-Dec-08,"13,709.87"
26-Dec-08,"13,276.19"
27-Dec-08,
28-Dec-08,"13,899.08"
29-Dec-08,"13,757.88"
30-Dec-08,"13,606.76"
31-Dec-08,
1-Jan-09,"13,140.12"
2-Jan-09,"13,272.17"
3-Jan-09,"13,398.16"
4-Jan-09,"13,592.04"
5-Jan-09,"13,662.85"
6-Jan-09,"13,651.35"
7-Jan-09,
8-Jan-09,
9-Jan-09,"13,173.88"
10-Jan-09,"13,369.85"
11-Jan-09,
12-Jan-09,"13,242.26"
13-Jan-09,
14-Jan-09,"13,051.76"
15-Jan-09,"13,142.43"
16-Jan-09,"12,950.95"
17-Jan-09,"13,027.93"
18-Jan-09,
19-Jan-09,
20-Jan-09,"13,256.31"
21-Jan-09,"13,191.70"
22-Jan-09,
23-Jan-09,
24-Jan-09,"13,259.62"
25-Jan-09,"13,266.52"
26-Jan-09,"13,094.23"
27-Jan-09,"13,324.08"
28-Jan-09,
29-Jan-09,"13,532.87"
30-Jan-09,"13,418.83"
31-Jan-09,"13,342.53"
1-Feb-09,
2-Feb-09,
3-Feb-09,
4-Feb-09,"13,260.37"
5-Feb-09,"12,953.76"
6-Feb-09,"13,251.49"
7-Feb-09,
8-Feb-09,"13,763.37"
9-Feb-09,"13,519.69"
10-Feb-09,
11-Feb-09,"13,801.65"
12-Feb-09,
13-Feb-09,"13,463.56"
14-Feb-09,"13,656.83"
15-Feb-09,
16-Feb-09,
17-Feb-09,"13,614.14"
18-Feb-09,
19-Feb-09,
20-Feb-09,
21-Feb-09,"13,532.14"
22-Feb-09,
23-Feb-09,
24-Feb-09,"13,475.72"
25-Feb-09,"13,506.27"
26-Feb-09,
27-Feb-09,
28-Feb-09,"13,610.14"
