system:time_start,tmax
1-Jan-08,-0.535
2-Jan-08,-1.867
3-Jan-08,-7
4-Jan-08,-10.329
5-Jan-08,-3.336
6-Jan-08,0.621
7-Jan-08,4.311
8-Jan-08,10.154
9-Jan-08,14.304
10-Jan-08,9.79
11-Jan-08,5.373
12-Jan-08,3.442
13-Jan-08,5.204
14-Jan-08,1.403
15-Jan-08,-2.62
16-Jan-08,-1.162
17-Jan-08,-2.076
18-Jan-08,0.698
19-Jan-08,2.83
20-Jan-08,-1.496
21-Jan-08,-7.059
22-Jan-08,-5.157
23-Jan-08,-0.516
24-Jan-08,-1.675
25-Jan-08,-4.031
26-Jan-08,-3.599
27-Jan-08,-2.383
28-Jan-08,-0.691
29-Jan-08,3.286
30-Jan-08,4.612
31-Jan-08,2.751
1-Feb-08,-1.289
2-Feb-08,2.351
3-Feb-08,3.343
4-Feb-08,3.161
5-Feb-08,2.91
6-Feb-08,1.495
7-Feb-08,0.248
8-Feb-08,-3.95
9-Feb-08,-2.022
10-Feb-08,0.4
11-Feb-08,-1.556
12-Feb-08,-6.31
13-Feb-08,-1.626
14-Feb-08,0.901
15-Feb-08,1.868
16-Feb-08,0.374
17-Feb-08,-2.506
18-Feb-08,3.459
19-Feb-08,5.398
20-Feb-08,2.346
21-Feb-08,-3.165
22-Feb-08,-4.958
23-Feb-08,-3.683
24-Feb-08,1.411
25-Feb-08,4.316
26-Feb-08,3.58
27-Feb-08,1.551
28-Feb-08,0.106
29-Feb-08,-4.664
1-Mar-08,-3.863
2-Mar-08,0.297
3-Mar-08,2.498
4-Mar-08,7.415
5-Mar-08,8.475
6-Mar-08,2.716
7-Mar-08,4.509
8-Mar-08,4.499
9-Mar-08,3.848
10-Mar-08,-1.45
11-Mar-08,-0.499
12-Mar-08,3.258
13-Mar-08,3.823
14-Mar-08,4.583
15-Mar-08,6.174
16-Mar-08,3.14
17-Mar-08,3.968
18-Mar-08,4.664
19-Mar-08,5.06
20-Mar-08,2.293
21-Mar-08,1.828
22-Mar-08,-0.3
23-Mar-08,1.975
24-Mar-08,2.406
25-Mar-08,3.243
26-Mar-08,5.574
27-Mar-08,9.283
28-Mar-08,5.994
29-Mar-08,-0.032
30-Mar-08,1.525
31-Mar-08,5.5
1-Apr-08,6.158
2-Apr-08,10.494
3-Apr-08,6.176
4-Apr-08,7.071
5-Apr-08,5.619
6-Apr-08,7.427
7-Apr-08,5.798
8-Apr-08,9.621
9-Apr-08,11.578
10-Apr-08,15.074
11-Apr-08,14.268
12-Apr-08,11.112
13-Apr-08,10.428
14-Apr-08,7.198
15-Apr-08,10.016
16-Apr-08,13.806
17-Apr-08,17.312
18-Apr-08,21.473
19-Apr-08,22.499
20-Apr-08,18.734
21-Apr-08,17.707
22-Apr-08,21.614
23-Apr-08,25.377
24-Apr-08,24.385
25-Apr-08,19.102
26-Apr-08,18.665
27-Apr-08,14.317
28-Apr-08,10.525
29-Apr-08,9.947
30-Apr-08,9.403
1-May-08,10.34
2-May-08,12.622
3-May-08,11.599
4-May-08,7.02
5-May-08,12.174
6-May-08,20.762
7-May-08,22.201
8-May-08,22.959
9-May-08,22.481
10-May-08,17.694
11-May-08,17.914
12-May-08,17.332
13-May-08,17.884
14-May-08,20.868
15-May-08,20.561
16-May-08,19.604
17-May-08,20.088
18-May-08,21.043
19-May-08,18.223
20-May-08,16.572
21-May-08,18.722
22-May-08,16.769
23-May-08,15.369
24-May-08,18.591
25-May-08,20.421
26-May-08,24.676
27-May-08,27.228
28-May-08,23.355
29-May-08,20.681
30-May-08,23.414
31-May-08,19.176
1-Jun-08,18.013
2-Jun-08,23.175
3-Jun-08,22.51
4-Jun-08,19.994
5-Jun-08,15.317
6-Jun-08,16.464
7-Jun-08,18.587
8-Jun-08,29.831
9-Jun-08,31.188
10-Jun-08,29.782
11-Jun-08,30.141
12-Jun-08,25.289
13-Jun-08,24.668
14-Jun-08,25.86
15-Jun-08,21.858
16-Jun-08,16.168
17-Jun-08,18.5
18-Jun-08,20.916
19-Jun-08,21.411
20-Jun-08,21.818
21-Jun-08,22.514
22-Jun-08,23.433
23-Jun-08,23.439
24-Jun-08,23.001
25-Jun-08,25.471
26-Jun-08,26
27-Jun-08,26.469
28-Jun-08,23.96
29-Jun-08,19.485
30-Jun-08,24.942
1-Jul-08,27.502
2-Jul-08,27.519
3-Jul-08,27.742
4-Jul-08,26.501
5-Jul-08,25.011
6-Jul-08,26.479
7-Jul-08,28.373
8-Jul-08,30.364
9-Jul-08,31.261
10-Jul-08,29.527
11-Jul-08,24.594
12-Jul-08,23.159
13-Jul-08,25.318
14-Jul-08,26.481
15-Jul-08,26.407
16-Jul-08,28.189
17-Jul-08,29.623
18-Jul-08,28.452
19-Jul-08,27.131
20-Jul-08,26.318
21-Jul-08,22.299
22-Jul-08,24.218
23-Jul-08,22.964
24-Jul-08,21.267
25-Jul-08,24.214
26-Jul-08,27.324
27-Jul-08,27.745
28-Jul-08,27.133
29-Jul-08,27.39
30-Jul-08,26.585
31-Jul-08,25.119
1-Aug-08,23.518
2-Aug-08,24.499
3-Aug-08,22.925
4-Aug-08,24.405
5-Aug-08,23.001
6-Aug-08,19.647
7-Aug-08,17.412
8-Aug-08,17.391
9-Aug-08,19.59
10-Aug-08,23.001
11-Aug-08,21.559
12-Aug-08,18.988
13-Aug-08,22.367
14-Aug-08,24.274
15-Aug-08,24.71
16-Aug-08,24.851
17-Aug-08,25.081
18-Aug-08,26.427
19-Aug-08,24.604
20-Aug-08,21.134
21-Aug-08,22.79
22-Aug-08,26.12
23-Aug-08,27.424
24-Aug-08,26.498
25-Aug-08,25.22
26-Aug-08,24.277
27-Aug-08,22.787
28-Aug-08,24.904
29-Aug-08,23.831
30-Aug-08,24.032
31-Aug-08,25.049
1-Sep-08,24.708
2-Sep-08,25.625
3-Sep-08,25.123
4-Sep-08,26.346
5-Sep-08,27.263
6-Sep-08,24.725
7-Sep-08,23.975
8-Sep-08,22.484
9-Sep-08,21.39
10-Sep-08,18.515
11-Sep-08,17.988
12-Sep-08,17.608
13-Sep-08,18.933
14-Sep-08,21.982
15-Sep-08,22.902
16-Sep-08,21.974
17-Sep-08,18.311
18-Sep-08,18.951
19-Sep-08,15.674
20-Sep-08,15.432
21-Sep-08,19.158
22-Sep-08,19.851
23-Sep-08,16.6
24-Sep-08,17.443
25-Sep-08,19.049
26-Sep-08,17.61
27-Sep-08,16.419
28-Sep-08,18.774
29-Sep-08,19.622
1-Oct-08,16.349
2-Oct-08,15.204
3-Oct-08,13.853
4-Oct-08,13.048
5-Oct-08,13.757
6-Oct-08,13.528
7-Oct-08,14.039
8-Oct-08,17.812
9-Oct-08,19.69
10-Oct-08,20.421
11-Oct-08,18.545
12-Oct-08,18.126
13-Oct-08,16.497
14-Oct-08,14.394
15-Oct-08,15.845
16-Oct-08,15.458
17-Oct-08,13.014
18-Oct-08,11.87
19-Oct-08,10.46
20-Oct-08,10.994
21-Oct-08,12.691
22-Oct-08,9.235
23-Oct-08,7.321
24-Oct-08,11.709
25-Oct-08,14.461
26-Oct-08,15.704
27-Oct-08,16.898
28-Oct-08,14.388
29-Oct-08,8.02
30-Oct-08,4.851
31-Oct-08,7.983
1-Nov-08,10.884
2-Nov-08,7.666
3-Nov-08,6.662
4-Nov-08,11.623
5-Nov-08,17.287
6-Nov-08,17.216
7-Nov-08,14.899
8-Nov-08,14.5
9-Nov-08,13.156
10-Nov-08,10.15
11-Nov-08,7.905
12-Nov-08,5.493
13-Nov-08,5.194
14-Nov-08,6.671
15-Nov-08,12.187
16-Nov-08,16.159
17-Nov-08,10.705
18-Nov-08,4.517
19-Nov-08,0.599
20-Nov-08,-1.952
21-Nov-08,-2.1
22-Nov-08,-2.841
23-Nov-08,-3.473
24-Nov-08,-0.491
25-Nov-08,5.007
26-Nov-08,8.25
27-Nov-08,4.694
28-Nov-08,3.635
29-Nov-08,2.92
30-Nov-08,2.427
1-Dec-08,1.777
2-Dec-08,3.918
3-Dec-08,5.204
4-Dec-08,4.226
5-Dec-08,3.511
6-Dec-08,-0.361
7-Dec-08,-0.96
8-Dec-08,-3.763
9-Dec-08,-5.083
10-Dec-08,11.078
11-Dec-08,7.872
12-Dec-08,1.479
13-Dec-08,-0.667
14-Dec-08,-3.522
15-Dec-08,5.571
16-Dec-08,11.727
17-Dec-08,0
18-Dec-08,-2.012
19-Dec-08,-1.572
20-Dec-08,-7.03
21-Dec-08,-9.52
22-Dec-08,-6.446
23-Dec-08,-5.98
24-Dec-08,-1.959
25-Dec-08,8.473
26-Dec-08,1.982
27-Dec-08,-0.574
28-Dec-08,6.621
29-Dec-08,8.891
30-Dec-08,3.885
1-Jan-09,-8.653
2-Jan-09,-7.908
3-Jan-09,-3.372
4-Jan-09,-2.099
5-Jan-09,0.409
6-Jan-09,1.287
7-Jan-09,-1.955
8-Jan-09,-2.359
9-Jan-09,-1.358
10-Jan-09,-5.103
11-Jan-09,-5.004
12-Jan-09,-5.234
13-Jan-09,-3.556
14-Jan-09,-0.975
15-Jan-09,-9.312
16-Jan-09,-11.331
17-Jan-09,-10.718
18-Jan-09,-8.987
19-Jan-09,-6.354
20-Jan-09,-2.537
21-Jan-09,-3.635
22-Jan-09,-3.856
23-Jan-09,-0.923
24-Jan-09,-2.017
25-Jan-09,-3.965
26-Jan-09,-6.466
27-Jan-09,-6.628
28-Jan-09,-4.627
29-Jan-09,-2.395
30-Jan-09,-0.476
31-Jan-09,-1.379
1-Feb-09,-3.484
2-Feb-09,-0.364
3-Feb-09,3.195
4-Feb-09,-3.322
5-Feb-09,-6.667
6-Feb-09,-7.521
7-Feb-09,-1.784
8-Feb-09,7.507
9-Feb-09,4.478
10-Feb-09,-1.265
11-Feb-09,3.834
12-Feb-09,9.999
13-Feb-09,4.833
14-Feb-09,-2.326
15-Feb-09,1.809
16-Feb-09,1.904
17-Feb-09,1.283
18-Feb-09,1.155
19-Feb-09,1.506
20-Feb-09,-0.147
21-Feb-09,-1.811
22-Feb-09,0.449
23-Feb-09,1.077
24-Feb-09,-1.156
25-Feb-09,-1.412
26-Feb-09,1.595
27-Feb-09,5.326
28-Feb-09,7.14
1-Mar-09,-1.337
2-Mar-09,-4.792
3-Mar-09,-4.545
4-Mar-09,-3.614
5-Mar-09,-0.944
6-Mar-09,3.819
7-Mar-09,9.384
8-Mar-09,11.081
9-Mar-09,6.501
10-Mar-09,1.619
11-Mar-09,6.167
