system:time_start,tmin
1-Jan-08,-12.162
2-Jan-08,-14.878
3-Jan-08,-23.687
4-Jan-08,-24.943
5-Jan-08,-20.163
6-Jan-08,-11.547
7-Jan-08,-4.394
8-Jan-08,-1.019
9-Jan-08,0.845
10-Jan-08,-0.705
11-Jan-08,-3.221
12-Jan-08,-2.845
13-Jan-08,-6.389
14-Jan-08,-6.631
15-Jan-08,-10.968
16-Jan-08,-14.249
17-Jan-08,-17.923
18-Jan-08,-12.84
19-Jan-08,-9.485
20-Jan-08,-12.537
21-Jan-08,-19.519
22-Jan-08,-18.578
23-Jan-08,-13.301
24-Jan-08,-12.66
25-Jan-08,-18.497
26-Jan-08,-16.099
27-Jan-08,-10.813
28-Jan-08,-12.242
29-Jan-08,-11.385
30-Jan-08,-8.37
31-Jan-08,-10.448
1-Feb-08,-9.842
2-Feb-08,-6.801
3-Feb-08,-2.914
4-Feb-08,-4.569
5-Feb-08,-3.244
6-Feb-08,-1.511
7-Feb-08,-5.585
8-Feb-08,-9.123
9-Feb-08,-15.245
10-Feb-08,-12.854
11-Feb-08,-14.237
12-Feb-08,-20.497
13-Feb-08,-16.201
14-Feb-08,-7.802
15-Feb-08,-8.962
16-Feb-08,-15.985
17-Feb-08,-17.81
18-Feb-08,-11.659
19-Feb-08,-3.362
20-Feb-08,-10.342
21-Feb-08,-16.392
22-Feb-08,-17.585
23-Feb-08,-15.47
24-Feb-08,-16.74
25-Feb-08,-14.82
26-Feb-08,-10.939
27-Feb-08,-6.264
28-Feb-08,-12.221
29-Feb-08,-24.348
1-Mar-08,-18.379
2-Mar-08,-10.182
3-Mar-08,-15.472
4-Mar-08,-7.861
5-Mar-08,-4.982
6-Mar-08,-7.575
7-Mar-08,-7.261
8-Mar-08,-2.109
9-Mar-08,-4.246
10-Mar-08,-12.167
11-Mar-08,-15.237
12-Mar-08,-11.711
13-Mar-08,-9.829
14-Mar-08,-6.906
15-Mar-08,-2.408
16-Mar-08,-2.178
17-Mar-08,-5.419
18-Mar-08,-10.187
19-Mar-08,-7.506
20-Mar-08,-1.444
21-Mar-08,-6.395
22-Mar-08,-7.935
23-Mar-08,-8.434
24-Mar-08,-13.013
25-Mar-08,-12.19
26-Mar-08,-8.005
27-Mar-08,-5.088
28-Mar-08,-3.909
29-Mar-08,-7.804
30-Mar-08,-10.052
31-Mar-08,-8.735
1-Apr-08,-3.65
2-Apr-08,-0.819
3-Apr-08,-4.099
4-Apr-08,-2.867
5-Apr-08,-0.874
6-Apr-08,-0.881
7-Apr-08,-2.5
8-Apr-08,-4.844
9-Apr-08,-4
10-Apr-08,-1.177
11-Apr-08,-1.067
12-Apr-08,0.666
13-Apr-08,-0.924
14-Apr-08,-2.502
15-Apr-08,-3.735
16-Apr-08,-3.703
17-Apr-08,-2
18-Apr-08,-0.952
19-Apr-08,1.335
20-Apr-08,-0.089
21-Apr-08,1.846
22-Apr-08,2.365
23-Apr-08,3.819
24-Apr-08,6.404
25-Apr-08,1.05
26-Apr-08,0.5
27-Apr-08,2.585
28-Apr-08,4.17
29-Apr-08,4.17
30-Apr-08,-1.032
1-May-08,-3.222
2-May-08,-1.735
3-May-08,1.814
4-May-08,4.081
5-May-08,4.606
6-May-08,2.249
7-May-08,3.751
8-May-08,7.038
9-May-08,4.779
10-May-08,5.22
11-May-08,2.263
12-May-08,1.649
13-May-08,3.851
14-May-08,2.574
15-May-08,4.912
16-May-08,5.63
17-May-08,7.629
18-May-08,6.296
19-May-08,5.84
20-May-08,4.667
21-May-08,6.533
22-May-08,6.449
23-May-08,5.821
24-May-08,5.322
25-May-08,4.251
26-May-08,6.965
27-May-08,10.257
28-May-08,4.04
29-May-08,3.511
30-May-08,5.132
31-May-08,7.889
1-Jun-08,9.496
2-Jun-08,10.213
