system:time_start,ppt
1-Jan-08,2.536
2-Jan-08,18.072
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,1.722
11-Jan-08,1.543
12-Jan-08,14.083
13-Jan-08,0
14-Jan-08,1.147
15-Jan-08,18.943
16-Jan-08,0
17-Jan-08,0
18-Jan-08,5.553
19-Jan-08,8.595
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0
26-Jan-08,0
27-Jan-08,1.325
28-Jan-08,0.765
29-Jan-08,0
30-Jan-08,2.628
31-Jan-08,3.712
1-Feb-08,0
2-Feb-08,25.329
3-Feb-08,0.022
4-Feb-08,0
5-Feb-08,9.746
6-Feb-08,4.259
7-Feb-08,23.497
8-Feb-08,5.166
9-Feb-08,0.64
10-Feb-08,9.941
11-Feb-08,4.533
12-Feb-08,0
13-Feb-08,15.959
14-Feb-08,42.347
15-Feb-08,2.107
16-Feb-08,0.026
17-Feb-08,0
18-Feb-08,19.881
19-Feb-08,7.584
20-Feb-08,0
21-Feb-08,0
22-Feb-08,0
23-Feb-08,5.019
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,29.84
28-Feb-08,2.011
29-Feb-08,0
1-Mar-08,5.859
2-Mar-08,11.788
3-Mar-08,0.006
4-Mar-08,0
5-Mar-08,8.948
6-Mar-08,6.768
7-Mar-08,0
8-Mar-08,10.874
9-Mar-08,33.487
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0
13-Mar-08,0.001
14-Mar-08,0
15-Mar-08,3.56
16-Mar-08,1.957
17-Mar-08,0
18-Mar-08,0
19-Mar-08,0.607
20-Mar-08,23.256
21-Mar-08,0.725
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,1.364
27-Mar-08,0
28-Mar-08,4.198
29-Mar-08,6.58
30-Mar-08,0
31-Mar-08,0
1-Apr-08,5.844
2-Apr-08,3.184
3-Apr-08,0
4-Apr-08,0
5-Apr-08,14.543
6-Apr-08,0
7-Apr-08,0
8-Apr-08,0
9-Apr-08,0
10-Apr-08,0
11-Apr-08,0
12-Apr-08,11.707
13-Apr-08,1.301
14-Apr-08,0
15-Apr-08,0
16-Apr-08,0
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0
24-Apr-08,0.408
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0.066
28-Apr-08,0.81
29-Apr-08,61.111
30-Apr-08,22.235
1-May-08,0
2-May-08,0
3-May-08,0
4-May-08,8.55
5-May-08,7.578
6-May-08,0
7-May-08,0.021
8-May-08,0.5
9-May-08,0
10-May-08,0
11-May-08,0
12-May-08,0
13-May-08,0
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,0.374
18-May-08,0.038
19-May-08,0
20-May-08,0
21-May-08,0.507
22-May-08,2.63
23-May-08,0.643
24-May-08,0.612
25-May-08,0
26-May-08,0
27-May-08,0.179
28-May-08,0
29-May-08,0
30-May-08,0
31-May-08,0.929
1-Jun-08,4.317
2-Jun-08,0
3-Jun-08,0
4-Jun-08,3.472
5-Jun-08,6.655
6-Jun-08,2.427
7-Jun-08,4.523
8-Jun-08,0
9-Jun-08,0
10-Jun-08,0
11-Jun-08,10.945
12-Jun-08,0
13-Jun-08,0
14-Jun-08,0
15-Jun-08,17.031
16-Jun-08,4.564
17-Jun-08,2.462
18-Jun-08,4.131
19-Jun-08,0.666
20-Jun-08,0.412
21-Jun-08,7.367
22-Jun-08,6.412
23-Jun-08,22.315
24-Jun-08,2.746
25-Jun-08,5.577
26-Jun-08,0
27-Jun-08,0.482
28-Jun-08,1.121
29-Jun-08,16.389
30-Jun-08,32.274
1-Jul-08,0.051
2-Jul-08,0
3-Jul-08,0
4-Jul-08,0
5-Jul-08,0
6-Jul-08,0
7-Jul-08,0
8-Jul-08,0
9-Jul-08,0
10-Jul-08,12.973
11-Jul-08,0
12-Jul-08,0
13-Jul-08,0
14-Jul-08,0.312
15-Jul-08,1.205
16-Jul-08,0
17-Jul-08,0
18-Jul-08,0
19-Jul-08,17.549
20-Jul-08,0.224
21-Jul-08,12.933
22-Jul-08,7.544
23-Jul-08,0
24-Jul-08,20.322
25-Jul-08,50.908
26-Jul-08,0
27-Jul-08,0.168
28-Jul-08,0.664
29-Jul-08,0.001
30-Jul-08,0
31-Jul-08,0
1-Aug-08,9.359
2-Aug-08,3.072
3-Aug-08,13.97
4-Aug-08,27.102
5-Aug-08,3.091
6-Aug-08,1.203
7-Aug-08,39.508
8-Aug-08,18.004
9-Aug-08,6.349
10-Aug-08,1.458
11-Aug-08,3.865
12-Aug-08,1.004
13-Aug-08,2.48
14-Aug-08,0
15-Aug-08,2.212
16-Aug-08,0.183
17-Aug-08,5.238
18-Aug-08,0
19-Aug-08,1.075
20-Aug-08,5.067
21-Aug-08,0
22-Aug-08,0
23-Aug-08,0
24-Aug-08,0
25-Aug-08,0
26-Aug-08,0
27-Aug-08,0
28-Aug-08,0
29-Aug-08,0
30-Aug-08,0
31-Aug-08,0
1-Sep-08,0
2-Sep-08,0
3-Sep-08,0
4-Sep-08,0
5-Sep-08,0
6-Sep-08,0
7-Sep-08,104.698
8-Sep-08,0
9-Sep-08,0
10-Sep-08,23.585
11-Sep-08,0
12-Sep-08,0
13-Sep-08,2.552
14-Sep-08,0.9
15-Sep-08,4.624
16-Sep-08,0
17-Sep-08,0
18-Sep-08,0
19-Sep-08,0
20-Sep-08,0
21-Sep-08,0
22-Sep-08,0.204
23-Sep-08,0
24-Sep-08,0
25-Sep-08,0
26-Sep-08,0
27-Sep-08,68.251
28-Sep-08,31.049
29-Sep-08,8.979
1-Oct-08,4.478
2-Oct-08,2.602
3-Oct-08,0.472
4-Oct-08,1.828
5-Oct-08,0
6-Oct-08,0
7-Oct-08,0
8-Oct-08,0
9-Oct-08,1.537
10-Oct-08,0
11-Oct-08,0
12-Oct-08,0
13-Oct-08,0
14-Oct-08,0
15-Oct-08,0
16-Oct-08,0.265
17-Oct-08,3.691
18-Oct-08,0
19-Oct-08,0
20-Oct-08,0
21-Oct-08,0
22-Oct-08,9.511
23-Oct-08,0.669
24-Oct-08,0
25-Oct-08,0
26-Oct-08,39.169
27-Oct-08,0.437
28-Oct-08,0.111
29-Oct-08,8.869
30-Oct-08,0
31-Oct-08,0
1-Nov-08,0
2-Nov-08,0
3-Nov-08,0
4-Nov-08,0
5-Nov-08,0
6-Nov-08,0
7-Nov-08,10.165
8-Nov-08,0.806
9-Nov-08,8.542
10-Nov-08,0.25
11-Nov-08,0.267
12-Nov-08,0
13-Nov-08,0
14-Nov-08,13.259
15-Nov-08,10.686
16-Nov-08,16.705
17-Nov-08,1.619
18-Nov-08,0
