system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,299.72"
3-Jan-08,"12,851.20"
4-Jan-08,"13,085.14"
5-Jan-08,
6-Jan-08,"13,627.37"
7-Jan-08,
8-Jan-08,"14,127.24"
9-Jan-08,
10-Jan-08,"13,826.05"
11-Jan-08,
12-Jan-08,"13,652.35"
13-Jan-08,"13,497.67"
14-Jan-08,
15-Jan-08,"13,436.75"
16-Jan-08,"13,317.96"
17-Jan-08,
18-Jan-08,
19-Jan-08,"13,300.85"
20-Jan-08,"13,175.72"
21-Jan-08,"13,009.12"
22-Jan-08,"13,270.79"
23-Jan-08,"13,425.25"
24-Jan-08,
25-Jan-08,"13,114.83"
26-Jan-08,"13,276.17"
27-Jan-08,
28-Jan-08,"13,504.69"
29-Jan-08,"13,615.34"
30-Jan-08,
31-Jan-08,"13,474.04"
1-Feb-08,
2-Feb-08,"13,687.27"
3-Feb-08,
4-Feb-08,"13,324.03"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"12,980.03"
12-Feb-08,"13,190.72"
13-Feb-08,
14-Feb-08,"13,531.08"
15-Feb-08,"13,551.99"
16-Feb-08,"13,240.09"
17-Feb-08,"13,154.48"
18-Feb-08,
19-Feb-08,"13,734.46"
20-Feb-08,"13,379.56"
21-Feb-08,"13,298.42"
22-Feb-08,
23-Feb-08,"13,424.52"
24-Feb-08,"13,524.24"
25-Feb-08,"13,707.76"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,113.09"
1-Mar-08,
2-Mar-08,"13,492.81"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,669.30"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,350.49"
10-Mar-08,"13,395.88"
11-Mar-08,"13,573.95"
12-Mar-08,
13-Mar-08,"13,455.43"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,650.34"
18-Mar-08,"13,745.59"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,621.94"
23-Mar-08,"13,591.66"
24-Mar-08,"13,621.90"
25-Mar-08,"13,589.55"
26-Mar-08,"13,755.70"
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,376.80"
30-Mar-08,"13,760.69"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,753.28"
3-Apr-08,"13,837.75"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"13,905.91"
8-Apr-08,"13,899.77"
9-Apr-08,
10-Apr-08,"13,834.62"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"13,961.19"
15-Apr-08,"14,053.15"
16-Apr-08,"14,275.87"
17-Apr-08,"14,340.12"
18-Apr-08,"14,662.77"
19-Apr-08,"14,480.54"
20-Apr-08,"14,071.31"
21-Apr-08,"14,481.78"
22-Apr-08,
23-Apr-08,"14,440.01"
24-Apr-08,"14,682.94"
25-Apr-08,"14,316.94"
26-Apr-08,"14,582.87"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,259.21"
1-May-08,"14,153.70"
2-May-08,"14,306.35"
3-May-08,
4-May-08,
5-May-08,"14,688.11"
6-May-08,"14,028.38"
7-May-08,"14,560.32"
8-May-08,"14,599.47"
9-May-08,
10-May-08,"14,076.82"
11-May-08,"14,499.63"
12-May-08,"14,020"
13-May-08,"13,983.37"
14-May-08,"14,752.67"
15-May-08,"14,417.67"
16-May-08,
17-May-08,"14,174"
18-May-08,"14,696.23"
19-May-08,"14,342.11"
20-May-08,"14,380.55"
21-May-08,"14,444.64"
22-May-08,
23-May-08,"14,535.58"
24-May-08,"14,242.28"
25-May-08,"14,732.96"
26-May-08,"14,707.66"
27-May-08,"14,874.52"
28-May-08,"14,569.09"
29-May-08,"14,744.98"
30-May-08,"14,278.68"
31-May-08,
1-Jun-08,"14,701.30"
2-Jun-08,"14,512.66"
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,
8-Jun-08,"15,182.64"
9-Jun-08,
10-Jun-08,"15,054.43"
11-Jun-08,"14,936.99"
12-Jun-08,"14,577.19"
13-Jun-08,"14,942.13"
14-Jun-08,"14,648.93"
15-Jun-08,
