system:time_start,vpd
1-Jan-08,0.134
2-Jan-08,0.153
3-Jan-08,0.062
4-Jan-08,0.099
5-Jan-08,0.121
6-Jan-08,0.171
7-Jan-08,0.15
8-Jan-08,0.32
9-Jan-08,0.333
10-Jan-08,0.344
11-Jan-08,0.187
12-Jan-08,0.303
13-Jan-08,0.287
14-Jan-08,0.134
15-Jan-08,0.145
16-Jan-08,0.154
17-Jan-08,0.114
18-Jan-08,0.161
19-Jan-08,0.188
20-Jan-08,0.202
21-Jan-08,0.139
22-Jan-08,0.146
23-Jan-08,0.192
24-Jan-08,0.162
25-Jan-08,0.135
26-Jan-08,0.173
27-Jan-08,0.117
28-Jan-08,0.163
29-Jan-08,0.151
30-Jan-08,0.19
31-Jan-08,0.221
1-Feb-08,0.161
2-Feb-08,0.189
3-Feb-08,0.191
4-Feb-08,0.175
5-Feb-08,0.123
6-Feb-08,0.135
7-Feb-08,0.131
8-Feb-08,0.122
9-Feb-08,0.095
10-Feb-08,0.123
11-Feb-08,0.139
12-Feb-08,0.122
13-Feb-08,0.1
14-Feb-08,0.183
15-Feb-08,0.168
16-Feb-08,0.128
17-Feb-08,0.122
18-Feb-08,0.132
19-Feb-08,0.259
20-Feb-08,0.208
21-Feb-08,0.168
22-Feb-08,0.111
23-Feb-08,0.136
24-Feb-08,0.18
25-Feb-08,0.206
26-Feb-08,0.157
27-Feb-08,0.135
28-Feb-08,0.139
29-Feb-08,0.114
1-Mar-08,0.101
2-Mar-08,0.181
3-Mar-08,0.154
4-Mar-08,0.24
5-Mar-08,0.217
6-Mar-08,0.239
7-Mar-08,0.205
8-Mar-08,0.152
9-Mar-08,0.353
10-Mar-08,0.274
11-Mar-08,0.207
12-Mar-08,0.226
13-Mar-08,0.323
14-Mar-08,0.244
15-Mar-08,0.204
16-Mar-08,0.216
17-Mar-08,0.293
18-Mar-08,0.366
19-Mar-08,0.178
20-Mar-08,0.189
21-Mar-08,0.257
22-Mar-08,0.261
23-Mar-08,0.306
24-Mar-08,0.274
25-Mar-08,0.32
26-Mar-08,0.367
27-Mar-08,0.411
28-Mar-08,0.176
29-Mar-08,0.19
30-Mar-08,0.331
31-Mar-08,0.205
1-Apr-08,0.364
2-Apr-08,0.681
3-Apr-08,0.541
4-Apr-08,0.264
5-Apr-08,0.412
6-Apr-08,0.297
7-Apr-08,0.4
8-Apr-08,0.514
9-Apr-08,0.57
10-Apr-08,0.627
11-Apr-08,0.399
12-Apr-08,0.597
13-Apr-08,0.413
14-Apr-08,0.464
15-Apr-08,0.645
16-Apr-08,0.805
17-Apr-08,0.828
18-Apr-08,1.166
19-Apr-08,0.902
20-Apr-08,0.573
21-Apr-08,0.648
22-Apr-08,0.827
23-Apr-08,1.115
24-Apr-08,0.88
25-Apr-08,0.883
26-Apr-08,0.563
27-Apr-08,0.414
28-Apr-08,0.345
29-Apr-08,0.296
30-Apr-08,0.529
1-May-08,0.629
2-May-08,0.694
3-May-08,0.383
4-May-08,0.373
5-May-08,0.729
6-May-08,1.039
7-May-08,1.002
8-May-08,1.039
9-May-08,0.787
10-May-08,0.642
11-May-08,0.762
12-May-08,0.726
13-May-08,0.893
14-May-08,1.026
15-May-08,0.707
16-May-08,0.872
17-May-08,0.902
18-May-08,0.883
19-May-08,0.677
20-May-08,0.707
21-May-08,0.707
22-May-08,0.692
23-May-08,0.778
