system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,477.78"
3-Jan-08,"13,013.46"
4-Jan-08,"13,414.69"
5-Jan-08,"13,413.06"
6-Jan-08,
7-Jan-08,
8-Jan-08,"13,954.05"
9-Jan-08,
10-Jan-08,"13,841.28"
11-Jan-08,
12-Jan-08,"13,617"
13-Jan-08,"13,861.45"
14-Jan-08,
15-Jan-08,"13,593.76"
16-Jan-08,"13,697"
17-Jan-08,
18-Jan-08,"13,811.79"
19-Jan-08,
20-Jan-08,"13,632.45"
21-Jan-08,"13,491.92"
22-Jan-08,
23-Jan-08,"13,720.89"
24-Jan-08,
25-Jan-08,"13,588.75"
26-Jan-08,"13,442.35"
27-Jan-08,
28-Jan-08,"13,651.50"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,820.76"
1-Feb-08,
2-Feb-08,"13,892.12"
3-Feb-08,
4-Feb-08,"13,819.92"
5-Feb-08,
6-Feb-08,
7-Feb-08,"12,668"
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,331.72"
12-Feb-08,"13,534"
13-Feb-08,
14-Feb-08,"13,698.80"
15-Feb-08,
16-Feb-08,"13,538.31"
17-Feb-08,
18-Feb-08,
19-Feb-08,"13,754"
20-Feb-08,"13,551.48"
21-Feb-08,"13,746.27"
22-Feb-08,"12,922.77"
23-Feb-08,"13,650.30"
24-Feb-08,"13,711.80"
25-Feb-08,"13,812.47"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,448.48"
1-Mar-08,
2-Mar-08,"13,698.36"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,608"
7-Mar-08,
8-Mar-08,
9-Mar-08,
10-Mar-08,
11-Mar-08,"13,873.17"
12-Mar-08,"12,926.80"
13-Mar-08,"13,867.57"
14-Mar-08,"13,570"
15-Mar-08,
16-Mar-08,
17-Mar-08,"14,082.05"
18-Mar-08,"14,156.52"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,992.74"
23-Mar-08,"14,119.93"
24-Mar-08,"14,042.14"
25-Mar-08,"14,075.67"
26-Mar-08,
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,716.72"
30-Mar-08,"14,205.93"
31-Mar-08,
1-Apr-08,
2-Apr-08,"14,232.92"
3-Apr-08,"14,357.59"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"14,269.40"
8-Apr-08,"14,584.36"
9-Apr-08,"14,323.44"
10-Apr-08,"14,810.40"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"14,397.99"
15-Apr-08,"14,798.51"
16-Apr-08,"14,694.17"
17-Apr-08,"14,889.12"
18-Apr-08,"15,131.49"
19-Apr-08,"14,849.01"
20-Apr-08,"14,591.69"
21-Apr-08,"14,649.45"
22-Apr-08,"14,518.56"
23-Apr-08,"14,954.69"
24-Apr-08,"15,084.72"
25-Apr-08,"14,527.97"
26-Apr-08,"14,823.32"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,576.06"
1-May-08,"14,494.69"
2-May-08,"14,469.50"
3-May-08,
4-May-08,
5-May-08,"14,971.95"
6-May-08,"14,530.39"
7-May-08,"15,003.16"
8-May-08,"15,111.59"
9-May-08,
10-May-08,
11-May-08,"14,854.64"
12-May-08,
13-May-08,
14-May-08,"15,009.41"
15-May-08,
16-May-08,
17-May-08,
18-May-08,
19-May-08,"14,533.91"
20-May-08,
21-May-08,"14,693.23"
22-May-08,
23-May-08,"14,327.73"
24-May-08,"14,873.52"
25-May-08,"14,976.70"
26-May-08,
27-May-08,"15,040.18"
28-May-08,"15,056.42"
29-May-08,"15,235.77"
30-May-08,
31-May-08,
1-Jun-08,"14,871.88"
2-Jun-08,"14,992.35"
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,"14,981.22"
8-Jun-08,"15,291.73"
9-Jun-08,"15,245.52"
10-Jun-08,"14,956.60"
11-Jun-08,"15,422.45"
12-Jun-08,"15,199.83"
13-Jun-08,"15,345.05"
14-Jun-08,"15,088.14"
15-Jun-08,
16-Jun-08,
17-Jun-08,"14,889.39"
18-Jun-08,"15,142.86"
19-Jun-08,"14,942.64"
20-Jun-08,"14,710.25"
21-Jun-08,"15,112.05"
22-Jun-08,
23-Jun-08,
24-Jun-08,"15,162.58"
25-Jun-08,"15,025.61"
26-Jun-08,
27-Jun-08,
28-Jun-08,
29-Jun-08,"14,993.72"
30-Jun-08,"15,177.77"
1-Jul-08,"15,189.06"
2-Jul-08,"15,228.89"
3-Jul-08,"15,035.57"
4-Jul-08,"15,320.97"
5-Jul-08,"15,141.60"
6-Jul-08,"15,253.73"
7-Jul-08,
8-Jul-08,"15,322.49"
9-Jul-08,"15,239.45"
10-Jul-08,"15,210.23"
11-Jul-08,
12-Jul-08,"14,948.39"
13-Jul-08,"15,185.30"
14-Jul-08,
15-Jul-08,"15,241.57"
16-Jul-08,"15,413.08"
17-Jul-08,
18-Jul-08,
19-Jul-08,"15,063.21"
20-Jul-08,
21-Jul-08,
22-Jul-08,
23-Jul-08,
24-Jul-08,
25-Jul-08,"15,251.59"
26-Jul-08,"15,239.14"
27-Jul-08,"15,096.82"
28-Jul-08,"15,004.75"
29-Jul-08,"15,226.17"
30-Jul-08,
31-Jul-08,
1-Aug-08,"15,143.33"
2-Aug-08,
3-Aug-08,"14,982.28"
4-Aug-08,
5-Aug-08,"14,954.35"
6-Aug-08,
7-Aug-08,
8-Aug-08,
9-Aug-08,"14,691.33"
10-Aug-08,"15,045.22"
11-Aug-08,
12-Aug-08,
13-Aug-08,"14,871.33"
14-Aug-08,"15,058.91"
15-Aug-08,"15,154.60"
16-Aug-08,"15,111.26"
17-Aug-08,
18-Aug-08,"15,008.43"
19-Aug-08,"14,630.41"
20-Aug-08,"14,875.20"
21-Aug-08,"15,256.55"
22-Aug-08,"15,083.77"
23-Aug-08,"15,162.77"
24-Aug-08,"14,973.63"
25-Aug-08,"14,980.56"
26-Aug-08,"15,065.79"
27-Aug-08,"15,088.61"
28-Aug-08,"14,660.99"
29-Aug-08,
30-Aug-08,"15,091.90"
31-Aug-08,"15,071.10"
1-Sep-08,"15,176.29"
2-Sep-08,
3-Sep-08,"14,873.22"
4-Sep-08,"15,327.57"
