system:time_start,tmax
1-Jan-08,1
2-Jan-08,-0.01
3-Jan-08,-7.164
4-Jan-08,-7.738
5-Jan-08,-1
6-Jan-08,3.306
7-Jan-08,5.5
8-Jan-08,12.841
9-Jan-08,13
10-Jan-08,9.514
11-Jan-08,5.936
12-Jan-08,6.422
13-Jan-08,5.999
14-Jan-08,1.991
15-Jan-08,-0.93
16-Jan-08,-0.5
17-Jan-08,-0.971
18-Jan-08,4.547
19-Jan-08,3.104
20-Jan-08,-0.985
21-Jan-08,-3.491
22-Jan-08,-0.335
23-Jan-08,1.027
24-Jan-08,-1
25-Jan-08,-3.377
26-Jan-08,-2
27-Jan-08,-1.536
28-Jan-08,1.42
29-Jan-08,4
30-Jan-08,6.49
31-Jan-08,3.5
1-Feb-08,1.335
2-Feb-08,6.372
3-Feb-08,4
4-Feb-08,4.335
5-Feb-08,2.5
6-Feb-08,2
7-Feb-08,0.5
8-Feb-08,-3.016
9-Feb-08,-0.556
10-Feb-08,2.5
11-Feb-08,-2.112
12-Feb-08,-4.457
13-Feb-08,0.731
14-Feb-08,1.508
15-Feb-08,3.5
16-Feb-08,0.266
17-Feb-08,0.067
18-Feb-08,8.846
19-Feb-08,7.63
20-Feb-08,2.207
21-Feb-08,-2.5
22-Feb-08,-3.462
23-Feb-08,0.431
24-Feb-08,2.023
25-Feb-08,4
26-Feb-08,3.961
27-Feb-08,2.5
28-Feb-08,-0.5
29-Feb-08,-3.889
1-Mar-08,0.25
2-Mar-08,3.319
3-Mar-08,3.99
4-Mar-08,9.683
5-Mar-08,6.694
6-Mar-08,3.63
7-Mar-08,4.57
8-Mar-08,4.886
9-Mar-08,5.273
10-Mar-08,-0.486
11-Mar-08,1.471
12-Mar-08,4.47
13-Mar-08,3
14-Mar-08,5.57
15-Mar-08,4.851
16-Mar-08,3.978
17-Mar-08,4.5
18-Mar-08,5.994
19-Mar-08,4.034
20-Mar-08,3.5
21-Mar-08,2.515
22-Mar-08,2.484
23-Mar-08,3.558
24-Mar-08,3
25-Mar-08,2.5
26-Mar-08,8.494
27-Mar-08,10
28-Mar-08,6.5
29-Mar-08,0
30-Mar-08,4.179
31-Mar-08,5.258
1-Apr-08,10.335
2-Apr-08,11.495
3-Apr-08,10.295
4-Apr-08,7.198
5-Apr-08,7.461
6-Apr-08,6.5
7-Apr-08,7.476
8-Apr-08,9.015
9-Apr-08,9.689
10-Apr-08,15.916
11-Apr-08,15
12-Apr-08,11
13-Apr-08,9.663
14-Apr-08,10.153
15-Apr-08,12
16-Apr-08,14.374
17-Apr-08,15.247
18-Apr-08,21.002
19-Apr-08,19.983
20-Apr-08,15.983
21-Apr-08,13.887
22-Apr-08,17.787
23-Apr-08,23.176
24-Apr-08,22.875
25-Apr-08,18.5
26-Apr-08,14.722
27-Apr-08,11.595
28-Apr-08,11
29-Apr-08,11.521
30-Apr-08,11.246
1-May-08,12
2-May-08,12.155
3-May-08,9.694
4-May-08,8.112
5-May-08,14.589
6-May-08,18.731
7-May-08,21.335
8-May-08,23.968
9-May-08,20.394
10-May-08,16.478
11-May-08,16.519
12-May-08,15.521
13-May-08,18.516
14-May-08,19.5
15-May-08,18.13
16-May-08,18.994
17-May-08,19.034
18-May-08,20.702
19-May-08,17.582
20-May-08,17.994
21-May-08,17.287
22-May-08,15.805
23-May-08,18.483
24-May-08,20.5
25-May-08,21.994
26-May-08,25
27-May-08,27.36
28-May-08,22.098
29-May-08,23.573
30-May-08,22
31-May-08,17.599
1-Jun-08,21.916
2-Jun-08,23.526
3-Jun-08,24.446
4-Jun-08,19.56
5-Jun-08,17.5
6-Jun-08,15.5
7-Jun-08,18.699
8-Jun-08,28.102
9-Jun-08,30.321
10-Jun-08,26.634
11-Jun-08,27.928
12-Jun-08,26.5
13-Jun-08,26
14-Jun-08,24.114
15-Jun-08,19.162
16-Jun-08,15.97
17-Jun-08,19.845
18-Jun-08,21
19-Jun-08,21.036
20-Jun-08,21.468
21-Jun-08,22.01
22-Jun-08,22.745
23-Jun-08,22.648
24-Jun-08,24.994
25-Jun-08,26.511
26-Jun-08,27.542
27-Jun-08,26.494
28-Jun-08,22.001
29-Jun-08,19.336
30-Jun-08,25.632
1-Jul-08,27.5
2-Jul-08,27.5
3-Jul-08,28.479
4-Jul-08,24.954
5-Jul-08,23.775
6-Jul-08,24.87
7-Jul-08,27.279
8-Jul-08,29.994
9-Jul-08,30.017
10-Jul-08,28.672
11-Jul-08,25.5
12-Jul-08,24.139
13-Jul-08,25.492
14-Jul-08,26.498
15-Jul-08,28
16-Jul-08,27.929
17-Jul-08,29.982
18-Jul-08,29
19-Jul-08,29.494
20-Jul-08,26
21-Jul-08,23.97
22-Jul-08,24
23-Jul-08,22.548
24-Jul-08,23.124
25-Jul-08,25
26-Jul-08,26.806
27-Jul-08,26.564
28-Jul-08,27.019
29-Jul-08,28.484
30-Jul-08,27.5
31-Jul-08,25.994
1-Aug-08,25
2-Aug-08,23.25
3-Aug-08,23.468
4-Aug-08,24.936
5-Aug-08,23
6-Aug-08,19.785
7-Aug-08,18.5
8-Aug-08,19
9-Aug-08,21.108
10-Aug-08,23.468
11-Aug-08,20.702
12-Aug-08,19.648
13-Aug-08,22.986
14-Aug-08,24
15-Aug-08,24.994
16-Aug-08,25
17-Aug-08,26.877
18-Aug-08,27.713
19-Aug-08,24.411
20-Aug-08,22.511
21-Aug-08,25.111
22-Aug-08,26.5
23-Aug-08,25.97
24-Aug-08,23.465
25-Aug-08,25.629
26-Aug-08,25.206
27-Aug-08,24.494
28-Aug-08,25
29-Aug-08,22.501
30-Aug-08,25.062
31-Aug-08,26
1-Sep-08,27.013
2-Sep-08,26.008
3-Sep-08,25.164
4-Sep-08,28.397
5-Sep-08,26
6-Sep-08,23.502
7-Sep-08,24.462
8-Sep-08,24.402
9-Sep-08,22.002
10-Sep-08,19.5
11-Sep-08,19.5
12-Sep-08,18
13-Sep-08,20.785
14-Sep-08,21.411
15-Sep-08,24.482
16-Sep-08,23.285
17-Sep-08,18.517
18-Sep-08,18.26
19-Sep-08,15.5
20-Sep-08,15.319
21-Sep-08,20.053
22-Sep-08,19
23-Sep-08,15.99
24-Sep-08,17.527
25-Sep-08,17.564
26-Sep-08,16.5
27-Sep-08,18.567
28-Sep-08,18.5
29-Sep-08,20.47
1-Oct-08,16.37
2-Oct-08,16.525
3-Oct-08,15.971
4-Oct-08,15.504
5-Oct-08,15.5
6-Oct-08,14.037
7-Oct-08,16.554
8-Oct-08,17.973
9-Oct-08,20.958
10-Oct-08,20.793
11-Oct-08,19.494
12-Oct-08,18.082
13-Oct-08,15.486
14-Oct-08,14.968
15-Oct-08,15.349
16-Oct-08,14.679
17-Oct-08,14.215
18-Oct-08,12.5
19-Oct-08,10.5
20-Oct-08,12.481
21-Oct-08,13.5
22-Oct-08,9.495
23-Oct-08,8.612
24-Oct-08,13.478
25-Oct-08,14.494
26-Oct-08,17.082
27-Oct-08,17
28-Oct-08,14.672
29-Oct-08,9.047
30-Oct-08,6.984
31-Oct-08,11.199
1-Nov-08,11.502
2-Nov-08,8.979
3-Nov-08,7.978
4-Nov-08,12.928
5-Nov-08,17.336
6-Nov-08,16
7-Nov-08,15.444
8-Nov-08,14
9-Nov-08,13.242
10-Nov-08,11.922
11-Nov-08,8.489
12-Nov-08,7.266
13-Nov-08,7.784
14-Nov-08,10.87
15-Nov-08,14.43
16-Nov-08,15.5
17-Nov-08,9.935
18-Nov-08,6.513
19-Nov-08,1.5
20-Nov-08,-0.057
21-Nov-08,-0.264
22-Nov-08,-1.5
23-Nov-08,-1.33
24-Nov-08,1.756
25-Nov-08,8.17
26-Nov-08,9.006
27-Nov-08,6.5
28-Nov-08,5.538
29-Nov-08,5.997
30-Nov-08,4.324
1-Dec-08,5.475
2-Dec-08,7.399
3-Dec-08,6.5
4-Dec-08,6.8
5-Dec-08,4.936
6-Dec-08,1.046
7-Dec-08,0.229
8-Dec-08,-4
9-Dec-08,1.463
10-Dec-08,13
11-Dec-08,6.471
12-Dec-08,1.982
13-Dec-08,-0.09
14-Dec-08,-0.238
15-Dec-08,10.93
16-Dec-08,13.39
17-Dec-08,-0.063
18-Dec-08,-0.911
19-Dec-08,-1.956
20-Dec-08,-8.5
21-Dec-08,-8.274
22-Dec-08,-5.071
23-Dec-08,-4.889
24-Dec-08,3.803
25-Dec-08,9.85
26-Dec-08,2.651
27-Dec-08,3.709
28-Dec-08,10.629
29-Dec-08,9
30-Dec-08,4.5
1-Jan-09,-8.01
2-Jan-09,-4.63
3-Jan-09,-1.571
4-Jan-09,-0.347
5-Jan-09,2.011
6-Jan-09,1.5
