system:time_start,tmin
1-Jan-08,-8.478
2-Jan-08,-10.323
3-Jan-08,-19.158
4-Jan-08,-19.32
5-Jan-08,-13.19
6-Jan-08,-5.757
7-Jan-08,-1.92
8-Jan-08,1.344
9-Jan-08,4.205
10-Jan-08,1.276
11-Jan-08,-1.947
12-Jan-08,-1.074
13-Jan-08,-3.709
14-Jan-08,-5.609
15-Jan-08,-8.798
16-Jan-08,-9.537
17-Jan-08,-13.423
18-Jan-08,-6.927
19-Jan-08,-5.697
20-Jan-08,-8.791
21-Jan-08,-14.709
22-Jan-08,-13.214
23-Jan-08,-6.576
24-Jan-08,-9.61
25-Jan-08,-14.003
26-Jan-08,-12.157
27-Jan-08,-8.876
28-Jan-08,-8.5
29-Jan-08,-5.885
30-Jan-08,-3.696
31-Jan-08,-6.892
1-Feb-08,-5.485
2-Feb-08,-2.485
3-Feb-08,-2.5
4-Feb-08,-3.969
5-Feb-08,-1.226
6-Feb-08,-0.5
7-Feb-08,-5.51
8-Feb-08,-7.451
9-Feb-08,-11.108
10-Feb-08,-8.464
11-Feb-08,-12.809
12-Feb-08,-14.251
13-Feb-08,-9.622
14-Feb-08,-5.04
15-Feb-08,-6.208
16-Feb-08,-12.142
17-Feb-08,-13.45
18-Feb-08,-3.559
19-Feb-08,-2.208
20-Feb-08,-7.772
21-Feb-08,-12.067
22-Feb-08,-11.781
23-Feb-08,-8.444
24-Feb-08,-10.032
25-Feb-08,-8.844
26-Feb-08,-6.018
27-Feb-08,-4.415
28-Feb-08,-10.51
29-Feb-08,-18.165
1-Mar-08,-10.549
2-Mar-08,-5.535
3-Mar-08,-10.312
4-Mar-08,-2.186
5-Mar-08,-2.291
6-Mar-08,-4.127
7-Mar-08,-3.361
8-Mar-08,0.251
9-Mar-08,-4.133
10-Mar-08,-9.143
11-Mar-08,-9.936
12-Mar-08,-5.62
13-Mar-08,-6.41
14-Mar-08,-2.81
15-Mar-08,-0.688
16-Mar-08,-1.5
17-Mar-08,-2.892
18-Mar-08,-6.193
19-Mar-08,-2.524
20-Mar-08,0.5
21-Mar-08,-4.124
22-Mar-08,-5.562
23-Mar-08,-6.157
24-Mar-08,-8.774
25-Mar-08,-7.258
26-Mar-08,-3.027
27-Mar-08,-2.408
28-Mar-08,-1.592
29-Mar-08,-5.264
30-Mar-08,-6.662
31-Mar-08,-4.968
1-Apr-08,0.773
2-Apr-08,0.13
3-Apr-08,-2.145
4-Apr-08,0.355
5-Apr-08,1.5
6-Apr-08,1.13
7-Apr-08,-1.021
8-Apr-08,-2.609
9-Apr-08,-2.238
10-Apr-08,2.639
11-Apr-08,1.952
12-Apr-08,3.636
