system:time_start,ppt
1-Jan-08,3.425
2-Jan-08,18.634
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,0.807
11-Jan-08,2.242
12-Jan-08,22.91
13-Jan-08,0
14-Jan-08,0.689
15-Jan-08,16
16-Jan-08,0
17-Jan-08,0
18-Jan-08,10.347
19-Jan-08,9.808
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0
26-Jan-08,0
27-Jan-08,2.888
28-Jan-08,1.863
29-Jan-08,0
30-Jan-08,0.932
31-Jan-08,2.181
1-Feb-08,0
2-Feb-08,39.284
3-Feb-08,0
4-Feb-08,0
5-Feb-08,11.086
6-Feb-08,7.202
7-Feb-08,23.645
8-Feb-08,9.164
9-Feb-08,18.905
10-Feb-08,9.402
11-Feb-08,3.797
12-Feb-08,0
13-Feb-08,17.191
14-Feb-08,50.906
15-Feb-08,0.602
16-Feb-08,0
17-Feb-08,0
18-Feb-08,15.721
19-Feb-08,6.265
20-Feb-08,0
21-Feb-08,0
22-Feb-08,0
23-Feb-08,8.269
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,23.037
28-Feb-08,3.661
29-Feb-08,0
1-Mar-08,6.125
2-Mar-08,11.725
3-Mar-08,0
4-Mar-08,0
5-Mar-08,15.397
6-Mar-08,11.261
7-Mar-08,0
8-Mar-08,9.111
9-Mar-08,34.883
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0
13-Mar-08,3.304
14-Mar-08,0
15-Mar-08,7.449
16-Mar-08,3.499
17-Mar-08,0.033
18-Mar-08,0
19-Mar-08,0.034
20-Mar-08,27.848
21-Mar-08,1.029
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,1.027
27-Mar-08,0
28-Mar-08,4.928
29-Mar-08,8.641
30-Mar-08,0
31-Mar-08,0
1-Apr-08,7.27
2-Apr-08,4.571
3-Apr-08,0
4-Apr-08,0
5-Apr-08,15.101
6-Apr-08,0
7-Apr-08,0
8-Apr-08,0
