system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,460.72"
3-Jan-08,"12,926.77"
4-Jan-08,
5-Jan-08,"13,253.84"
6-Jan-08,"13,509.86"
7-Jan-08,
8-Jan-08,"13,947.11"
9-Jan-08,
10-Jan-08,"13,745.57"
11-Jan-08,
12-Jan-08,"13,564.41"
13-Jan-08,
14-Jan-08,
15-Jan-08,"13,480.68"
16-Jan-08,"13,413.82"
17-Jan-08,
18-Jan-08,
19-Jan-08,"13,562.27"
20-Jan-08,"13,337.04"
21-Jan-08,"13,167.04"
22-Jan-08,"13,579.54"
23-Jan-08,"13,553.97"
24-Jan-08,
25-Jan-08,"13,280.47"
26-Jan-08,"13,370.20"
27-Jan-08,
28-Jan-08,"13,444.79"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,646.28"
1-Feb-08,
2-Feb-08,"13,794.78"
3-Feb-08,
4-Feb-08,
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,259.47"
12-Feb-08,"13,281.95"
13-Feb-08,
14-Feb-08,"13,628.13"
15-Feb-08,"13,628.61"
16-Feb-08,"13,381.89"
17-Feb-08,
18-Feb-08,
19-Feb-08,"13,801.01"
20-Feb-08,"13,529.17"
21-Feb-08,"13,451.35"
22-Feb-08,
23-Feb-08,"13,419.68"
24-Feb-08,"13,599.39"
25-Feb-08,"13,757.17"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,307.66"
1-Mar-08,
2-Mar-08,"13,606.40"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,783.83"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,722.10"
10-Mar-08,"13,690.48"
11-Mar-08,"13,701.85"
12-Mar-08,
13-Mar-08,"13,376.69"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,774.34"
18-Mar-08,"13,895.72"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,873.55"
23-Mar-08,"13,874.89"
24-Mar-08,"13,958.66"
25-Mar-08,"13,985.01"
26-Mar-08,"14,040.43"
27-Mar-08,
28-Mar-08,
29-Mar-08,
30-Mar-08,"13,916.43"
31-Mar-08,
1-Apr-08,
2-Apr-08,"14,051.99"
3-Apr-08,"14,284.92"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"14,290.74"
8-Apr-08,"14,502.21"
9-Apr-08,"13,914.79"
10-Apr-08,
11-Apr-08,
