system:time_start,vpd
1-Oct-08,0.269
2-Oct-08,0.453
3-Oct-08,0.534
4-Oct-08,0.507
5-Oct-08,0.544
6-Oct-08,0.536
7-Oct-08,0.593
8-Oct-08,0.53
9-Oct-08,0.432
10-Oct-08,0.595
11-Oct-08,0.538
12-Oct-08,0.553
13-Oct-08,0.411
14-Oct-08,0.357
15-Oct-08,0.422
16-Oct-08,0.272
17-Oct-08,0.462
18-Oct-08,0.453
19-Oct-08,0.404
20-Oct-08,0.413
21-Oct-08,0.434
22-Oct-08,0.293
23-Oct-08,0.373
24-Oct-08,0.462
25-Oct-08,0.241
26-Oct-08,0.335
27-Oct-08,0.38
28-Oct-08,0.315
29-Oct-08,0.412
30-Oct-08,0.353
31-Oct-08,0.336
1-Nov-08,0.407
2-Nov-08,0.362
3-Nov-08,0.272
4-Nov-08,0.336
5-Nov-08,0.415
6-Nov-08,0.277
7-Nov-08,0.31
8-Nov-08,0.293
9-Nov-08,0.397
10-Nov-08,0.441
11-Nov-08,0.349
12-Nov-08,0.329
13-Nov-08,0.283
14-Nov-08,0.243
15-Nov-08,0.216
16-Nov-08,0.339
17-Nov-08,0.387
18-Nov-08,0.3
19-Nov-08,0.229
20-Nov-08,0.274
21-Nov-08,0.244
22-Nov-08,0.251
23-Nov-08,0.239
24-Nov-08,0.264
25-Nov-08,0.164
26-Nov-08,0.354
27-Nov-08,0.333
28-Nov-08,0.286
29-Nov-08,0.305
30-Nov-08,0.211
1-Dec-08,0.226
2-Dec-08,0.31
3-Dec-08,0.279
4-Dec-08,0.253
5-Dec-08,0.34
6-Dec-08,0.27
7-Dec-08,0.189
8-Dec-08,0.182
9-Dec-08,0.151
10-Dec-08,0.208
11-Dec-08,0.221
12-Dec-08,0.175
13-Dec-08,0.2
14-Dec-08,0.184
15-Dec-08,0.196
16-Dec-08,0.43
17-Dec-08,0.132
18-Dec-08,0.202
19-Dec-08,0.156
20-Dec-08,0.079
21-Dec-08,0.136
22-Dec-08,0.125
23-Dec-08,0.129
24-Dec-08,0.148
25-Dec-08,0.274
26-Dec-08,0.186
27-Dec-08,0.126
28-Dec-08,0.382
29-Dec-08,0.262
30-Dec-08,0.201
31-Dec-08,0.132
1-Jan-09,0.086
2-Jan-09,0.155
3-Jan-09,0.161
4-Jan-09,0.156
5-Jan-09,0.208
6-Jan-09,0.203
7-Jan-09,0.171
8-Jan-09,0.196
9-Jan-09,0.14
10-Jan-09,0.125
11-Jan-09,0.123
12-Jan-09,0.129
13-Jan-09,0.152
14-Jan-09,0.245
15-Jan-09,0.081
16-Jan-09,0.088
17-Jan-09,0.114
18-Jan-09,0.109
19-Jan-09,0.158
20-Jan-09,0.141
21-Jan-09,0.139
22-Jan-09,0.164
23-Jan-09,0.176
24-Jan-09,0.203
25-Jan-09,0.121
26-Jan-09,0.131
27-Jan-09,0.165
28-Jan-09,0.139
29-Jan-09,0.242
30-Jan-09,0.232
31-Jan-09,0.249
1-Feb-09,0.243
2-Feb-09,0.253
3-Feb-09,0.222
4-Feb-09,0.168
5-Feb-09,0.137
6-Feb-09,0.16
7-Feb-09,0.182
8-Feb-09,0.236
9-Feb-09,0.219
10-Feb-09,0.206
11-Feb-09,0.175
12-Feb-09,0.214
13-Feb-09,0.301
14-Feb-09,0.221
15-Feb-09,0.202
16-Feb-09,0.21
17-Feb-09,0.248
18-Feb-09,0.243
19-Feb-09,0.185
20-Feb-09,0.252
21-Feb-09,0.236
22-Feb-09,0.179
23-Feb-09,0.234
24-Feb-09,0.21
25-Feb-09,0.207
26-Feb-09,0.165
27-Feb-09,0.191
28-Feb-09,0.272
1-Mar-09,0.155
2-Mar-09,0.137
3-Mar-09,0.158
4-Mar-09,0.186
5-Mar-09,0.222
6-Mar-09,0.161
7-Mar-09,0.315
8-Mar-09,0.317
9-Mar-09,0.256
10-Mar-09,0.279
11-Mar-09,0.243
12-Mar-09,0.362
13-Mar-09,0.246
14-Mar-09,0.337
15-Mar-09,0.404
16-Mar-09,0.302
17-Mar-09,0.326
18-Mar-09,0.284
19-Mar-09,0.362
20-Mar-09,0.397
21-Mar-09,0.406
22-Mar-09,0.365
23-Mar-09,0.322
24-Mar-09,0.316
25-Mar-09,0.447
26-Mar-09,0.375
27-Mar-09,0.333
28-Mar-09,0.313
29-Mar-09,0.195
30-Mar-09,0.241
31-Mar-09,0.469
1-Apr-09,0.342
2-Apr-09,0.421
3-Apr-09,0.328
4-Apr-09,0.396
5-Apr-09,0.454
6-Apr-09,0.349
7-Apr-09,0.453
8-Apr-09,0.446
9-Apr-09,0.537
10-Apr-09,0.638
11-Apr-09,0.42
12-Apr-09,0.487
13-Apr-09,0.551
14-Apr-09,0.561
15-Apr-09,0.603
16-Apr-09,0.581
17-Apr-09,0.667
18-Apr-09,0.692
19-Apr-09,0.586
20-Apr-09,0.471
21-Apr-09,0.335
22-Apr-09,0.49
23-Apr-09,0.581
24-Apr-09,0.668
25-Apr-09,0.58
26-Apr-09,1.019
27-Apr-09,0.535
28-Apr-09,0.857
29-Apr-09,0.713
30-Apr-09,0.686
1-May-09,0.447
2-May-09,0.61
3-May-09,0.624
4-May-09,0.571
5-May-09,0.339
6-May-09,0.386
7-May-09,0.36
8-May-09,0.532
9-May-09,0.427
10-May-09,0.482
11-May-09,0.528
12-May-09,0.578
13-May-09,0.612
14-May-09,0.379
15-May-09,0.569
16-May-09,0.433
17-May-09,0.513
18-May-09,0.583
19-May-09,0.626
20-May-09,0.785
21-May-09,0.858
22-May-09,0.897
23-May-09,0.604
24-May-09,0.612
25-May-09,0.764
26-May-09,0.64
27-May-09,0.379
28-May-09,0.343
29-May-09,0.366
30-May-09,0.58
31-May-09,0.602
1-Jun-09,0.547
2-Jun-09,0.706
3-Jun-09,0.716
4-Jun-09,0.608
5-Jun-09,0.421
6-Jun-09,0.392
7-Jun-09,0.663
8-Jun-09,0.775
9-Jun-09,0.458
10-Jun-09,0.396
11-Jun-09,0.311
12-Jun-09,0.386
13-Jun-09,0.6
14-Jun-09,0.379
15-Jun-09,0.392
16-Jun-09,0.559
17-Jun-09,0.613
18-Jun-09,0.428
19-Jun-09,0.313
20-Jun-09,0.371
21-Jun-09,0.374
22-Jun-09,0.403
23-Jun-09,0.375
24-Jun-09,0.383
25-Jun-09,0.409
26-Jun-09,0.401
27-Jun-09,0.439
28-Jun-09,0.363
29-Jun-09,0.337
1-Jul-09,0.394
2-Jul-09,0.393
3-Jul-09,0.39
4-Jul-09,0.57
5-Jul-09,0.562
6-Jul-09,0.73
7-Jul-09,0.394
8-Jul-09,0.371
9-Jul-09,0.608
10-Jul-09,0.647
11-Jul-09,0.511
12-Jul-09,0.594
13-Jul-09,0.667
14-Jul-09,0.695
15-Jul-09,0.738
16-Jul-09,0.478
17-Jul-09,0.551
18-Jul-09,0.496
19-Jul-09,0.845
20-Jul-09,0.813
21-Jul-09,0.512
22-Jul-09,0.559
23-Jul-09,0.529
24-Jul-09,0.41
25-Jul-09,0.504
26-Jul-09,0.513
27-Jul-09,0.626
28-Jul-09,0.688
29-Jul-09,0.632
30-Jul-09,0.685
31-Jul-09,0.577
1-Aug-09,0.7
2-Aug-09,0.498
3-Aug-09,0.71
4-Aug-09,0.53
5-Aug-09,0.743
6-Aug-09,0.717
7-Aug-09,0.789
8-Aug-09,0.847
9-Aug-09,0.62
10-Aug-09,0.506
11-Aug-09,0.583
12-Aug-09,0.512
13-Aug-09,0.576
14-Aug-09,0.636
15-Aug-09,0.748
16-Aug-09,0.846
17-Aug-09,0.84
18-Aug-09,0.985
19-Aug-09,1.012
20-Aug-09,0.894
21-Aug-09,0.558
22-Aug-09,0.641
23-Aug-09,0.809
24-Aug-09,0.693
25-Aug-09,0.745
26-Aug-09,0.856
27-Aug-09,0.965
28-Aug-09,0.794
29-Aug-09,0.371
30-Aug-09,0.481
31-Aug-09,0.491
1-Sep-09,0.658
2-Sep-09,0.609
3-Sep-09,0.574
4-Sep-09,0.662
5-Sep-09,0.779
6-Sep-09,0.69
7-Sep-09,0.476
8-Sep-09,0.507
9-Sep-09,0.574
10-Sep-09,0.519
11-Sep-09,0.389
12-Sep-09,0.287
13-Sep-09,0.512
14-Sep-09,0.617
15-Sep-09,0.723
16-Sep-09,0.458
17-Sep-09,0.46
18-Sep-09,0.664
19-Sep-09,0.653
20-Sep-09,0.626
21-Sep-09,0.66
22-Sep-09,0.448
23-Sep-09,0.56
24-Sep-09,0.668
25-Sep-09,0.57
26-Sep-09,0.472
27-Sep-09,0.193
28-Sep-09,0.462
29-Sep-09,0.485
30-Sep-09,0.323
1-Oct-09,0.382
2-Oct-09,0.431
3-Oct-09,0.197
4-Oct-09,0.373
5-Oct-09,0.499
6-Oct-09,0.513
7-Oct-09,0.374
8-Oct-09,0.48
9-Oct-09,0.232
10-Oct-09,0.286
11-Oct-09,0.525
12-Oct-09,0.479
13-Oct-09,0.211
14-Oct-09,0.366
15-Oct-09,0.323
16-Oct-09,0.29
17-Oct-09,0.274
18-Oct-09,0.199
19-Oct-09,0.39
20-Oct-09,0.367
21-Oct-09,0.405
22-Oct-09,0.269
23-Oct-09,0.385
24-Oct-09,0.13
25-Oct-09,0.368
26-Oct-09,0.428
27-Oct-09,0.256
28-Oct-09,0.231
29-Oct-09,0.347
30-Oct-09,0.316
31-Oct-09,0.249
1-Nov-09,0.492
2-Nov-09,0.35
3-Nov-09,0.298
4-Nov-09,0.413
5-Nov-09,0.28
6-Nov-09,0.291
7-Nov-09,0.297
8-Nov-09,0.465
9-Nov-09,0.421
10-Nov-09,0.535
11-Nov-09,0.383
12-Nov-09,0.341
13-Nov-09,0.272
14-Nov-09,0.151
15-Nov-09,0.245
16-Nov-09,0.373
17-Nov-09,0.364
18-Nov-09,0.332
19-Nov-09,0.299
20-Nov-09,0.262
21-Nov-09,0.361
22-Nov-09,0.29
23-Nov-09,0.18
24-Nov-09,0.218
25-Nov-09,0.21
26-Nov-09,0.24
27-Nov-09,0.148
28-Nov-09,0.252
29-Nov-09,0.279
30-Nov-09,0.179
1-Dec-09,0.32
2-Dec-09,0.317
3-Dec-09,0.387
4-Dec-09,0.448
5-Dec-09,0.279
6-Dec-09,0.246
7-Dec-09,0.247
8-Dec-09,0.264
9-Dec-09,0.233
10-Dec-09,0.275
11-Dec-09,0.226
12-Dec-09,0.182
13-Dec-09,0.201
14-Dec-09,0.265
15-Dec-09,0.236
16-Dec-09,0.306
17-Dec-09,0.121
18-Dec-09,0.115
19-Dec-09,0.157
20-Dec-09,0.149
21-Dec-09,0.178
22-Dec-09,0.161
23-Dec-09,0.148
24-Dec-09,0.17
25-Dec-09,0.205
26-Dec-09,0.186
27-Dec-09,0.223
28-Dec-09,0.222
29-Dec-09,0.185
30-Dec-09,0.161
31-Dec-09,0.187
1-Jan-10,0.105
2-Jan-10,0.139
3-Jan-10,0.194
4-Jan-10,0.248
5-Jan-10,0.204
6-Jan-10,0.216
7-Jan-10,0.182
8-Jan-10,0.084
9-Jan-10,0.081
10-Jan-10,0.139
11-Jan-10,0.171
12-Jan-10,0.13
13-Jan-10,0.161
14-Jan-10,0.128
15-Jan-10,0.32
16-Jan-10,0.365
17-Jan-10,0.163
18-Jan-10,0.112
19-Jan-10,0.106
20-Jan-10,0.111
21-Jan-10,0.156
22-Jan-10,0.155
23-Jan-10,0.203
24-Jan-10,0.262
25-Jan-10,0.438
26-Jan-10,0.308
27-Jan-10,0.316
28-Jan-10,0.164
29-Jan-10,0.129
30-Jan-10,0.171
31-Jan-10,0.202
1-Feb-10,0.231
2-Feb-10,0.237
3-Feb-10,0.172
4-Feb-10,0.225
5-Feb-10,0.24
6-Feb-10,0.211
7-Feb-10,0.228
8-Feb-10,0.278
9-Feb-10,0.382
10-Feb-10,0.235
11-Feb-10,0.333
12-Feb-10,0.319
13-Feb-10,0.313
14-Feb-10,0.412
15-Feb-10,0.358
16-Feb-10,0.208
17-Feb-10,0.254
18-Feb-10,0.454
19-Feb-10,0.408
20-Feb-10,0.442
21-Feb-10,0.351
22-Feb-10,0.452
23-Feb-10,0.289
24-Feb-10,0.281
25-Feb-10,0.298
26-Feb-10,0.279
27-Feb-10,0.184
28-Feb-10,0.228
1-Mar-10,0.299
2-Mar-10,0.316
3-Mar-10,0.221
4-Mar-10,0.28
5-Mar-10,0.41
6-Mar-10,0.609
7-Mar-10,0.55
8-Mar-10,0.544
9-Mar-10,0.369
10-Mar-10,0.368
11-Mar-10,0.341
12-Mar-10,0.235
