system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,460.40"
3-Jan-08,"13,016.31"
4-Jan-08,"13,518.46"
5-Jan-08,"13,506.41"
6-Jan-08,
7-Jan-08,
8-Jan-08,"13,980.84"
9-Jan-08,
10-Jan-08,"13,826.59"
11-Jan-08,
12-Jan-08,"13,601.60"
13-Jan-08,"13,701.89"
14-Jan-08,
15-Jan-08,"13,583.65"
16-Jan-08,"13,526.56"
17-Jan-08,
18-Jan-08,"13,692.01"
19-Jan-08,
20-Jan-08,"13,443.99"
21-Jan-08,"13,259.94"
22-Jan-08,
23-Jan-08,"13,566.28"
24-Jan-08,
25-Jan-08,"13,375.71"
26-Jan-08,"13,428.74"
27-Jan-08,
28-Jan-08,"13,635.93"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,638.00"
1-Feb-08,
2-Feb-08,"13,763.05"
3-Feb-08,
4-Feb-08,"13,714.21"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,"12,788.45"
10-Feb-08,
11-Feb-08,"13,234.38"
12-Feb-08,"13,329.40"
13-Feb-08,
14-Feb-08,"13,613.93"
15-Feb-08,
16-Feb-08,"13,413.27"
17-Feb-08,
18-Feb-08,
19-Feb-08,
20-Feb-08,"13,407.93"
21-Feb-08,"13,471.59"
22-Feb-08,"12,970.49"
23-Feb-08,"13,512.74"
24-Feb-08,"13,614.61"
25-Feb-08,"13,734.38"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,212.01"
1-Mar-08,
2-Mar-08,"13,577.18"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,713.73"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,550.81"
10-Mar-08,
11-Mar-08,"13,679.53"
12-Mar-08,
13-Mar-08,"13,665.67"
14-Mar-08,"13,698.05"
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,700.70"
18-Mar-08,"13,795.61"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,695.66"
23-Mar-08,"13,708.08"
24-Mar-08,"13,719.57"
25-Mar-08,"13,675.59"
26-Mar-08,
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,448.79"
30-Mar-08,"13,815.31"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,811.02"
3-Apr-08,"13,884.23"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"13,949.76"
8-Apr-08,"13,882.82"
9-Apr-08,"13,824.40"
10-Apr-08,"14,050.02"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"14,001.16"
15-Apr-08,"14,241.54"
16-Apr-08,"14,455.37"
17-Apr-08,"14,568.19"
18-Apr-08,"14,844.82"
19-Apr-08,"14,593.70"
20-Apr-08,"14,340.19"
21-Apr-08,"14,527.76"
22-Apr-08,"14,538.15"
23-Apr-08,"14,888.93"
24-Apr-08,"14,806.94"
25-Apr-08,"14,685.80"
26-Apr-08,"14,582.20"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,136.68"
1-May-08,"14,292.24"
2-May-08,"14,185.91"
3-May-08,
4-May-08,
5-May-08,"14,677.48"
6-May-08,"14,797.30"
7-May-08,"14,730.87"
8-May-08,"14,974.83"
9-May-08,
10-May-08,
11-May-08,"14,700.32"
12-May-08,
13-May-08,
14-May-08,"14,763.31"
15-May-08,"14,671.94"
16-May-08,"14,270.36"
17-May-08,"14,417.34"
18-May-08,
19-May-08,"14,418.73"
20-May-08,"14,239.01"
21-May-08,"14,197.15"
22-May-08,
23-May-08,"14,488.44"
24-May-08,"14,381.89"
25-May-08,"14,856.85"
26-May-08,
27-May-08,"15,092.28"
28-May-08,"14,644.90"
29-May-08,"14,940.89"
30-May-08,"14,512.81"
31-May-08,
1-Jun-08,"14,624.35"
2-Jun-08,"14,554.54"
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,"14,921.63"
8-Jun-08,"15,229.03"
9-Jun-08,
10-Jun-08,"14,947.27"
11-Jun-08,"14,993.40"
12-Jun-08,"14,894.70"
13-Jun-08,"15,018.33"
14-Jun-08,"14,778.43"
15-Jun-08,
16-Jun-08,
17-Jun-08,"14,625.88"
18-Jun-08,"14,640.44"
19-Jun-08,"14,462.36"
20-Jun-08,"14,437.70"
21-Jun-08,"14,567.85"
22-Jun-08,
23-Jun-08,
24-Jun-08,"14,705.11"
25-Jun-08,"14,665.97"
26-Jun-08,
27-Jun-08,
28-Jun-08,
29-Jun-08,"14,658.53"
30-Jun-08,"14,833.45"
1-Jul-08,"14,924.15"
2-Jul-08,"14,735.18"
3-Jul-08,"14,989.40"
4-Jul-08,"14,941.97"
5-Jul-08,"14,873.37"
6-Jul-08,"14,917.93"
7-Jul-08,"14,735.24"
8-Jul-08,"15,031.94"
9-Jul-08,"15,015.36"
10-Jul-08,"14,993.60"
11-Jul-08,
12-Jul-08,"14,799.92"
13-Jul-08,"14,998.37"
14-Jul-08,
15-Jul-08,"15,011.48"
16-Jul-08,"15,155.29"
17-Jul-08,"14,866.03"
18-Jul-08,
19-Jul-08,"14,668.08"
20-Jul-08,
21-Jul-08,
22-Jul-08,"14,794.73"
23-Jul-08,
24-Jul-08,
25-Jul-08,"14,952.22"
26-Jul-08,"14,843.33"
27-Jul-08,"14,975.73"
28-Jul-08,"14,937.81"
29-Jul-08,"14,922.84"
30-Jul-08,
31-Jul-08,
1-Aug-08,"14,918.24"
2-Aug-08,
3-Aug-08,"14,855.10"
4-Aug-08,"14,671.93"
5-Aug-08,"14,675.85"
6-Aug-08,
7-Aug-08,
8-Aug-08,
9-Aug-08,"14,508.82"
10-Aug-08,"14,728.89"
11-Aug-08,
12-Aug-08,"14,480.60"
13-Aug-08,"14,668.80"
14-Aug-08,"14,682.00"
15-Aug-08,"14,949.42"
16-Aug-08,"14,756"
17-Aug-08,"14,460.46"
18-Aug-08,"14,844.31"
19-Aug-08,"14,635.14"
20-Aug-08,"14,675.98"
21-Aug-08,"14,936.64"
22-Aug-08,"14,969.96"
23-Aug-08,"15,020.10"
24-Aug-08,"14,891.82"
25-Aug-08,
26-Aug-08,"14,781.79"
27-Aug-08,"14,810.23"
28-Aug-08,"14,584.74"
29-Aug-08,"14,690.47"
30-Aug-08,"14,877.76"
31-Aug-08,"14,856.55"
1-Sep-08,"14,920.91"
2-Sep-08,"14,690.32"
3-Sep-08,"14,776.18"
4-Sep-08,"15,097.32"
5-Sep-08,"14,799.07"
6-Sep-08,
7-Sep-08,"14,717.17"
8-Sep-08,"14,732.37"
9-Sep-08,
10-Sep-08,"14,576.06"
11-Sep-08,"14,556.04"
12-Sep-08,
13-Sep-08,"14,827.78"
14-Sep-08,
15-Sep-08,"14,816.85"
16-Sep-08,
17-Sep-08,"14,679.37"
18-Sep-08,"14,595.33"
19-Sep-08,"14,409.39"
20-Sep-08,"14,612.74"
21-Sep-08,"14,668.24"
22-Sep-08,"14,549.61"
23-Sep-08,"14,488.57"
24-Sep-08,"14,614.00"
25-Sep-08,
26-Sep-08,
27-Sep-08,
28-Sep-08,
29-Sep-08,"14,601.25"
30-Sep-08,
1-Oct-08,
2-Oct-08,"14,341.66"
3-Oct-08,
4-Oct-08,"14,323.58"
5-Oct-08,"14,356.78"
6-Oct-08,"14,192.97"
7-Oct-08,"14,493.13"
8-Oct-08,
9-Oct-08,"14,660.16"
10-Oct-08,"14,628.44"
11-Oct-08,"14,597.82"
12-Oct-08,"14,547.35"
13-Oct-08,
14-Oct-08,
15-Oct-08,"14,405.23"
16-Oct-08,
17-Oct-08,"14,363.97"
18-Oct-08,"14,282.57"
19-Oct-08,"14,179.90"
20-Oct-08,"14,348.03"
21-Oct-08,"13,983.37"
22-Oct-08,
23-Oct-08,"14,083.71"
24-Oct-08,"14,395.28"
25-Oct-08,
26-Oct-08,"14,546.46"
27-Oct-08,"14,509.32"
28-Oct-08,
29-Oct-08,
30-Oct-08,
31-Oct-08,"14,268.76"
1-Nov-08,"14,134.50"
2-Nov-08,"13,992.85"
3-Nov-08,"13,985.33"
4-Nov-08,"14,423.41"
5-Nov-08,
6-Nov-08,
7-Nov-08,
8-Nov-08,
9-Nov-08,"14,144.19"
10-Nov-08,"13,966.29"
11-Nov-08,"13,862.10"
12-Nov-08,"13,984.37"
13-Nov-08,
14-Nov-08,"13,691.61"
15-Nov-08,
16-Nov-08,"14,014"
17-Nov-08,"13,864.18"
18-Nov-08,"13,741.87"
19-Nov-08,"13,684.02"
20-Nov-08,"13,671.10"
21-Nov-08,"13,677.34"
22-Nov-08,
23-Nov-08,"13,631.26"
24-Nov-08,"13,760.85"
25-Nov-08,
26-Nov-08,"13,792.90"
27-Nov-08,"13,870.63"
28-Nov-08,
29-Nov-08,"13,801.61"
30-Nov-08,
1-Dec-08,
2-Dec-08,"13,818.53"
3-Dec-08,"13,851.53"
4-Dec-08,
5-Dec-08,"13,532.35"
6-Dec-08,
7-Dec-08,
8-Dec-08,"13,362.36"
9-Dec-08,"13,453"
10-Dec-08,
11-Dec-08,
12-Dec-08,"13,704.45"
13-Dec-08,"13,504.34"
14-Dec-08,
