system:time_start,tmax
1-Jan-08,0.007
2-Jan-08,-1.135
3-Jan-08,-7.324
4-Jan-08,-9.16
5-Jan-08,-2.269
6-Jan-08,1.644
7-Jan-08,4.658
8-Jan-08,11.15
9-Jan-08,13.895
10-Jan-08,9.594
11-Jan-08,5.206
12-Jan-08,4.39
13-Jan-08,5.5
14-Jan-08,1.5
15-Jan-08,-1.961
16-Jan-08,-0.823
17-Jan-08,-1.575
18-Jan-08,2.095
19-Jan-08,3
20-Jan-08,-1
21-Jan-08,-5.819
22-Jan-08,-3.321
23-Jan-08,0.17
24-Jan-08,-1.489
25-Jan-08,-3.504
26-Jan-08,-2.964
27-Jan-08,-2
28-Jan-08,0.085
29-Jan-08,3.631
30-Jan-08,5.36
31-Jan-08,3
1-Feb-08,-0.606
2-Feb-08,3.499
3-Feb-08,3.634
4-Feb-08,3.569
5-Feb-08,2.92
6-Feb-08,1.463
7-Feb-08,0.352
8-Feb-08,-3.544
9-Feb-08,-1.386
10-Feb-08,1.451
11-Feb-08,-1.5
12-Feb-08,-5.575
13-Feb-08,-1.059
14-Feb-08,1.111
15-Feb-08,2.622
16-Feb-08,0.428
17-Feb-08,-1.439
18-Feb-08,5.298
19-Feb-08,6.429
20-Feb-08,2.5
21-Feb-08,-2.511
22-Feb-08,-4.384
23-Feb-08,-2.282
24-Feb-08,1.997
25-Feb-08,4.441
26-Feb-08,3.5
27-Feb-08,2
28-Feb-08,0.009
29-Feb-08,-4.427
1-Mar-08,-2.515
2-Mar-08,1.161
3-Mar-08,3.152
4-Mar-08,8.156
5-Mar-08,8.393
6-Mar-08,2.998
7-Mar-08,4.611
8-Mar-08,4.479
9-Mar-08,4.249
10-Mar-08,-0.935
11-Mar-08,0.444
12-Mar-08,3.81
13-Mar-08,3.929
14-Mar-08,5.385
15-Mar-08,6.316
16-Mar-08,3.496
17-Mar-08,4.5
18-Mar-08,5.232
19-Mar-08,5.029
20-Mar-08,2.676
21-Mar-08,2.477
22-Mar-08,1.081
23-Mar-08,2.974
24-Mar-08,2.952
25-Mar-08,3.266
26-Mar-08,6.986
27-Mar-08,10
28-Mar-08,6.164
29-Mar-08,0.421
30-Mar-08,2.879
31-Mar-08,5.5
1-Apr-08,7.541
2-Apr-08,11
3-Apr-08,7.623
4-Apr-08,7
5-Apr-08,6.478
6-Apr-08,7.5
7-Apr-08,6.36
8-Apr-08,9.469
9-Apr-08,11.257
10-Apr-08,15.912
11-Apr-08,14.505
12-Apr-08,11.506
13-Apr-08,10.735
14-Apr-08,8.501
15-Apr-08,11.121
16-Apr-08,14.393
17-Apr-08,17.187
18-Apr-08,21.773
19-Apr-08,21.65
20-Apr-08,17.846
21-Apr-08,16.975
22-Apr-08,21.135
23-Apr-08,25.536
24-Apr-08,24.5
25-Apr-08,19.297
26-Apr-08,17.632
27-Apr-08,13.425
28-Apr-08,10.852
29-Apr-08,10.517
30-Apr-08,10.421
1-May-08,11.284
2-May-08,12.825
3-May-08,10.981
4-May-08,7.381
5-May-08,13.665
6-May-08,20.699
7-May-08,22.5
8-May-08,23.901
9-May-08,21.989
10-May-08,17.52
11-May-08,17.781
12-May-08,17.129
13-May-08,18.469
14-May-08,20.633
15-May-08,20.141
16-May-08,19.788
17-May-08,20.085
18-May-08,21.365
19-May-08,18.5
20-May-08,17.375
21-May-08,18.846
22-May-08,17
23-May-08,16.941
24-May-08,19.476
25-May-08,21.299
26-May-08,25.32
27-May-08,28.04
28-May-08,23.686
29-May-08,22.099
30-May-08,23.146
31-May-08,18.965
1-Jun-08,19.883
2-Jun-08,23.868
3-Jun-08,23.512
4-Jun-08,19.993
5-Jun-08,16.178
6-Jun-08,16
7-Jun-08,19.274
8-Jun-08,30.326
9-Jun-08,31.186
10-Jun-08,29.276
11-Jun-08,30.084
12-Jun-08,26
13-Jun-08,25.388
14-Jun-08,25.531
15-Jun-08,21.129
16-Jun-08,16.12
17-Jun-08,19.285
18-Jun-08,21.453
19-Jun-08,21.833
20-Jun-08,22.019
21-Jun-08,22.981
22-Jun-08,23.935
23-Jun-08,23.999
24-Jun-08,23.957
25-Jun-08,26.067
26-Jun-08,26.815
27-Jun-08,26.789
28-Jun-08,23.285
29-Jun-08,19.954
30-Jun-08,25.744
1-Jul-08,28
2-Jul-08,27.997
3-Jul-08,28.4
4-Jul-08,26.494
5-Jul-08,24.968
6-Jul-08,26.327
7-Jul-08,28.665
8-Jul-08,30.667
9-Jul-08,31.271
10-Jul-08,29.92
11-Jul-08,25.14
12-Jul-08,23.756
13-Jul-08,25.851
14-Jul-08,26.996
