system:time_start,tmin
1-Jan-08,-11.69
2-Jan-08,-13.971
3-Jan-08,-22.904
4-Jan-08,-24.026
5-Jan-08,-18.253
6-Jan-08,-9.645
7-Jan-08,-3.579
8-Jan-08,-0.675
9-Jan-08,1.453
10-Jan-08,-0.451
11-Jan-08,-2.827
12-Jan-08,-2.5
13-Jan-08,-6.115
14-Jan-08,-6.471
15-Jan-08,-10.504
16-Jan-08,-13.741
17-Jan-08,-17.327
18-Jan-08,-11.072
19-Jan-08,-8.151
20-Jan-08,-11.476
21-Jan-08,-17.898
22-Jan-08,-17.34
23-Jan-08,-11.559
24-Jan-08,-11.866
25-Jan-08,-17.801
26-Jan-08,-15.458
27-Jan-08,-10.41
28-Jan-08,-10.411
29-Jan-08,-9.915
30-Jan-08,-6.915
31-Jan-08,-9.24
1-Feb-08,-8.36
2-Feb-08,-5.491
3-Feb-08,-2.995
4-Feb-08,-4.663
5-Feb-08,-2.633
6-Feb-08,-1
7-Feb-08,-5.514
8-Feb-08,-8.579
9-Feb-08,-14.81
10-Feb-08,-11.415
11-Feb-08,-13.529
12-Feb-08,-19.25
13-Feb-08,-14.767
14-Feb-08,-6.846
15-Feb-08,-7.914
16-Feb-08,-14.808
17-Feb-08,-16.894
18-Feb-08,-9.558
19-Feb-08,-3
20-Feb-08,-9.653
21-Feb-08,-15.401
22-Feb-08,-16.065
23-Feb-08,-13.345
24-Feb-08,-15.55
25-Feb-08,-13.73
26-Feb-08,-10.153
27-Feb-08,-5.704
28-Feb-08,-11.592
29-Feb-08,-23.072
1-Mar-08,-15.89
2-Mar-08,-9.022
3-Mar-08,-14.754
4-Mar-08,-6.813
5-Mar-08,-4.103
6-Mar-08,-6.793
7-Mar-08,-6.314
8-Mar-08,-1.302
9-Mar-08,-4
10-Mar-08,-11.518
11-Mar-08,-14.051
12-Mar-08,-9.951
13-Mar-08,-8.521
14-Mar-08,-5.458
15-Mar-08,-1.948
16-Mar-08,-1.544
17-Mar-08,-4.347
18-Mar-08,-9.314
19-Mar-08,-6.211
20-Mar-08,-0.519
21-Mar-08,-5.447
22-Mar-08,-6.908
23-Mar-08,-7.554
24-Mar-08,-11.782
25-Mar-08,-10.55
26-Mar-08,-6.192
27-Mar-08,-4.615
28-Mar-08,-3.022
29-Mar-08,-7.051
30-Mar-08,-9.371
31-Mar-08,-7.91
1-Apr-08,-2.415
2-Apr-08,-0.5
