system:time_start,ppt
1-Jan-08,2.658
2-Jan-08,17.605
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,1.841
11-Jan-08,1.955
12-Jan-08,18.078
13-Jan-08,0
14-Jan-08,0.257
15-Jan-08,17.639
16-Jan-08,0
17-Jan-08,0
18-Jan-08,6.679
19-Jan-08,10.026
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0
26-Jan-08,0
27-Jan-08,2.406
28-Jan-08,0.742
29-Jan-08,0
30-Jan-08,1.435
31-Jan-08,2.783
1-Feb-08,0
2-Feb-08,26.216
3-Feb-08,0.006
4-Feb-08,0
5-Feb-08,10.663
6-Feb-08,5.789
7-Feb-08,25.494
8-Feb-08,5.793
9-Feb-08,1.682
10-Feb-08,9.471
11-Feb-08,4.462
12-Feb-08,0
13-Feb-08,18.246
14-Feb-08,56.472
15-Feb-08,1.987
16-Feb-08,0
17-Feb-08,0
18-Feb-08,17.761
19-Feb-08,6.714
20-Feb-08,0
21-Feb-08,0
22-Feb-08,0
23-Feb-08,5.576
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,26.484
28-Feb-08,2.901
29-Feb-08,0
1-Mar-08,7.071
2-Mar-08,13.314
3-Mar-08,0.002
4-Mar-08,0
5-Mar-08,12.65
6-Mar-08,7.819
7-Mar-08,0
8-Mar-08,9.829
9-Mar-08,33.744
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0
13-Mar-08,0.975
14-Mar-08,0
15-Mar-08,6.684
16-Mar-08,1.994
17-Mar-08,0
18-Mar-08,0
19-Mar-08,2.741
20-Mar-08,24.778
21-Mar-08,0.879
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,0.866
27-Mar-08,0
28-Mar-08,4.373
29-Mar-08,8.153
30-Mar-08,0
31-Mar-08,0
1-Apr-08,6.806
2-Apr-08,6.262
3-Apr-08,0
4-Apr-08,0
5-Apr-08,13.563
6-Apr-08,0
7-Apr-08,0
8-Apr-08,0
9-Apr-08,0
10-Apr-08,0
11-Apr-08,0
12-Apr-08,9.346
13-Apr-08,0.696
14-Apr-08,0
15-Apr-08,0
16-Apr-08,0
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0
24-Apr-08,0
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0
28-Apr-08,0.573
29-Apr-08,58.741
30-Apr-08,21.76
1-May-08,0
2-May-08,0
3-May-08,0
4-May-08,7.658
5-May-08,9.153
6-May-08,0
7-May-08,0.025
8-May-08,0.998
9-May-08,0
10-May-08,0
11-May-08,0
12-May-08,0
13-May-08,0
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,0.061
18-May-08,0.029
19-May-08,0
20-May-08,0
21-May-08,0.657
22-May-08,2.467
23-May-08,0.129
24-May-08,0.096
25-May-08,0
26-May-08,0
27-May-08,0
28-May-08,0
29-May-08,0
30-May-08,0
31-May-08,0.878
1-Jun-08,4.789
2-Jun-08,0
3-Jun-08,0
4-Jun-08,1.78
5-Jun-08,10.249
6-Jun-08,1.208
7-Jun-08,4.153
8-Jun-08,0
9-Jun-08,0
10-Jun-08,0.016
11-Jun-08,7.16
12-Jun-08,0
13-Jun-08,0
14-Jun-08,0
15-Jun-08,13.564
16-Jun-08,4.788
17-Jun-08,2.394
18-Jun-08,5.299
19-Jun-08,1.098
20-Jun-08,0.762
21-Jun-08,8.832
22-Jun-08,5.213
23-Jun-08,18.24
24-Jun-08,5.079
25-Jun-08,12.538
26-Jun-08,0
27-Jun-08,0.659
28-Jun-08,11.516
29-Jun-08,10.375
30-Jun-08,16.988
1-Jul-08,0.287
2-Jul-08,0.791
3-Jul-08,0
4-Jul-08,0
5-Jul-08,0
6-Jul-08,0
7-Jul-08,0
8-Jul-08,0
9-Jul-08,0
10-Jul-08,11.834
11-Jul-08,0
12-Jul-08,0
13-Jul-08,0
14-Jul-08,0
15-Jul-08,1.712
16-Jul-08,0
17-Jul-08,0
18-Jul-08,0
19-Jul-08,19.674
20-Jul-08,2.307
21-Jul-08,11.771
22-Jul-08,6.171
23-Jul-08,0
24-Jul-08,17.331
25-Jul-08,42.207
26-Jul-08,0
27-Jul-08,0
28-Jul-08,3.31
29-Jul-08,0
30-Jul-08,0
31-Jul-08,0
1-Aug-08,16.918
2-Aug-08,4.682
3-Aug-08,17.517
4-Aug-08,22.355
5-Aug-08,1.925
6-Aug-08,0.934
7-Aug-08,32.483
8-Aug-08,27.001
9-Aug-08,4.988
10-Aug-08,1.899
11-Aug-08,2.54
12-Aug-08,3.827
13-Aug-08,4.845
14-Aug-08,0
15-Aug-08,5.535
16-Aug-08,0
17-Aug-08,7.991
18-Aug-08,0
19-Aug-08,0.066
20-Aug-08,2.644
21-Aug-08,0
22-Aug-08,0
23-Aug-08,0
24-Aug-08,0
25-Aug-08,0
26-Aug-08,0
27-Aug-08,0
28-Aug-08,0
29-Aug-08,0
30-Aug-08,0
31-Aug-08,0
1-Sep-08,0
2-Sep-08,0
3-Sep-08,0
4-Sep-08,0
5-Sep-08,0
6-Sep-08,0
7-Sep-08,142.326
8-Sep-08,0
9-Sep-08,0
10-Sep-08,12.933
11-Sep-08,0
12-Sep-08,0
13-Sep-08,4.458
14-Sep-08,0.668
15-Sep-08,4.828
16-Sep-08,0
17-Sep-08,0
18-Sep-08,0
19-Sep-08,0
20-Sep-08,0
21-Sep-08,0
22-Sep-08,0.855
23-Sep-08,0
24-Sep-08,0
25-Sep-08,0
26-Sep-08,0
27-Sep-08,74.792
28-Sep-08,32.107
29-Sep-08,7.916
30-Sep-08,0
1-Oct-08,6.076
2-Oct-08,2.136
3-Oct-08,0.646
4-Oct-08,0.82
5-Oct-08,0
6-Oct-08,0
7-Oct-08,0
8-Oct-08,0
9-Oct-08,1.213
10-Oct-08,0
11-Oct-08,0
12-Oct-08,0
13-Oct-08,0
14-Oct-08,0
15-Oct-08,0
16-Oct-08,0.365
17-Oct-08,4.307
18-Oct-08,0
19-Oct-08,0
20-Oct-08,0
21-Oct-08,0.048
22-Oct-08,5.494
23-Oct-08,0.524
24-Oct-08,0
25-Oct-08,0
26-Oct-08,38.649
27-Oct-08,0.05
28-Oct-08,0
29-Oct-08,8.639
30-Oct-08,0
31-Oct-08,0
1-Nov-08,0
2-Nov-08,0
3-Nov-08,0
4-Nov-08,0
5-Nov-08,0
6-Nov-08,0
7-Nov-08,10.388
8-Nov-08,0.734
9-Nov-08,7.676
10-Nov-08,0
11-Nov-08,0.026
12-Nov-08,0
13-Nov-08,0
14-Nov-08,11.426
15-Nov-08,11.599
16-Nov-08,19.446
17-Nov-08,1.41
18-Nov-08,0
19-Nov-08,0
20-Nov-08,0
21-Nov-08,0
22-Nov-08,0
23-Nov-08,0
24-Nov-08,0
25-Nov-08,11.735
26-Nov-08,75.553
27-Nov-08,0
28-Nov-08,0
29-Nov-08,6.276
30-Nov-08,0
1-Dec-08,16.264
2-Dec-08,0.933
3-Dec-08,0
4-Dec-08,0
5-Dec-08,0
6-Dec-08,0
7-Dec-08,0
8-Dec-08,0.353
9-Dec-08,0
10-Dec-08,5.276
11-Dec-08,4.291
12-Dec-08,42.73
13-Dec-08,13.994
14-Dec-08,0
15-Dec-08,0
16-Dec-08,0.662
17-Dec-08,4.762
18-Dec-08,3.689
19-Dec-08,0
20-Dec-08,9.136
21-Dec-08,0.008
22-Dec-08,14.227
23-Dec-08,0
24-Dec-08,0
25-Dec-08,6.783
26-Dec-08,0
27-Dec-08,0
28-Dec-08,1.334
29-Dec-08,0
30-Dec-08,0.51
1-Jan-09,0.413
2-Jan-09,0
3-Jan-09,0
4-Jan-09,0
5-Jan-09,0.473
6-Jan-09,0
7-Jan-09,3.248
8-Jan-09,11.781
9-Jan-09,0.165
10-Jan-09,0
11-Jan-09,6.056
12-Jan-09,5.379
13-Jan-09,0.053
14-Jan-09,0
15-Jan-09,0
16-Jan-09,0
17-Jan-09,0
18-Jan-09,3.655
19-Jan-09,20.499
20-Jan-09,0
21-Jan-09,0
22-Jan-09,0
23-Jan-09,0
24-Jan-09,0
25-Jan-09,0
26-Jan-09,0
27-Jan-09,0
28-Jan-09,0
29-Jan-09,30.414
30-Jan-09,0
31-Jan-09,0
1-Feb-09,0
2-Feb-09,0
3-Feb-09,0
4-Feb-09,0.274
5-Feb-09,0
6-Feb-09,0
7-Feb-09,0
8-Feb-09,0
9-Feb-09,0
10-Feb-09,0
11-Feb-09,0.033
12-Feb-09,9.675
13-Feb-09,2.987
14-Feb-09,0
15-Feb-09,0
16-Feb-09,0
17-Feb-09,0
18-Feb-09,0.035
19-Feb-09,13.864
