system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,393.71"
3-Jan-08,"12,906.32"
4-Jan-08,"13,255.78"
5-Jan-08,"13,095.22"
6-Jan-08,"13,548.64"
7-Jan-08,
8-Jan-08,"14,070.57"
9-Jan-08,
10-Jan-08,"13,792.06"
11-Jan-08,
12-Jan-08,"13,659.67"
13-Jan-08,
14-Jan-08,
15-Jan-08,"13,477.61"
16-Jan-08,"13,370.24"
17-Jan-08,
18-Jan-08,
19-Jan-08,"13,468.32"
20-Jan-08,"13,311.41"
21-Jan-08,"13,104.80"
22-Jan-08,"13,390.99"
23-Jan-08,"13,469.69"
24-Jan-08,
25-Jan-08,"13,195.81"
26-Jan-08,"13,321.45"
27-Jan-08,"12,954.26"
28-Jan-08,"13,515.63"
29-Jan-08,"13,612.61"
30-Jan-08,
31-Jan-08,"13,536.15"
1-Feb-08,
2-Feb-08,"13,724.32"
3-Feb-08,
4-Feb-08,"13,529.92"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,124.82"
12-Feb-08,"13,189.90"
13-Feb-08,
14-Feb-08,"13,557.54"
15-Feb-08,"13,574.31"
16-Feb-08,"13,279.23"
17-Feb-08,"13,225.09"
18-Feb-08,
19-Feb-08,"13,743.70"
20-Feb-08,"13,423.95"
21-Feb-08,"13,339.93"
22-Feb-08,
23-Feb-08,
24-Feb-08,"13,522.93"
25-Feb-08,"13,689.46"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,132.93"
1-Mar-08,
2-Mar-08,"13,523.35"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,666.27"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,517.30"
10-Mar-08,"13,443.62"
11-Mar-08,"13,589.90"
12-Mar-08,
13-Mar-08,"13,415.28"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,678.03"
18-Mar-08,"13,751.10"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,639.40"
23-Mar-08,"13,648.45"
24-Mar-08,"13,654.94"
25-Mar-08,"13,613.57"
26-Mar-08,
27-Mar-08,"13,383.23"
28-Mar-08,
29-Mar-08,"13,504.33"
30-Mar-08,"13,765.42"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,814.85"
3-Apr-08,"13,838.48"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"13,944.79"
8-Apr-08,"13,921.80"
9-Apr-08,
10-Apr-08,
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"13,968.91"
15-Apr-08,"14,174.09"
16-Apr-08,"14,351.05"
17-Apr-08,"14,459.69"
18-Apr-08,"14,705.36"
19-Apr-08,"14,587.56"
20-Apr-08,"14,219.12"
21-Apr-08,"14,556.14"
22-Apr-08,"14,109.74"
23-Apr-08,"14,798.85"
24-Apr-08,"14,718.09"
25-Apr-08,"14,406.18"
26-Apr-08,"14,599.06"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,275.63"
1-May-08,"14,143.24"
2-May-08,"14,407.22"
3-May-08,
