system:time_start,vpd
1-Jan-08,0.142
2-Jan-08,0.168
3-Jan-08,0.065
4-Jan-08,0.096
5-Jan-08,0.131
6-Jan-08,0.182
7-Jan-08,0.154
8-Jan-08,0.33
9-Jan-08,0.337
10-Jan-08,0.346
11-Jan-08,0.197
12-Jan-08,0.309
13-Jan-08,0.297
14-Jan-08,0.151
15-Jan-08,0.153
16-Jan-08,0.159
17-Jan-08,0.131
18-Jan-08,0.176
19-Jan-08,0.227
20-Jan-08,0.219
21-Jan-08,0.173
22-Jan-08,0.175
23-Jan-08,0.215
24-Jan-08,0.177
25-Jan-08,0.152
26-Jan-08,0.194
27-Jan-08,0.132
28-Jan-08,0.171
29-Jan-08,0.158
30-Jan-08,0.203
31-Jan-08,0.245
1-Feb-08,0.18
2-Feb-08,0.187
3-Feb-08,0.197
4-Feb-08,0.191
5-Feb-08,0.134
6-Feb-08,0.14
7-Feb-08,0.139
8-Feb-08,0.118
9-Feb-08,0.097
10-Feb-08,0.118
11-Feb-08,0.142
12-Feb-08,0.121
13-Feb-08,0.094
14-Feb-08,0.176
15-Feb-08,0.161
16-Feb-08,0.133
17-Feb-08,0.118
18-Feb-08,0.148
19-Feb-08,0.258
20-Feb-08,0.212
21-Feb-08,0.169
22-Feb-08,0.115
23-Feb-08,0.135
24-Feb-08,0.174
25-Feb-08,0.205
26-Feb-08,0.149
27-Feb-08,0.132
28-Feb-08,0.143
29-Feb-08,0.123
1-Mar-08,0.128
2-Mar-08,0.197
3-Mar-08,0.164
4-Mar-08,0.265
5-Mar-08,0.249
6-Mar-08,0.262
7-Mar-08,0.232
8-Mar-08,0.18
9-Mar-08,0.373
10-Mar-08,0.293
11-Mar-08,0.235
12-Mar-08,0.25
13-Mar-08,0.336
14-Mar-08,0.274
15-Mar-08,0.234
16-Mar-08,0.241
17-Mar-08,0.313
18-Mar-08,0.387
19-Mar-08,0.208
20-Mar-08,0.213
21-Mar-08,0.283
22-Mar-08,0.292
23-Mar-08,0.328
24-Mar-08,0.299
25-Mar-08,0.326
26-Mar-08,0.395
27-Mar-08,0.441
28-Mar-08,0.201
29-Mar-08,0.211
30-Mar-08,0.346
31-Mar-08,0.22
1-Apr-08,0.371
2-Apr-08,0.692
3-Apr-08,0.559
4-Apr-08,0.257
5-Apr-08,0.419
6-Apr-08,0.306
7-Apr-08,0.399
8-Apr-08,0.503
9-Apr-08,0.55
10-Apr-08,0.659
11-Apr-08,0.416
12-Apr-08,0.577
13-Apr-08,0.422
14-Apr-08,0.48
15-Apr-08,0.659
16-Apr-08,0.775
17-Apr-08,0.78
18-Apr-08,1.108
19-Apr-08,0.869
20-Apr-08,0.553
21-Apr-08,0.621
22-Apr-08,0.75
23-Apr-08,1.042
24-Apr-08,0.881
25-Apr-08,0.865
26-Apr-08,0.573
27-Apr-08,0.428
28-Apr-08,0.363
29-Apr-08,0.309
30-Apr-08,0.558
1-May-08,0.623
2-May-08,0.682
3-May-08,0.393
4-May-08,0.368
5-May-08,0.743
6-May-08,0.992
