system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,426.72"
3-Jan-08,"12,914.02"
4-Jan-08,"13,314.62"
5-Jan-08,"13,383.38"
6-Jan-08,
7-Jan-08,
8-Jan-08,"13,966.42"
9-Jan-08,
10-Jan-08,"13,793.24"
11-Jan-08,
12-Jan-08,
13-Jan-08,"13,730.37"
14-Jan-08,"12,543"
15-Jan-08,"13,482.80"
16-Jan-08,"13,480.43"
17-Jan-08,
18-Jan-08,"13,671.68"
19-Jan-08,
20-Jan-08,"13,261"
21-Jan-08,"13,202.85"
22-Jan-08,
23-Jan-08,"13,554.57"
24-Jan-08,
25-Jan-08,"13,304.97"
26-Jan-08,"13,401.09"
27-Jan-08,
28-Jan-08,"13,567.30"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,606.21"
1-Feb-08,
2-Feb-08,"13,781.43"
3-Feb-08,
4-Feb-08,"13,744.20"
5-Feb-08,
6-Feb-08,
7-Feb-08,"12,681.44"
8-Feb-08,
9-Feb-08,"12,619"
10-Feb-08,
11-Feb-08,"13,210.29"
12-Feb-08,"13,322"
13-Feb-08,
14-Feb-08,"13,622.54"
15-Feb-08,
16-Feb-08,"13,387.99"
17-Feb-08,
18-Feb-08,
19-Feb-08,
20-Feb-08,"13,457.03"
21-Feb-08,"13,450.09"
22-Feb-08,"13,000.24"
23-Feb-08,"13,562.48"
24-Feb-08,"13,612.15"
25-Feb-08,"13,727.69"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,208.13"
1-Mar-08,
2-Mar-08,"13,580.10"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,663.94"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,605.39"
10-Mar-08,
11-Mar-08,"13,668.68"
12-Mar-08,
13-Mar-08,"13,615.77"
14-Mar-08,"13,673.77"
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,749.20"
18-Mar-08,"13,817.93"
19-Mar-08,
20-Mar-08,
21-Mar-08,"13,371.82"
22-Mar-08,"13,670.36"
23-Mar-08,"13,709.49"
24-Mar-08,"13,668.99"
25-Mar-08,"13,704.33"
26-Mar-08,
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,472.35"
