system:time_start,tmax
1-Jan-08,0.072
2-Jan-08,-1.155
3-Jan-08,-7.905
4-Jan-08,-9.29
5-Jan-08,-2.23
6-Jan-08,2.001
7-Jan-08,4.776
8-Jan-08,11.551
9-Jan-08,13.651
10-Jan-08,9.5
11-Jan-08,5.5
12-Jan-08,4.778
13-Jan-08,5.5
14-Jan-08,1.327
15-Jan-08,-2.191
16-Jan-08,-1.045
17-Jan-08,-1.659
18-Jan-08,2.355
19-Jan-08,2.793
20-Jan-08,-1
21-Jan-08,-5.97
22-Jan-08,-2.912
23-Jan-08,0.309
24-Jan-08,-1.5
25-Jan-08,-3.706
26-Jan-08,-2.87
27-Jan-08,-2
28-Jan-08,0.12
29-Jan-08,3.641
30-Jan-08,5.558
31-Jan-08,3
1-Feb-08,-0.148
2-Feb-08,4.112
3-Feb-08,3.5
4-Feb-08,3.756
5-Feb-08,2.507
6-Feb-08,1.335
7-Feb-08,0
8-Feb-08,-3.849
9-Feb-08,-1.524
10-Feb-08,1.73
11-Feb-08,-1.849
12-Feb-08,-5.564
13-Feb-08,-0.764
14-Feb-08,1.106
15-Feb-08,2.419
16-Feb-08,-0.044
17-Feb-08,-1.189
18-Feb-08,6.061
19-Feb-08,6.528
20-Feb-08,2.5
21-Feb-08,-2.5
22-Feb-08,-4.088
23-Feb-08,-1.959
24-Feb-08,1.883
25-Feb-08,4.039
26-Feb-08,3.5
27-Feb-08,2.065
28-Feb-08,-0.021
29-Feb-08,-4.319
1-Mar-08,-2.117
2-Mar-08,1.185
3-Mar-08,2.845
4-Mar-08,8.382
5-Mar-08,7.749
6-Mar-08,2.795
7-Mar-08,4.483
8-Mar-08,4.489
9-Mar-08,4.515
10-Mar-08,-0.797
11-Mar-08,0.304
12-Mar-08,3.697
13-Mar-08,3.5
14-Mar-08,5.306
15-Mar-08,5.586
16-Mar-08,3.557
17-Mar-08,4.5
18-Mar-08,5.347
19-Mar-08,4.892
20-Mar-08,2.75
21-Mar-08,2.23
22-Mar-08,1.198
23-Mar-08,2.987
24-Mar-08,2.72
25-Mar-08,3
26-Mar-08,7.187
27-Mar-08,9.974
28-Mar-08,6.095
29-Mar-08,0.006
30-Mar-08,2.932
31-Mar-08,5.179
1-Apr-08,7.918
2-Apr-08,11.001
3-Apr-08,7.92
4-Apr-08,7
5-Apr-08,6.654
6-Apr-08,7.064
7-Apr-08,6.495
8-Apr-08,9.388
9-Apr-08,10.744
10-Apr-08,16.033
11-Apr-08,14.858
12-Apr-08,11.391
13-Apr-08,10.166
14-Apr-08,8.796
15-Apr-08,11.176
16-Apr-08,14.24
17-Apr-08,16.594
18-Apr-08,21.579
19-Apr-08,21.109
20-Apr-08,17.348
21-Apr-08,15.863
22-Apr-08,19.958
23-Apr-08,24.813
24-Apr-08,24.036
25-Apr-08,18.79
26-Apr-08,16.866
27-Apr-08,13.065
28-Apr-08,11
29-Apr-08,10.881
30-Apr-08,10.553
1-May-08,11.437
2-May-08,12.614
3-May-08,10.901
4-May-08,7.505
5-May-08,13.694
6-May-08,20.161
7-May-08,22.082
8-May-08,23.873
9-May-08,21.301
10-May-08,17.212
11-May-08,17.31
12-May-08,16.779
13-May-08,18.612
14-May-08,20.227
15-May-08,19.302
16-May-08,19.444
17-May-08,19.803
18-May-08,21.029
19-May-08,18.418
20-May-08,17.556
21-May-08,18.449
22-May-08,16.557
23-May-08,17.234
24-May-08,19.535
25-May-08,21.309
26-May-08,25.067
27-May-08,27.87
28-May-08,23.103
29-May-08,22.459
30-May-08,22.493
31-May-08,18.475
1-Jun-08,19.879
2-Jun-08,23.5
3-Jun-08,23.479
4-Jun-08,19.537
5-Jun-08,16.423
6-Jun-08,15.875
7-Jun-08,18.137
8-Jun-08,29.294
9-Jun-08,30.976
10-Jun-08,28.049
11-Jun-08,29.46
12-Jun-08,26.006
13-Jun-08,25.4
14-Jun-08,25.1
15-Jun-08,20.677
16-Jun-08,15.737
17-Jun-08,18.981
18-Jun-08,21
19-Jun-08,21.487
20-Jun-08,21.953
21-Jun-08,22.803
22-Jun-08,23.516
23-Jun-08,23.76
24-Jun-08,24.369
25-Jun-08,26.284
26-Jun-08,27.034
27-Jun-08,26.958
28-Jun-08,22.708
29-Jun-08,19.744
30-Jun-08,25.451
1-Jul-08,28
2-Jul-08,28
3-Jul-08,28.476
4-Jul-08,26.063
5-Jul-08,24.764
6-Jul-08,25.908
7-Jul-08,28.311
8-Jul-08,30.414
9-Jul-08,30.858
10-Jul-08,29.65
11-Jul-08,24.991
12-Jul-08,23.87
13-Jul-08,25.545
14-Jul-08,26.771
15-Jul-08,27.465
16-Jul-08,28.516
17-Jul-08,30.041
18-Jul-08,28.981
19-Jul-08,28.447
20-Jul-08,26.5
21-Jul-08,23.203
22-Jul-08,24.435
23-Jul-08,22.987
24-Jul-08,22.481
25-Jul-08,24.815
26-Jul-08,27.341
27-Jul-08,27.459
28-Jul-08,27.483
29-Jul-08,28.093
30-Jul-08,27.116
31-Jul-08,25.769
1-Aug-08,24.304
2-Aug-08,23.88
3-Aug-08,23.069
4-Aug-08,24.957
5-Aug-08,23
6-Aug-08,19.997
7-Aug-08,17.653
8-Aug-08,17.685
9-Aug-08,20.271
10-Aug-08,23.322
11-Aug-08,21.181
12-Aug-08,19.257
13-Aug-08,22.807
14-Aug-08,24.262
15-Aug-08,25.022
16-Aug-08,25
17-Aug-08,26.058
18-Aug-08,27.153
19-Aug-08,24.5
20-Aug-08,21.773
21-Aug-08,23.998
22-Aug-08,26.511
23-Aug-08,26.959
24-Aug-08,24.986
25-Aug-08,25.761
26-Aug-08,24.679
27-Aug-08,23.659
28-Aug-08,25.047
29-Aug-08,23.281
30-Aug-08,24.567
31-Aug-08,25.847
1-Sep-08,25.846
2-Sep-08,25.83
3-Sep-08,25.093
4-Sep-08,27.39
5-Sep-08,26.227
6-Sep-08,24.211
7-Sep-08,24.629
8-Sep-08,23.33
9-Sep-08,21.5
10-Sep-08,19.09
11-Sep-08,18.66
12-Sep-08,17.851
13-Sep-08,20.205
14-Sep-08,21.497
15-Sep-08,23.926
16-Sep-08,22.498
17-Sep-08,18.427
18-Sep-08,18.99
19-Sep-08,15.5
20-Sep-08,15.391
21-Sep-08,19.931
22-Sep-08,19.498
23-Sep-08,16.256
24-Sep-08,17.525
25-Sep-08,18.397
26-Sep-08,17.214
27-Sep-08,17.601
28-Sep-08,18.887
29-Sep-08,19.963
30-Sep-08,18.728
1-Oct-08,16.5
2-Oct-08,15.996
3-Oct-08,14.915
4-Oct-08,14.342
5-Oct-08,14.648
6-Oct-08,14
7-Oct-08,15.332
8-Oct-08,18
9-Oct-08,20.421
10-Oct-08,21
11-Oct-08,19.032
12-Oct-08,18.33
13-Oct-08,15.869
14-Oct-08,14.391
15-Oct-08,15.514
16-Oct-08,15.072
17-Oct-08,13.62
18-Oct-08,12.027
19-Oct-08,10.365
20-Oct-08,11.617
21-Oct-08,13.235
22-Oct-08,9
23-Oct-08,7.889
24-Oct-08,12.396
25-Oct-08,14.5
26-Oct-08,16.584
27-Oct-08,17.225
28-Oct-08,14.134
29-Oct-08,8.5
30-Oct-08,6.078
31-Oct-08,9.369
1-Nov-08,10.905
2-Nov-08,8.064
3-Nov-08,7.535
4-Nov-08,12.257
5-Nov-08,17.684
6-Nov-08,16.629
7-Nov-08,14.909
8-Nov-08,14.29
9-Nov-08,13.301
10-Nov-08,11.215
11-Nov-08,8.006
12-Nov-08,6.323
13-Nov-08,6.403
14-Nov-08,8.594
15-Nov-08,13.393
16-Nov-08,15.896
17-Nov-08,10.407
18-Nov-08,5.303
19-Nov-08,1
20-Nov-08,-0.997
21-Nov-08,-1.167
22-Nov-08,-2.126
23-Nov-08,-2.23
24-Nov-08,0.842
25-Nov-08,6.675
26-Nov-08,8.996
27-Nov-08,5.828
28-Nov-08,4.564
29-Nov-08,4.399
30-Nov-08,3.136
1-Dec-08,3.366
2-Dec-08,5.496
3-Dec-08,5.723
4-Dec-08,5.291
5-Dec-08,4.061
6-Dec-08,0.543
7-Dec-08,-0.227
8-Dec-08,-3.571
9-Dec-08,-1.909
10-Dec-08,12.237
11-Dec-08,6.864
12-Dec-08,1.611
13-Dec-08,-0.817
14-Dec-08,-1.973
15-Dec-08,7.88
16-Dec-08,12.579
17-Dec-08,-0.34
18-Dec-08,-1.386
19-Dec-08,-2
20-Dec-08,-7.964
21-Dec-08,-8.865
22-Dec-08,-5.936
23-Dec-08,-5.457
24-Dec-08,1.178
25-Dec-08,9.211
26-Dec-08,2
27-Dec-08,1.057
28-Dec-08,8.514
29-Dec-08,8.678
30-Dec-08,4.341
1-Jan-09,-8.745
2-Jan-09,-6.522
3-Jan-09,-2.523
4-Jan-09,-1.256
5-Jan-09,1.154
6-Jan-09,1.497
7-Jan-09,-1.502
8-Jan-09,-0.634
9-Jan-09,-1
10-Jan-09,-4.29
11-Jan-09,-5.288
12-Jan-09,-5.125
13-Jan-09,-1.834
14-Jan-09,0.578
15-Jan-09,-8.019
16-Jan-09,-10.629
17-Jan-09,-9.596
18-Jan-09,-7.935
19-Jan-09,-4.548
20-Jan-09,-2.105
21-Jan-09,-3.843
22-Jan-09,-2.771
23-Jan-09,-1.175
24-Jan-09,-1.809
25-Jan-09,-3.845
26-Jan-09,-6.593
27-Jan-09,-5.696
28-Jan-09,-3.604
29-Jan-09,-1.033
30-Jan-09,0.349
31-Jan-09,-0.649
1-Feb-09,-2.888
2-Feb-09,1.776
3-Feb-09,3.993
4-Feb-09,-3.2
5-Feb-09,-6.589
6-Feb-09,-7.111
7-Feb-09,-1.049
8-Feb-09,7.708
9-Feb-09,3.743
10-Feb-09,-0.812
11-Feb-09,4.835
12-Feb-09,9.14
13-Feb-09,5.075
14-Feb-09,-0.795
15-Feb-09,2.468
16-Feb-09,2.045
17-Feb-09,1.57
18-Feb-09,1.564
19-Feb-09,2.048
20-Feb-09,0
21-Feb-09,-0.81
22-Feb-09,2.057
23-Feb-09,1.697
24-Feb-09,-0.809
25-Feb-09,-0.964
26-Feb-09,2.045
27-Feb-09,6.179
28-Feb-09,7.647
1-Mar-09,-2.037
2-Mar-09,-5.246
3-Mar-09,-4.025
4-Mar-09,-2.756
5-Mar-09,-0.283
6-Mar-09,4.107
7-Mar-09,9.843
8-Mar-09,11.328
9-Mar-09,6.14
10-Mar-09,2.624
11-Mar-09,6.344
12-Mar-09,4.623
13-Mar-09,-0.909
14-Mar-09,3.574
15-Mar-09,9.018
16-Mar-09,7.228
17-Mar-09,5.071
18-Mar-09,8.486
19-Mar-09,9.992
20-Mar-09,6.674
21-Mar-09,4.442
22-Mar-09,6.438
23-Mar-09,2.5
24-Mar-09,2.111
25-Mar-09,8.078
26-Mar-09,9.414
27-Mar-09,9.303
28-Mar-09,8.379
29-Mar-09,5.991
30-Mar-09,5.041
31-Mar-09,7.67
1-Apr-09,7.019
2-Apr-09,8.578
3-Apr-09,11.496
4-Apr-09,10.912
5-Apr-09,12.725
6-Apr-09,10.763
7-Apr-09,8.875
8-Apr-09,7.674
9-Apr-09,10.119
10-Apr-09,14.682
11-Apr-09,11.392
12-Apr-09,7.682
13-Apr-09,8.235
14-Apr-09,12.679
15-Apr-09,13.938
16-Apr-09,13.675
17-Apr-09,17.014
18-Apr-09,16.678
19-Apr-09,13.133
20-Apr-09,12.483
21-Apr-09,11.024
22-Apr-09,12.03
23-Apr-09,15.002
24-Apr-09,16.42
25-Apr-09,22.255
26-Apr-09,27.143
27-Apr-09,19.878
28-Apr-09,25.533
29-Apr-09,25.367
30-Apr-09,17.713
1-May-09,20.489
2-May-09,19.989
3-May-09,17.468
4-May-09,19
5-May-09,17.058
6-May-09,13.777
7-May-09,14.484
8-May-09,17.116
9-May-09,21.322
10-May-09,19.075
11-May-09,15.082
12-May-09,17.407
13-May-09,18.876
14-May-09,18.031
15-May-09,20.455
16-May-09,19.871
17-May-09,17.857
18-May-09,14
19-May-09,15.276
20-May-09,20.517
21-May-09,26.868
22-May-09,31.297
23-May-09,23.311
24-May-09,19.713
25-May-09,22.5
26-May-09,18.51
27-May-09,14.055
28-May-09,9.581
29-May-09,11.39
30-May-09,18.37
31-May-09,22.5
1-Jun-09,21.506
2-Jun-09,21.824
3-Jun-09,22.102
4-Jun-09,21.923
5-Jun-09,20.867
6-Jun-09,20.014
7-Jun-09,23.161
8-Jun-09,22.934
9-Jun-09,18.51
10-Jun-09,13.039
11-Jun-09,15.047
12-Jun-09,21.187
13-Jun-09,23.992
14-Jun-09,20.967
15-Jun-09,14.758
16-Jun-09,17.698
17-Jun-09,22.607
18-Jun-09,21.732
19-Jun-09,18.442
20-Jun-09,19.217
21-Jun-09,20.769
22-Jun-09,18.971
23-Jun-09,18.477
24-Jun-09,18.887
25-Jun-09,22.221
26-Jun-09,25.702
27-Jun-09,26.019
28-Jun-09,22.498
29-Jun-09,18.006
30-Jun-09,16.806
1-Jul-09,16.8
2-Jul-09,15.807
3-Jul-09,18.932
4-Jul-09,23.701
5-Jul-09,24.141
6-Jul-09,24.479
7-Jul-09,20.555
8-Jul-09,14.453
9-Jul-09,17.807
10-Jul-09,23.78
11-Jul-09,24.46
12-Jul-09,25.264
13-Jul-09,24.5
14-Jul-09,22.437
15-Jul-09,22.839
16-Jul-09,23.009
17-Jul-09,23.973
18-Jul-09,26.331
19-Jul-09,25.5
20-Jul-09,25.611
21-Jul-09,24.151
22-Jul-09,23.03
23-Jul-09,22.5
24-Jul-09,18.933
25-Jul-09,21.63
26-Jul-09,23.966
27-Jul-09,25.915
28-Jul-09,27.797
29-Jul-09,28.333
30-Jul-09,28.822
31-Jul-09,26.526
1-Aug-09,26.163
2-Aug-09,24.628
3-Aug-09,25.393
4-Aug-09,26.649
5-Aug-09,28.391
6-Aug-09,26.584
7-Aug-09,25
8-Aug-09,23.936
9-Aug-09,23.36
10-Aug-09,26.994
11-Aug-09,27.5
12-Aug-09,24.989
13-Aug-09,23.272
14-Aug-09,25.959
15-Aug-09,29.5
16-Aug-09,30.341
17-Aug-09,31.161
18-Aug-09,31.547
19-Aug-09,32
20-Aug-09,29
21-Aug-09,27.808
22-Aug-09,28
23-Aug-09,29.062
24-Aug-09,28
25-Aug-09,26.363
26-Aug-09,27.056
27-Aug-09,25
28-Aug-09,20.929
29-Aug-09,17.414
30-Aug-09,18.372
31-Aug-09,22
1-Sep-09,21.314
2-Sep-09,22.715
3-Sep-09,24.229
4-Sep-09,26.372
5-Sep-09,26
6-Sep-09,21.98
7-Sep-09,19.785
8-Sep-09,23.447
9-Sep-09,23.5
10-Sep-09,19.304
11-Sep-09,17.964
12-Sep-09,18.863
13-Sep-09,22.911
14-Sep-09,23.004
15-Sep-09,21.575
16-Sep-09,18.636
17-Sep-09,16.669
18-Sep-09,18.698
19-Sep-09,18.5
20-Sep-09,18.329
21-Sep-09,21.314
22-Sep-09,22.073
23-Sep-09,24.172
24-Sep-09,24.113
25-Sep-09,18.979
26-Sep-09,15.218
27-Sep-09,15.544
28-Sep-09,19.566
29-Sep-09,20.5
30-Sep-09,17.491
1-Oct-09,13.448
2-Oct-09,12.622
3-Oct-09,13.708
4-Oct-09,15.326
5-Oct-09,17.871
6-Oct-09,17.502
7-Oct-09,16.328
8-Oct-09,15.387
9-Oct-09,13.707
10-Oct-09,16.131
11-Oct-09,15.013
12-Oct-09,12.5
13-Oct-09,9.5
14-Oct-09,8.329
15-Oct-09,6.517
16-Oct-09,5.975
17-Oct-09,8.308
18-Oct-09,6.518
19-Oct-09,8.76
20-Oct-09,13.749
21-Oct-09,15.856
22-Oct-09,12.651
23-Oct-09,8.454
24-Oct-09,9.794
25-Oct-09,13.936
26-Oct-09,15.092
27-Oct-09,12
28-Oct-09,9.288
29-Oct-09,9.186
30-Oct-09,11.044
31-Oct-09,15.467
1-Nov-09,17
2-Nov-09,12.221
3-Nov-09,11.458
4-Nov-09,10.496
5-Nov-09,5.468
6-Nov-09,5.272
7-Nov-09,7.313
8-Nov-09,13.831
9-Nov-09,18.113
10-Nov-09,17.88
11-Nov-09,13.202
12-Nov-09,10.315
13-Nov-09,9.377
14-Nov-09,10.166
15-Nov-09,13.272
16-Nov-09,13.866
17-Nov-09,10.61
18-Nov-09,11.007
19-Nov-09,12.565
20-Nov-09,14.791
21-Nov-09,14.47
22-Nov-09,10.928
23-Nov-09,6.961
24-Nov-09,7.444
25-Nov-09,8.39
26-Nov-09,8.339
27-Nov-09,7.441
28-Nov-09,7.703
29-Nov-09,9.619
30-Nov-09,8.065
1-Dec-09,6.074
2-Dec-09,7.512
3-Dec-09,15.113
4-Dec-09,14.201
5-Dec-09,6.511
6-Dec-09,3.069
7-Dec-09,1.349
8-Dec-09,2.517
9-Dec-09,2.854
10-Dec-09,2.884
11-Dec-09,0.507
12-Dec-09,-2.741
13-Dec-09,-0.015
14-Dec-09,3.218
15-Dec-09,4.207
16-Dec-09,2.051
17-Dec-09,-6.915
18-Dec-09,-7.047
19-Dec-09,-3.718
20-Dec-09,-3.534
21-Dec-09,-3.085
22-Dec-09,-1.586
23-Dec-09,-3.487
24-Dec-09,3.274
25-Dec-09,2.5
26-Dec-09,0.394
27-Dec-09,6.909
28-Dec-09,6.177
29-Dec-09,0.936
30-Dec-09,-4
1-Jan-10,-1.327
2-Jan-10,-2.04
3-Jan-10,-1.157
4-Jan-10,1.314
5-Jan-10,0.5
6-Jan-10,0.681
7-Jan-10,1.023
8-Jan-10,-1.894
9-Jan-10,-4.766
10-Jan-10,-4.789
11-Jan-10,-1.995
12-Jan-10,-1.017
13-Jan-10,-2.648
14-Jan-10,-1.958
15-Jan-10,2.736
16-Jan-10,6.485
17-Jan-10,4.012
18-Jan-10,-0.904
19-Jan-10,-1.848
20-Jan-10,-0.438
21-Jan-10,1.257
22-Jan-10,1.377
23-Jan-10,1.372
24-Jan-10,2.477
25-Jan-10,6.892
26-Jan-10,8.36
27-Jan-10,5.807
28-Jan-10,3
29-Jan-10,-2.666
30-Jan-10,-7.122
31-Jan-10,-4.918
1-Feb-10,-2.66
2-Feb-10,-2.425
3-Feb-10,-1.956
4-Feb-10,-1.809
5-Feb-10,-1.9
6-Feb-10,-2.841
7-Feb-10,-3.096
8-Feb-10,-1.733
9-Feb-10,2.592
10-Feb-10,2.975
11-Feb-10,2.607
12-Feb-10,3.916
13-Feb-10,3.432
14-Feb-10,3.347
15-Feb-10,3.456
16-Feb-10,2.065
17-Feb-10,2.953
18-Feb-10,6.186
19-Feb-10,6.065
20-Feb-10,6.155
21-Feb-10,5.496
22-Feb-10,5.274
23-Feb-10,5
24-Feb-10,2.858
25-Feb-10,3.7
26-Feb-10,5.862
27-Feb-10,4.52
28-Feb-10,3.387
1-Mar-10,5.206
2-Mar-10,7.43
3-Mar-10,5.53
4-Mar-10,3.227
5-Mar-10,5.539
6-Mar-10,9.562
7-Mar-10,12.308
8-Mar-10,12.77
9-Mar-10,9.782
10-Mar-10,7.967
11-Mar-10,8.523
12-Mar-10,7.582
13-Mar-10,7.659
14-Mar-10,5.987
15-Mar-10,6.738
16-Mar-10,12.221
17-Mar-10,16.578
18-Mar-10,17.187
19-Mar-10,16.127
20-Mar-10,18.996
21-Mar-10,15.496
22-Mar-10,9.05
23-Mar-10,7.48
24-Mar-10,5.072
25-Mar-10,10.09
26-Mar-10,11.493
27-Mar-10,2.362
28-Mar-10,4.195
29-Mar-10,7.282
30-Mar-10,8.88
31-Mar-10,8.253
