system:time_start,tmin
1-Jan-08,-11.026
2-Jan-08,-13.253
3-Jan-08,-21.745
4-Jan-08,-22.737
5-Jan-08,-17.37
6-Jan-08,-8.472
7-Jan-08,-3.079
8-Jan-08,-0.111
9-Jan-08,2.48
10-Jan-08,-0.103
11-Jan-08,-2.521
12-Jan-08,-2.338
13-Jan-08,-5.471
14-Jan-08,-6.433
15-Jan-08,-9.897
16-Jan-08,-12.462
17-Jan-08,-16.094
18-Jan-08,-9.737
19-Jan-08,-7.762
20-Jan-08,-11.258
21-Jan-08,-17.193
22-Jan-08,-16.205
23-Jan-08,-10.649
24-Jan-08,-11.382
25-Jan-08,-16.819
26-Jan-08,-14.674
27-Jan-08,-10.023
28-Jan-08,-9.711
29-Jan-08,-8.53
30-Jan-08,-6.036
31-Jan-08,-8.683
1-Feb-08,-7.696
2-Feb-08,-5.069
3-Feb-08,-3
4-Feb-08,-4.405
5-Feb-08,-2.423
6-Feb-08,-1.045
7-Feb-08,-5.962
8-Feb-08,-8.507
9-Feb-08,-13.769
10-Feb-08,-10.64
11-Feb-08,-13.478
12-Feb-08,-17.833
13-Feb-08,-13.176
14-Feb-08,-6.737
15-Feb-08,-7.689
16-Feb-08,-14.264
17-Feb-08,-15.959
18-Feb-08,-8.125
19-Feb-08,-3
20-Feb-08,-9.345
21-Feb-08,-14.66
22-Feb-08,-15.206
23-Feb-08,-12.081
24-Feb-08,-13.825
25-Feb-08,-12.308
26-Feb-08,-9.022
27-Feb-08,-5.424
28-Feb-08,-11.415
29-Feb-08,-21.388
1-Mar-08,-14.551
2-Mar-08,-8.226
3-Mar-08,-13.426
4-Mar-08,-5.881
5-Mar-08,-3.921
6-Mar-08,-6.359
7-Mar-08,-5.4
8-Mar-08,-0.902
9-Mar-08,-4.348
10-Mar-08,-10.944
11-Mar-08,-12.847
12-Mar-08,-8.797
13-Mar-08,-8.107
14-Mar-08,-5.011
15-Mar-08,-1.87
16-Mar-08,-1.838
17-Mar-08,-4.036
18-Mar-08,-8.338
19-Mar-08,-5.414
20-Mar-08,-0.416
21-Mar-08,-5.123
22-Mar-08,-6.868
23-Mar-08,-7.423
24-Mar-08,-10.95
25-Mar-08,-9.725
26-Mar-08,-5.477
27-Mar-08,-3.809
28-Mar-08,-2.702
29-Mar-08,-6.607
30-Mar-08,-8.304
31-Mar-08,-6.857
1-Apr-08,-1.545
2-Apr-08,-0.5
3-Apr-08,-3.222
4-Apr-08,-1.155
5-Apr-08,0.397
6-Apr-08,0.218
7-Apr-08,-1.927
8-Apr-08,-3.755
9-Apr-08,-3.136
10-Apr-08,0.718
11-Apr-08,0.285
12-Apr-08,2.161
13-Apr-08,-0.378
14-Apr-08,-2
15-Apr-08,-2.4
16-Apr-08,-2.473
17-Apr-08,-0.887
18-Apr-08,0.024
19-Apr-08,2.563
20-Apr-08,0.86
21-Apr-08,3.565
22-Apr-08,3.315
23-Apr-08,4.709
24-Apr-08,8.095
25-Apr-08,2.179
26-Apr-08,0.601
27-Apr-08,3.764
28-Apr-08,4
29-Apr-08,4.5
30-Apr-08,-0.195
1-May-08,-2.18
2-May-08,-0.765
3-May-08,2.826
4-May-08,4.737
5-May-08,5.267
6-May-08,2.982
7-May-08,5.748
8-May-08,8.319
9-May-08,5.503
10-May-08,6.127
11-May-08,3.721
12-May-08,2.654
13-May-08,5.404
14-May-08,3.248
15-May-08,5.382
16-May-08,6.818
17-May-08,7.83
18-May-08,6.439
19-May-08,6.327
20-May-08,4.949
21-May-08,7.493
22-May-08,7.437
23-May-08,6.484
24-May-08,5.984
25-May-08,5.83
26-May-08,8.163
27-May-08,11.519
28-May-08,4.905
29-May-08,4.391
30-May-08,6.591
31-May-08,8.656
1-Jun-08,10.711
2-Jun-08,10.866
3-Jun-08,10
4-Jun-08,11.936
5-Jun-08,11.578
6-Jun-08,11.019
7-Jun-08,10.781
8-Jun-08,12.5
9-Jun-08,17.5
10-Jun-08,15.882
11-Jun-08,14.56
12-Jun-08,12.663
13-Jun-08,8.735
14-Jun-08,12.521
15-Jun-08,11.996
16-Jun-08,12.745
17-Jun-08,13.5
18-Jun-08,12.489
19-Jun-08,11.828
20-Jun-08,11.891
21-Jun-08,13
22-Jun-08,11.966
23-Jun-08,15.237
24-Jun-08,14.361
25-Jun-08,12.154
26-Jun-08,13.64
27-Jun-08,14.801
28-Jun-08,14
29-Jun-08,13.421
30-Jun-08,15.117
1-Jul-08,14.904
2-Jul-08,14.924
3-Jul-08,14.864
4-Jul-08,13.604
5-Jul-08,11.607
6-Jul-08,12.908
7-Jul-08,15.489
8-Jul-08,17.04
9-Jul-08,20.076
10-Jul-08,17.829
11-Jul-08,12.636
12-Jul-08,13.525
13-Jul-08,15.733
14-Jul-08,17.525
15-Jul-08,14.795
16-Jul-08,13.811
17-Jul-08,15.397
18-Jul-08,15.48
19-Jul-08,16.952
20-Jul-08,17.29
21-Jul-08,17.793
22-Jul-08,16.322
23-Jul-08,16.317
24-Jul-08,16.296
25-Jul-08,16.998
26-Jul-08,14.736
27-Jul-08,16.491
28-Jul-08,15.038
29-Jul-08,15.645
30-Jul-08,14.572
31-Jul-08,16.49
1-Aug-08,17.941
2-Aug-08,17.982
3-Aug-08,17
4-Aug-08,16
5-Aug-08,15.911
6-Aug-08,15.123
7-Aug-08,14.511
8-Aug-08,14.784
9-Aug-08,13.407
10-Aug-08,13.368
11-Aug-08,15.079
12-Aug-08,14
13-Aug-08,12.192
