system:time_start,ppt
1-Jan-08,2.882
2-Jan-08,17.195
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,1.343
11-Jan-08,2.029
12-Jan-08,18.193
13-Jan-08,0
14-Jan-08,0.135
15-Jan-08,16.673
16-Jan-08,0
17-Jan-08,0
18-Jan-08,7.445
19-Jan-08,9.49
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0
26-Jan-08,0
27-Jan-08,2.326
28-Jan-08,0.688
29-Jan-08,0
30-Jan-08,1.226
31-Jan-08,3.374
1-Feb-08,0
2-Feb-08,27.015
3-Feb-08,0
4-Feb-08,0
5-Feb-08,10.473
6-Feb-08,5.629
7-Feb-08,23.728
8-Feb-08,5.315
9-Feb-08,3.61
10-Feb-08,9.875
11-Feb-08,4.536
12-Feb-08,0
13-Feb-08,15.814
14-Feb-08,50.74
15-Feb-08,1.539
16-Feb-08,0
17-Feb-08,0
18-Feb-08,18.889
19-Feb-08,5.927
20-Feb-08,0
21-Feb-08,0
22-Feb-08,0
23-Feb-08,5.524
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,25.074
28-Feb-08,2.498
29-Feb-08,0
1-Mar-08,6.93
2-Mar-08,13.73
3-Mar-08,0
4-Mar-08,0
5-Mar-08,12.62
6-Mar-08,8.371
7-Mar-08,0
8-Mar-08,9.176
9-Mar-08,34.504
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0.221
13-Mar-08,1.703
14-Mar-08,0
15-Mar-08,5.995
16-Mar-08,1.956
17-Mar-08,0.003
18-Mar-08,0
19-Mar-08,0.253
20-Mar-08,26.287
21-Mar-08,1.015
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,1.136
27-Mar-08,0
28-Mar-08,4.338
29-Mar-08,6.88
30-Mar-08,0
31-Mar-08,0
1-Apr-08,5.955
2-Apr-08,4.349
3-Apr-08,0
4-Apr-08,0
5-Apr-08,13.805
6-Apr-08,0.047
7-Apr-08,0
8-Apr-08,0
9-Apr-08,0
10-Apr-08,0
11-Apr-08,0
12-Apr-08,9.923
13-Apr-08,1.35
14-Apr-08,0
15-Apr-08,0
16-Apr-08,0
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0.094
24-Apr-08,0.049
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0
28-Apr-08,0.209
29-Apr-08,59.919
30-Apr-08,25.359
1-May-08,0
2-May-08,0
3-May-08,0.003
4-May-08,7.575
5-May-08,9.726
6-May-08,0
7-May-08,0.225
8-May-08,1.002
9-May-08,0.001
10-May-08,0
11-May-08,0
12-May-08,0
13-May-08,0
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,0.127
18-May-08,0
19-May-08,0
20-May-08,0
21-May-08,0.864
22-May-08,2.858
23-May-08,0.537
24-May-08,0.917
25-May-08,0
26-May-08,0
27-May-08,0
28-May-08,0
29-May-08,0
30-May-08,0
31-May-08,1.11
1-Jun-08,6.803
2-Jun-08,0.013
3-Jun-08,0
4-Jun-08,3.499
5-Jun-08,7.933
6-Jun-08,1.463
