system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,390.29"
3-Jan-08,"12,880.91"
4-Jan-08,"13,149.22"
5-Jan-08,"13,111.60"
6-Jan-08,"13,576.79"
7-Jan-08,
8-Jan-08,"13,992.22"
9-Jan-08,
10-Jan-08,"13,731.34"
11-Jan-08,
12-Jan-08,"13,529.50"
13-Jan-08,
14-Jan-08,
15-Jan-08,"13,409.15"
16-Jan-08,"13,355.98"
17-Jan-08,"13,083.52"
18-Jan-08,"12,951"
19-Jan-08,"13,469.77"
20-Jan-08,"13,264.10"
21-Jan-08,"13,098.49"
22-Jan-08,"13,355.54"
23-Jan-08,"13,456.25"
24-Jan-08,
25-Jan-08,"13,150.80"
26-Jan-08,"13,313.87"
27-Jan-08,"13,006.40"
28-Jan-08,"13,455.89"
29-Jan-08,"13,580.80"
30-Jan-08,
31-Jan-08,"13,516.99"
1-Feb-08,
2-Feb-08,"13,744.46"
3-Feb-08,
4-Feb-08,
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,147.50"
12-Feb-08,"13,171.62"
13-Feb-08,
14-Feb-08,"13,550.01"
15-Feb-08,"13,578.48"
16-Feb-08,"13,266.77"
17-Feb-08,"13,158.39"
18-Feb-08,
19-Feb-08,"13,731.27"
20-Feb-08,"13,431.38"
21-Feb-08,"13,273.99"
22-Feb-08,
23-Feb-08,
24-Feb-08,"13,517.43"
25-Feb-08,"13,682.86"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,156.91"
1-Mar-08,
2-Mar-08,"13,497.59"
3-Mar-08,"13,591"
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,666.83"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,599.13"
10-Mar-08,"13,469.59"
11-Mar-08,"13,586.32"
12-Mar-08,
13-Mar-08,"13,417.48"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,661.88"
18-Mar-08,"13,755.93"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,656.92"
23-Mar-08,"13,645.51"
24-Mar-08,"13,668.09"
25-Mar-08,"13,641.72"
26-Mar-08,"13,859.47"
27-Mar-08,
28-Mar-08,
29-Mar-08,"13,513.15"
30-Mar-08,"13,775.57"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,779.93"
3-Apr-08,"13,868.05"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"13,958.17"
8-Apr-08,"13,986.56"
9-Apr-08,
10-Apr-08,
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"14,155.93"
15-Apr-08,"14,357.59"
16-Apr-08,"14,510.54"
17-Apr-08,"14,634.90"
18-Apr-08,"14,800.85"
19-Apr-08,"14,745.25"
20-Apr-08,"14,320.30"
21-Apr-08,"14,677.41"
22-Apr-08,"14,503.19"
23-Apr-08,"14,879.67"
24-Apr-08,"14,771.03"
25-Apr-08,"14,481.11"
26-Apr-08,"14,684.13"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,366.64"
1-May-08,"14,421.96"
2-May-08,"14,496.26"
3-May-08,
4-May-08,
5-May-08,"14,720.63"
6-May-08,"14,176.83"
7-May-08,"14,781.84"
8-May-08,"14,461.10"
9-May-08,
10-May-08,"14,103"
11-May-08,"14,564.83"
12-May-08,"14,322.46"
13-May-08,"14,078.31"
14-May-08,"14,845.24"
15-May-08,"14,099.26"
16-May-08,
17-May-08,
18-May-08,"14,783.86"
19-May-08,"14,570.56"
20-May-08,"14,555.70"
21-May-08,"14,694.74"
22-May-08,
23-May-08,"14,746.44"
24-May-08,"14,288"
25-May-08,"14,825.09"
26-May-08,"14,709.09"
27-May-08,
28-May-08,"14,665.94"
29-May-08,"14,764.74"
30-May-08,"14,855.02"
31-May-08,
1-Jun-08,"14,889.73"
2-Jun-08,"14,571.38"
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,
8-Jun-08,"15,250.64"
9-Jun-08,"14,851.57"
10-Jun-08,"15,023.54"
11-Jun-08,"15,026.31"
12-Jun-08,"14,672.28"
13-Jun-08,"15,047.05"
14-Jun-08,"14,740.35"
15-Jun-08,
16-Jun-08,
17-Jun-08,
18-Jun-08,"14,586.80"
19-Jun-08,"14,605.37"
20-Jun-08,"14,877.39"
21-Jun-08,"14,627.61"
22-Jun-08,"14,793.98"
23-Jun-08,
24-Jun-08,"14,945.50"
25-Jun-08,"14,832.98"
26-Jun-08,
27-Jun-08,"14,581.59"
28-Jun-08,
29-Jun-08,"14,675.82"
30-Jun-08,"14,552.57"
1-Jul-08,"14,989.66"
2-Jul-08,"14,302.18"
3-Jul-08,"15,006.55"
4-Jul-08,"14,915.62"
5-Jul-08,"14,913.98"
6-Jul-08,"15,043.77"
7-Jul-08,"14,998.18"
8-Jul-08,"15,191.50"
9-Jul-08,"15,074.91"
10-Jul-08,"15,089.53"
11-Jul-08,
12-Jul-08,"14,802.52"
13-Jul-08,"14,971.71"
14-Jul-08,
15-Jul-08,"15,106.08"
16-Jul-08,"15,049.27"
17-Jul-08,"15,152.87"
18-Jul-08,
19-Jul-08,
20-Jul-08,
21-Jul-08,
22-Jul-08,"14,690.21"
23-Jul-08,
24-Jul-08,
25-Jul-08,"14,865.03"
26-Jul-08,"15,091.56"
27-Jul-08,
28-Jul-08,"14,878.56"
29-Jul-08,"14,995.69"
30-Jul-08,"14,933.53"
31-Jul-08,
1-Aug-08,"14,697.15"
2-Aug-08,
3-Aug-08,
4-Aug-08,
5-Aug-08,"14,489.47"
6-Aug-08,
7-Aug-08,
8-Aug-08,
9-Aug-08,"14,719.25"
10-Aug-08,"14,650.07"
11-Aug-08,
12-Aug-08,
13-Aug-08,"14,778.38"
14-Aug-08,"14,682.94"
15-Aug-08,"14,829.38"
16-Aug-08,"14,893.72"
17-Aug-08,"14,795.57"
18-Aug-08,"14,986.46"
19-Aug-08,
20-Aug-08,"14,717.12"
21-Aug-08,"14,869.85"
22-Aug-08,"14,922.08"
23-Aug-08,"14,898.88"
24-Aug-08,"14,754.39"
25-Aug-08,"14,845.12"
26-Aug-08,"14,642.53"
27-Aug-08,"14,861.52"
28-Aug-08,"14,416.98"
29-Aug-08,
30-Aug-08,"14,806.84"
31-Aug-08,"14,761.78"
1-Sep-08,"14,896.78"
2-Sep-08,
3-Sep-08,"14,857.18"
4-Sep-08,"15,007.80"
5-Sep-08,"14,822.97"
6-Sep-08,
7-Sep-08,"14,742.94"
8-Sep-08,
9-Sep-08,
10-Sep-08,"14,592.40"
11-Sep-08,"14,515.38"
12-Sep-08,
13-Sep-08,"14,705.78"
14-Sep-08,
15-Sep-08,"14,781.70"
16-Sep-08,"14,445.11"
17-Sep-08,"14,688.28"
18-Sep-08,"14,537.86"
19-Sep-08,"14,449.92"
20-Sep-08,"14,517.98"
21-Sep-08,"14,683.21"
22-Sep-08,"14,528.39"
23-Sep-08,"14,454.08"
24-Sep-08,"14,616.43"
25-Sep-08,"14,171.13"
26-Sep-08,
27-Sep-08,
28-Sep-08,
29-Sep-08,"14,295.32"
30-Sep-08,"14,460.82"
1-Oct-08,
2-Oct-08,"14,248.71"
3-Oct-08,"14,351.85"
4-Oct-08,"14,188.46"
5-Oct-08,"14,406.34"
6-Oct-08,"14,051.37"
7-Oct-08,"14,445.51"
8-Oct-08,"14,130.02"
9-Oct-08,"14,538.70"
10-Oct-08,"14,600.31"
11-Oct-08,"14,510.96"
12-Oct-08,"14,504.77"
13-Oct-08,
14-Oct-08,
15-Oct-08,"14,207.01"
16-Oct-08,
17-Oct-08,"14,333.48"
18-Oct-08,"14,192.88"
19-Oct-08,"14,156.32"
20-Oct-08,"14,270.83"
21-Oct-08,
22-Oct-08,
23-Oct-08,
24-Oct-08,"14,321.46"
25-Oct-08,
26-Oct-08,"14,490.31"
27-Oct-08,"14,500.87"
28-Oct-08,
29-Oct-08,
30-Oct-08,"13,938.92"
31-Oct-08,"14,144.24"
1-Nov-08,"13,785.40"
2-Nov-08,"13,965.10"
3-Nov-08,"13,918.81"
4-Nov-08,"14,341.90"
5-Nov-08,"14,220.37"
6-Nov-08,
7-Nov-08,
8-Nov-08,
9-Nov-08,"14,198.76"
10-Nov-08,
11-Nov-08,"13,818.61"
12-Nov-08,"13,893.25"
13-Nov-08,"13,730.02"
14-Nov-08,
15-Nov-08,
16-Nov-08,
17-Nov-08,"13,932.98"
18-Nov-08,"13,795.76"
19-Nov-08,"13,632.13"
20-Nov-08,"13,641.44"
21-Nov-08,"13,595.93"
22-Nov-08,"13,408.78"
23-Nov-08,"13,608.41"
24-Nov-08,"13,699.81"
25-Nov-08,
26-Nov-08,"13,860.67"
27-Nov-08,"13,807.76"
28-Nov-08,
29-Nov-08,"13,847.39"
30-Nov-08,
1-Dec-08,
2-Dec-08,"13,900.98"
3-Dec-08,"13,794.04"
4-Dec-08,
5-Dec-08,"13,568.19"
6-Dec-08,"13,363.56"
7-Dec-08,
8-Dec-08,"13,329.71"
9-Dec-08,
10-Dec-08,
11-Dec-08,
12-Dec-08,
13-Dec-08,"13,406.51"
14-Dec-08,"13,386.69"
15-Dec-08,"13,726.25"
16-Dec-08,
17-Dec-08,
18-Dec-08,"13,543.48"
19-Dec-08,
20-Dec-08,
23-Dec-08,
24-Dec-08,
25-Dec-08,"13,736.97"
26-Dec-08,"13,352.30"
27-Dec-08,
28-Dec-08,
29-Dec-08,"13,765.59"
30-Dec-08,"13,571.34"
1-Jan-09,"13,250.44"
2-Jan-09,
3-Jan-09,"13,393.04"
4-Jan-09,"13,563.94"
5-Jan-09,
6-Jan-09,"13,542.76"
7-Jan-09,
8-Jan-09,"13,222.04"
9-Jan-09,"13,254.39"
10-Jan-09,"13,284.70"
11-Jan-09,
12-Jan-09,"13,041.02"
13-Jan-09,
14-Jan-09,"13,072.65"
15-Jan-09,"12,915.61"
16-Jan-09,"12,844.43"
17-Jan-09,"13,033.55"
18-Jan-09,
19-Jan-09,
20-Jan-09,"13,041.37"
21-Jan-09,"13,086.47"
22-Jan-09,
23-Jan-09,
24-Jan-09,"13,365.33"
25-Jan-09,"13,014.14"
26-Jan-09,"12,968.26"
27-Jan-09,"13,116.63"
28-Jan-09,
