system:time_start,vpd
1-Jan-08,0.134
2-Jan-08,0.166
3-Jan-08,0.063
4-Jan-08,0.088
5-Jan-08,0.134
6-Jan-08,0.174
7-Jan-08,0.148
8-Jan-08,0.326
9-Jan-08,0.317
10-Jan-08,0.338
11-Jan-08,0.19
12-Jan-08,0.305
13-Jan-08,0.295
14-Jan-08,0.152
15-Jan-08,0.152
16-Jan-08,0.154
17-Jan-08,0.133
18-Jan-08,0.173
19-Jan-08,0.252
20-Jan-08,0.228
21-Jan-08,0.188
22-Jan-08,0.187
23-Jan-08,0.225
24-Jan-08,0.183
25-Jan-08,0.162
26-Jan-08,0.217
27-Jan-08,0.133
28-Jan-08,0.167
29-Jan-08,0.15
30-Jan-08,0.202
31-Jan-08,0.27
1-Feb-08,0.196
2-Feb-08,0.182
3-Feb-08,0.205
4-Feb-08,0.208
5-Feb-08,0.131
6-Feb-08,0.14
7-Feb-08,0.141
8-Feb-08,0.112
9-Feb-08,0.096
10-Feb-08,0.107
11-Feb-08,0.149
12-Feb-08,0.12
13-Feb-08,0.086
14-Feb-08,0.173
15-Feb-08,0.154
16-Feb-08,0.138
17-Feb-08,0.111
18-Feb-08,0.15
19-Feb-08,0.254
20-Feb-08,0.219
21-Feb-08,0.172
22-Feb-08,0.118
23-Feb-08,0.135
24-Feb-08,0.173
25-Feb-08,0.205
26-Feb-08,0.147
27-Feb-08,0.124
28-Feb-08,0.143
29-Feb-08,0.125
1-Mar-08,0.114
2-Mar-08,0.191
3-Mar-08,0.152
4-Mar-08,0.254
5-Mar-08,0.229
6-Mar-08,0.258
7-Mar-08,0.227
8-Mar-08,0.176
9-Mar-08,0.362
10-Mar-08,0.3
11-Mar-08,0.241
12-Mar-08,0.258
13-Mar-08,0.335
14-Mar-08,0.264
15-Mar-08,0.233
16-Mar-08,0.237
17-Mar-08,0.307
18-Mar-08,0.383
19-Mar-08,0.212
20-Mar-08,0.21
21-Mar-08,0.291
22-Mar-08,0.299
23-Mar-08,0.339
24-Mar-08,0.305
25-Mar-08,0.318
26-Mar-08,0.386
27-Mar-08,0.441
28-Mar-08,0.194
29-Mar-08,0.206
30-Mar-08,0.345
31-Mar-08,0.208
1-Apr-08,0.317
2-Apr-08,0.672
3-Apr-08,0.547
4-Apr-08,0.243
5-Apr-08,0.383
6-Apr-08,0.3
7-Apr-08,0.39
8-Apr-08,0.484
9-Apr-08,0.514
10-Apr-08,0.645
11-Apr-08,0.416
12-Apr-08,0.5
13-Apr-08,0.413
14-Apr-08,0.483
15-Apr-08,0.648
16-Apr-08,0.73
17-Apr-08,0.704
18-Apr-08,1.027
19-Apr-08,0.804
20-Apr-08,0.508
21-Apr-08,0.56
22-Apr-08,0.652
23-Apr-08,0.922
24-Apr-08,0.846
25-Apr-08,0.813
26-Apr-08,0.568
27-Apr-08,0.411
28-Apr-08,0.366
29-Apr-08,0.293
30-Apr-08,0.549
1-May-08,0.585
2-May-08,0.655
3-May-08,0.388
4-May-08,0.336
5-May-08,0.693
6-May-08,0.894
7-May-08,0.975
8-May-08,1.039
9-May-08,0.737
10-May-08,0.605
11-May-08,0.749
12-May-08,0.694
13-May-08,0.858
14-May-08,0.934
15-May-08,0.694
16-May-08,0.85
17-May-08,0.843
18-May-08,0.846
19-May-08,0.677
20-May-08,0.663
21-May-08,0.637
22-May-08,0.689
23-May-08,0.773
24-May-08,0.802
25-May-08,1.046
26-May-08,1.031
27-May-08,1.328
28-May-08,0.789
29-May-08,0.98
30-May-08,0.853
31-May-08,0.516
1-Jun-08,0.775
2-Jun-08,0.761
3-Jun-08,0.745
4-Jun-08,0.373
5-Jun-08,0.565
6-Jun-08,0.311
7-Jun-08,0.554
8-Jun-08,1.031
9-Jun-08,1.009
10-Jun-08,0.782
11-Jun-08,0.979
12-Jun-08,0.905
13-Jun-08,0.953
14-Jun-08,0.865
15-Jun-08,0.395
16-Jun-08,0.418
17-Jun-08,0.666
18-Jun-08,0.573
19-Jun-08,0.504
20-Jun-08,0.605
21-Jun-08,0.672
22-Jun-08,0.672
23-Jun-08,0.581
24-Jun-08,0.878
25-Jun-08,0.927
26-Jun-08,0.834
27-Jun-08,0.709
28-Jun-08,0.524
29-Jun-08,0.586
30-Jun-08,0.613
1-Jul-08,0.819
2-Jul-08,0.7
3-Jul-08,0.808
4-Jul-08,0.8
5-Jul-08,0.654
6-Jul-08,0.488
7-Jul-08,0.711
8-Jul-08,0.72
9-Jul-08,0.872
10-Jul-08,0.889
11-Jul-08,0.815
12-Jul-08,0.753
13-Jul-08,0.666
14-Jul-08,0.822
15-Jul-08,0.964
16-Jul-08,0.934
17-Jul-08,0.916
18-Jul-08,0.78
19-Jul-08,1.049
20-Jul-08,0.701
21-Jul-08,0.672
22-Jul-08,0.599
23-Jul-08,0.504
24-Jul-08,0.478
25-Jul-08,0.69
26-Jul-08,0.677
27-Jul-08,0.741
28-Jul-08,0.818
29-Jul-08,1.012
30-Jul-08,0.822
31-Jul-08,0.481
1-Aug-08,0.501
2-Aug-08,0.501
3-Aug-08,0.453
4-Aug-08,0.568
5-Aug-08,0.541
6-Aug-08,0.28
7-Aug-08,0.411
8-Aug-08,0.374
9-Aug-08,0.578
10-Aug-08,0.566
11-Aug-08,0.458
12-Aug-08,0.533
13-Aug-08,0.655
14-Aug-08,0.573
15-Aug-08,0.672
16-Aug-08,0.668
17-Aug-08,0.842
18-Aug-08,0.757
19-Aug-08,0.459
20-Aug-08,0.644
21-Aug-08,0.777
22-Aug-08,0.773
23-Aug-08,0.705
24-Aug-08,0.556
25-Aug-08,0.76
26-Aug-08,0.599
27-Aug-08,0.845
28-Aug-08,0.737
29-Aug-08,0.548
30-Aug-08,0.63
31-Aug-08,0.671
1-Sep-08,0.83
2-Sep-08,0.756
3-Sep-08,0.688
4-Sep-08,0.759
5-Sep-08,0.629
6-Sep-08,0.395
7-Sep-08,0.585
8-Sep-08,0.656
9-Sep-08,0.428
10-Sep-08,0.607
11-Sep-08,0.506
12-Sep-08,0.284
13-Sep-08,0.435
14-Sep-08,0.314
15-Sep-08,0.795
16-Sep-08,0.473
17-Sep-08,0.531
18-Sep-08,0.522
19-Sep-08,0.461
20-Sep-08,0.38
21-Sep-08,0.491
22-Sep-08,0.456
23-Sep-08,0.519
24-Sep-08,0.445
25-Sep-08,0.496
26-Sep-08,0.16
27-Sep-08,0.366
28-Sep-08,0.374
29-Sep-08,0.516
30-Sep-08,0.353
1-Oct-08,0.294
2-Oct-08,0.433
3-Oct-08,0.451
4-Oct-08,0.411
5-Oct-08,0.465
6-Oct-08,0.482
