system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,415.60"
3-Jan-08,"12,893.42"
4-Jan-08,
5-Jan-08,
6-Jan-08,
7-Jan-08,
8-Jan-08,"13,961.34"
9-Jan-08,
10-Jan-08,"13,751.60"
11-Jan-08,
12-Jan-08,
13-Jan-08,"13,760"
14-Jan-08,
15-Jan-08,"13,520.57"
16-Jan-08,"13,672"
17-Jan-08,
18-Jan-08,
19-Jan-08,
20-Jan-08,
21-Jan-08,"13,207.51"
22-Jan-08,
23-Jan-08,"13,668"
24-Jan-08,
25-Jan-08,"13,406.30"
26-Jan-08,"13,393"
27-Jan-08,
28-Jan-08,"13,543.35"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,745"
1-Feb-08,
2-Feb-08,"13,821.57"
3-Feb-08,
4-Feb-08,"13,745.40"
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,
12-Feb-08,
13-Feb-08,
14-Feb-08,"13,651.33"
15-Feb-08,
16-Feb-08,"13,390.06"
17-Feb-08,
18-Feb-08,
19-Feb-08,
20-Feb-08,"13,500.58"
21-Feb-08,"13,412.97"
22-Feb-08,"12,969.38"
23-Feb-08,"13,578"
24-Feb-08,"13,632.63"
25-Feb-08,"13,759.55"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,303.74"
1-Mar-08,
2-Mar-08,"13,645.36"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,703.00"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,669.63"
10-Mar-08,
11-Mar-08,"13,659.96"
12-Mar-08,
13-Mar-08,"13,774.61"
14-Mar-08,"13,421.83"
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,964"
18-Mar-08,"13,845.42"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,767.04"
23-Mar-08,"13,743.65"
24-Mar-08,"13,788.62"
25-Mar-08,"13,716.72"
26-Mar-08,
27-Mar-08,
28-Mar-08,
29-Mar-08,
30-Mar-08,"13,857.16"
31-Mar-08,
1-Apr-08,
2-Apr-08,"14,055.57"
3-Apr-08,"14,199.30"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"14,155.10"
8-Apr-08,"14,345.55"
9-Apr-08,"14,238.29"
10-Apr-08,"14,637.53"
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"14,165.79"
15-Apr-08,"14,593.05"
16-Apr-08,"14,511.09"
17-Apr-08,"14,649.76"
18-Apr-08,"14,964.59"
19-Apr-08,"14,677.75"
20-Apr-08,"14,463.23"
21-Apr-08,"14,453.34"
22-Apr-08,"14,704.43"
23-Apr-08,"14,736.45"
24-Apr-08,"14,925.42"
25-Apr-08,"14,394.68"
26-Apr-08,"14,651.78"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,349.03"
1-May-08,"14,430.18"
2-May-08,"14,145.67"
3-May-08,
4-May-08,
5-May-08,"14,754.06"
6-May-08,"14,748.24"
7-May-08,"14,837.39"
8-May-08,"15,024.39"
9-May-08,
10-May-08,
