system:time_start,tmax
1-Jan-08,0.207
2-Jan-08,-0.441
3-Jan-08,-8.63
4-Jan-08,-8.497
5-Jan-08,-1.814
6-Jan-08,2.417
7-Jan-08,4.685
8-Jan-08,12.279
9-Jan-08,12.918
10-Jan-08,9
11-Jan-08,5.5
12-Jan-08,5.95
13-Jan-08,5.5
14-Jan-08,1
15-Jan-08,-1.79
16-Jan-08,-0.902
17-Jan-08,-0.992
18-Jan-08,3.811
19-Jan-08,2.411
20-Jan-08,-1
21-Jan-08,-5.787
22-Jan-08,-1.264
23-Jan-08,0.648
24-Jan-08,-1.5
25-Jan-08,-3.839
26-Jan-08,-2.389
27-Jan-08,-1.939
28-Jan-08,0.746
29-Jan-08,3.5
30-Jan-08,6
31-Jan-08,3
1-Feb-08,0.758
2-Feb-08,5.823
3-Feb-08,3.5
4-Feb-08,4
5-Feb-08,2.764
6-Feb-08,1.5
7-Feb-08,0
8-Feb-08,-3.563
9-Feb-08,-1.353
10-Feb-08,2.012
11-Feb-08,-2.904
12-Feb-08,-4.859
13-Feb-08,0.299
14-Feb-08,1.292
15-Feb-08,3.072
16-Feb-08,-0.5
17-Feb-08,0.053
18-Feb-08,7.626
19-Feb-08,6.686
20-Feb-08,2
21-Feb-08,-2.5
22-Feb-08,-3.6
23-Feb-08,-0.579
24-Feb-08,1.886
25-Feb-08,4
26-Feb-08,3.509
27-Feb-08,2.493
28-Feb-08,-0.5
29-Feb-08,-4.034
1-Mar-08,-0.363
2-Mar-08,1.935
3-Mar-08,3.17
4-Mar-08,9.186
5-Mar-08,6.797
6-Mar-08,3.604
7-Mar-08,4.714
8-Mar-08,5.046
9-Mar-08,5.485
10-Mar-08,-0.295
11-Mar-08,0.633
12-Mar-08,3.859
13-Mar-08,2.959
14-Mar-08,5.375
15-Mar-08,5.236
16-Mar-08,3.837
17-Mar-08,4
18-Mar-08,5.893
19-Mar-08,4.394
20-Mar-08,3
21-Mar-08,2
22-Mar-08,2.036
23-Mar-08,3.175
24-Mar-08,2.859
25-Mar-08,2.5
26-Mar-08,8.239
27-Mar-08,9.94
28-Mar-08,6
29-Mar-08,0
30-Mar-08,4.184
31-Mar-08,4.996
1-Apr-08,8.918
2-Apr-08,11
3-Apr-08,9.179
4-Apr-08,6.581
5-Apr-08,7.524
6-Apr-08,6.947
7-Apr-08,7.303
8-Apr-08,9.905
9-Apr-08,10.491
10-Apr-08,16.46
11-Apr-08,14.5
12-Apr-08,11
13-Apr-08,9.964
14-Apr-08,9.641
15-Apr-08,11.627
16-Apr-08,14.495
17-Apr-08,15.97
18-Apr-08,21.947
19-Apr-08,20.306
20-Apr-08,16.652
21-Apr-08,14.811
22-Apr-08,18.473
23-Apr-08,23.897
24-Apr-08,22.845
25-Apr-08,18.5
26-Apr-08,16.298
27-Apr-08,12.765
28-Apr-08,11
29-Apr-08,11.44
30-Apr-08,10.993
1-May-08,11.911
2-May-08,12.638
3-May-08,10.408
4-May-08,7.953
5-May-08,14.921
6-May-08,19.624
7-May-08,21.682
8-May-08,24.03
9-May-08,20.033
10-May-08,16.74
11-May-08,16.933
12-May-08,16.894
13-May-08,19.411
14-May-08,20.215
15-May-08,18.52
16-May-08,19
17-May-08,19.36
18-May-08,20.928
19-May-08,18.398
20-May-08,17.51
21-May-08,17.801
22-May-08,16.022
23-May-08,18.163
24-May-08,19.936
25-May-08,21.663
26-May-08,24.566
27-May-08,26.991
28-May-08,22.16
29-May-08,23.658
30-May-08,21.625
31-May-08,17.382
