system:time_start,tmin
1-Jan-08,-9.696
2-Jan-08,-11.99
3-Jan-08,-20.554
4-Jan-08,-20.847
5-Jan-08,-15.352
6-Jan-08,-6.388
7-Jan-08,-2.294
8-Jan-08,0.899
9-Jan-08,3.864
10-Jan-08,0.416
11-Jan-08,-2.062
12-Jan-08,-1.882
13-Jan-08,-4.441
14-Jan-08,-5.993
15-Jan-08,-9.473
16-Jan-08,-10.569
17-Jan-08,-14.359
18-Jan-08,-7.141
19-Jan-08,-6.78
20-Jan-08,-10.665
21-Jan-08,-15.883
22-Jan-08,-14.195
23-Jan-08,-8.36
24-Jan-08,-10.74
25-Jan-08,-15.121
26-Jan-08,-12.618
27-Jan-08,-9.354
28-Jan-08,-9.374
29-Jan-08,-6.976
30-Jan-08,-4.223
31-Jan-08,-7.724
1-Feb-08,-6.651
2-Feb-08,-3.728
3-Feb-08,-2.967
4-Feb-08,-4
5-Feb-08,-2.034
6-Feb-08,-0.825
7-Feb-08,-5.998
8-Feb-08,-8.256
9-Feb-08,-12.178
10-Feb-08,-8.522
11-Feb-08,-12.852
12-Feb-08,-15.804
13-Feb-08,-10.586
14-Feb-08,-5.997
15-Feb-08,-6.979
16-Feb-08,-13.543
17-Feb-08,-14.472
18-Feb-08,-4.683
19-Feb-08,-2.509
20-Feb-08,-8.411
21-Feb-08,-13.377
22-Feb-08,-13.595
23-Feb-08,-9.692
24-Feb-08,-11.796
25-Feb-08,-10.109
26-Feb-08,-7.034
27-Feb-08,-4.442
28-Feb-08,-11.273
29-Feb-08,-19.168
1-Mar-08,-11.965
2-Mar-08,-6.936
3-Mar-08,-11.553
4-Mar-08,-3.152
5-Mar-08,-3.07
6-Mar-08,-5.338
7-Mar-08,-4.03
8-Mar-08,-0.18
9-Mar-08,-4.5
10-Mar-08,-9.951
11-Mar-08,-11.196
12-Mar-08,-6.49
13-Mar-08,-7.408
14-Mar-08,-3.34
15-Mar-08,-1.325
16-Mar-08,-1.918
17-Mar-08,-3.228
18-Mar-08,-6.95
19-Mar-08,-3.618
20-Mar-08,-0.082
21-Mar-08,-4.384
22-Mar-08,-6.248
23-Mar-08,-6.882
24-Mar-08,-9.803
25-Mar-08,-8.289
26-Mar-08,-4.154
27-Mar-08,-2.945
28-Mar-08,-1.806
29-Mar-08,-5.829
30-Mar-08,-6.965
31-Mar-08,-5.493
1-Apr-08,0.096
2-Apr-08,-0.467
3-Apr-08,-2.543
4-Apr-08,-0.252
5-Apr-08,0.961
6-Apr-08,0.549
7-Apr-08,-1.594
8-Apr-08,-3.135
9-Apr-08,-2.5
10-Apr-08,2.256
11-Apr-08,1.689
12-Apr-08,3.067
13-Apr-08,0
14-Apr-08,-1.511
15-Apr-08,-1.555
16-Apr-08,-1.77
17-Apr-08,0.057
18-Apr-08,0.79
19-Apr-08,3.5
20-Apr-08,1.537
21-Apr-08,4.638
22-Apr-08,3.509
23-Apr-08,5.031
24-Apr-08,8.489
25-Apr-08,3.055
26-Apr-08,1.045
27-Apr-08,4
28-Apr-08,3.5
29-Apr-08,4.545
30-Apr-08,0
1-May-08,-1.508
2-May-08,-0.091
3-May-08,3.493
4-May-08,5.215
5-May-08,5.255
6-May-08,3
7-May-08,7.186
8-May-08,9.23
9-May-08,6
10-May-08,6.805
11-May-08,4.646
12-May-08,3.156
13-May-08,6
14-May-08,3.99
15-May-08,5.67
16-May-08,7.521
17-May-08,8
18-May-08,6.779
19-May-08,6.606
20-May-08,5
21-May-08,7.988
22-May-08,7.5
23-May-08,6.606
24-May-08,6.115
25-May-08,6.73
26-May-08,9.146
27-May-08,11.493
28-May-08,5
29-May-08,5.068
30-May-08,7.38
31-May-08,9.215
1-Jun-08,11.305
2-Jun-08,10.988
3-Jun-08,10.5
4-Jun-08,12.493
5-Jun-08,11.829
6-Jun-08,10.99
7-Jun-08,10.701
8-Jun-08,11.969
9-Jun-08,18
10-Jun-08,15.311
11-Jun-08,13.673
12-Jun-08,13.155
13-Jun-08,9.537
14-Jun-08,12.77
15-Jun-08,12.072
16-Jun-08,12.99
17-Jun-08,13.535
18-Jun-08,12.622
19-Jun-08,12.035
20-Jun-08,12.648
21-Jun-08,13.365
22-Jun-08,12.263
23-Jun-08,15.701
24-Jun-08,15.027
25-Jun-08,12.744
26-Jun-08,14.21
27-Jun-08,15.337
28-Jun-08,14
29-Jun-08,13.5
30-Jun-08,15.578
1-Jul-08,15.226
2-Jul-08,14.824
3-Jul-08,15.5
4-Jul-08,14.006
5-Jul-08,12.006
6-Jul-08,13.156
7-Jul-08,16
8-Jul-08,17
9-Jul-08,20.5
10-Jul-08,17.708
11-Jul-08,13.012
12-Jul-08,13.696
13-Jul-08,16.253
14-Jul-08,17.487
15-Jul-08,15.275
16-Jul-08,14.544
17-Jul-08,16.04
18-Jul-08,15.992
19-Jul-08,17
20-Jul-08,17.5
21-Jul-08,18.082
22-Jul-08,16.409
23-Jul-08,16.365
24-Jul-08,16.543
25-Jul-08,17.075
26-Jul-08,15.633
27-Jul-08,17.017
28-Jul-08,15.5
29-Jul-08,16.1
30-Jul-08,15.118
31-Jul-08,17
1-Aug-08,17.988
2-Aug-08,17.993
3-Aug-08,17.07
4-Aug-08,16.476
5-Aug-08,15.893
6-Aug-08,15.236
7-Aug-08,14.522
8-Aug-08,15.041
9-Aug-08,13.573
10-Aug-08,13.055
11-Aug-08,15.128
12-Aug-08,14
13-Aug-08,12.62
14-Aug-08,14
15-Aug-08,14.484
16-Aug-08,14.549
17-Aug-08,12.655
18-Aug-08,15.471
19-Aug-08,13.613
20-Aug-08,8.587
21-Aug-08,10.477
22-Aug-08,13.461
23-Aug-08,13.578
24-Aug-08,14.037
25-Aug-08,13
26-Aug-08,9.5
27-Aug-08,10.484
28-Aug-08,12.646
29-Aug-08,13.81
30-Aug-08,15.995
31-Aug-08,15
1-Sep-08,13.22
2-Sep-08,13.44
3-Sep-08,11.977
4-Sep-08,12.987
5-Sep-08,15.822
6-Sep-08,16.5
7-Sep-08,15.012
8-Sep-08,10.572
9-Sep-08,12.205
10-Sep-08,8.776
11-Sep-08,5.336
12-Sep-08,7.54
13-Sep-08,12.695
14-Sep-08,14.49
15-Sep-08,14.527
16-Sep-08,10
17-Sep-08,7
18-Sep-08,7.51
19-Sep-08,2.537
20-Sep-08,2.305
21-Sep-08,5.047
22-Sep-08,6.841
23-Sep-08,4
24-Sep-08,4.279
25-Sep-08,7.079
26-Sep-08,7.997
27-Sep-08,12.765
28-Sep-08,15.852
29-Sep-08,15
30-Sep-08,11.751
1-Oct-08,12.007
2-Oct-08,9.006
3-Oct-08,4.557
4-Oct-08,3.618
5-Oct-08,2.106
6-Oct-08,2.765
7-Oct-08,2.011
8-Oct-08,3.723
9-Oct-08,7.961
10-Oct-08,8.058
11-Oct-08,5.632
12-Oct-08,3.555
13-Oct-08,7.21
14-Oct-08,9.5
15-Oct-08,6.12
16-Oct-08,6.5
17-Oct-08,3.736
18-Oct-08,-0.433
19-Oct-08,-1.433
20-Oct-08,-2.627
21-Oct-08,1.62
22-Oct-08,2
23-Oct-08,-3.438
24-Oct-08,-2.978
25-Oct-08,0.197
26-Oct-08,6.262
27-Oct-08,3.146
28-Oct-08,5.239
29-Oct-08,2
30-Oct-08,-1.463
31-Oct-08,-3.978
1-Nov-08,-2.196
2-Nov-08,-3.463
3-Nov-08,-2.945
4-Nov-08,0.991
5-Nov-08,5.711
6-Nov-08,8.466
7-Nov-08,11.417
8-Nov-08,11.27
9-Nov-08,7
10-Nov-08,2.157
11-Nov-08,-0.951
12-Nov-08,-2.77
13-Nov-08,-2.762
14-Nov-08,3.544
15-Nov-08,9.25
16-Nov-08,6.34
17-Nov-08,0.045
18-Nov-08,-4.311
19-Nov-08,-7
20-Nov-08,-9.734
21-Nov-08,-9.421
22-Nov-08,-7.993
23-Nov-08,-8.973
24-Nov-08,-10.354
25-Nov-08,-2.212
26-Nov-08,-0.478
27-Nov-08,-3.721
28-Nov-08,-2.539
29-Nov-08,-3.338
30-Nov-08,-6.295
1-Dec-08,-1.979
2-Dec-08,-0.929
3-Dec-08,-3.675
4-Dec-08,-2.046
5-Dec-08,-3.921
6-Dec-08,-8.385
7-Dec-08,-6.688
8-Dec-08,-14.708
9-Dec-08,-15.467
10-Dec-08,-3.404
11-Dec-08,-2.529
12-Dec-08,-3.325
13-Dec-08,-9.589
14-Dec-08,-12.489
15-Dec-08,-3.939
16-Dec-08,-1.545
17-Dec-08,-8.5
18-Dec-08,-10.454
19-Dec-08,-12.443
20-Dec-08,-15.368
21-Dec-08,-17.083
22-Dec-08,-14.428
23-Dec-08,-17.239
24-Dec-08,-10.397
25-Dec-08,-4.551
26-Dec-08,-11.16
27-Dec-08,-5.638
28-Dec-08,0.587
29-Dec-08,-1.945
30-Dec-08,-6.693
1-Jan-09,-16.832
2-Jan-09,-14.846
3-Jan-09,-10.924
4-Jan-09,-9.788
5-Jan-09,-9.304
6-Jan-09,-8.154
7-Jan-09,-8.144
8-Jan-09,-8.222
9-Jan-09,-11.694
10-Jan-09,-14.59
11-Jan-09,-14.264
12-Jan-09,-16.029
13-Jan-09,-13.788
14-Jan-09,-14.621
15-Jan-09,-20.168
16-Jan-09,-24.973
