system:time_start,ppt
1-Jan-08,3.956
2-Jan-08,17.841
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,0.658
11-Jan-08,0.652
12-Jan-08,19.142
13-Jan-08,0
14-Jan-08,0.367
15-Jan-08,15.754
16-Jan-08,0
17-Jan-08,0
18-Jan-08,15.008
19-Jan-08,9.94
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0.001
26-Jan-08,0
27-Jan-08,1.801
28-Jan-08,0.196
29-Jan-08,0
30-Jan-08,0.724
31-Jan-08,3.187
1-Feb-08,0
2-Feb-08,30.459
3-Feb-08,0
4-Feb-08,0
5-Feb-08,10.803
6-Feb-08,6.325
7-Feb-08,21.002
8-Feb-08,3.38
9-Feb-08,4.86
10-Feb-08,11.427
11-Feb-08,5.291
12-Feb-08,0
13-Feb-08,14.773
14-Feb-08,49.842
15-Feb-08,1.02
16-Feb-08,0
17-Feb-08,0
18-Feb-08,19.228
19-Feb-08,5.234
20-Feb-08,0.002
21-Feb-08,0
22-Feb-08,0
23-Feb-08,5.199
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,23.512
28-Feb-08,2.977
29-Feb-08,0
1-Mar-08,6.505
2-Mar-08,14.291
3-Mar-08,0
4-Mar-08,0
5-Mar-08,12.183
6-Mar-08,9.768
7-Mar-08,0
8-Mar-08,7.065
9-Mar-08,35.005
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0.518
13-Mar-08,0.919
14-Mar-08,0
15-Mar-08,7.062
16-Mar-08,2.536
17-Mar-08,0
18-Mar-08,0
19-Mar-08,0
20-Mar-08,26.932
21-Mar-08,1.073
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,1.567
27-Mar-08,0
28-Mar-08,3.648
29-Mar-08,5.69
30-Mar-08,0
31-Mar-08,0
1-Apr-08,6.075
2-Apr-08,4.133
3-Apr-08,0
4-Apr-08,0
5-Apr-08,13.799
6-Apr-08,0
7-Apr-08,0
8-Apr-08,0
9-Apr-08,0
10-Apr-08,0
11-Apr-08,0
12-Apr-08,9.995
13-Apr-08,1.837
14-Apr-08,0
15-Apr-08,0
16-Apr-08,0
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0.338
24-Apr-08,0.542
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0
28-Apr-08,0.038
29-Apr-08,60.293
30-Apr-08,32.927
1-May-08,0
2-May-08,0
3-May-08,0
4-May-08,8.036
5-May-08,9.053
6-May-08,0.035
7-May-08,0.335
8-May-08,1.178
9-May-08,0
10-May-08,0
11-May-08,0
12-May-08,0
13-May-08,0
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,0.348
18-May-08,0.039
19-May-08,0
20-May-08,0
21-May-08,0.567
22-May-08,2.958
23-May-08,0.383
24-May-08,0.829
25-May-08,0
26-May-08,0
27-May-08,0.005
28-May-08,0
29-May-08,0
30-May-08,0
31-May-08,1.403
1-Jun-08,7.778
2-Jun-08,0.05
3-Jun-08,0
4-Jun-08,3.793
5-Jun-08,3.399
6-Jun-08,1.54
7-Jun-08,3.097
8-Jun-08,0
9-Jun-08,0
10-Jun-08,0.888
11-Jun-08,3.407
12-Jun-08,0
13-Jun-08,0
14-Jun-08,0
15-Jun-08,7.041
16-Jun-08,3.688
17-Jun-08,4.256
18-Jun-08,0.908
19-Jun-08,0
20-Jun-08,0.468
21-Jun-08,1.468
22-Jun-08,7.756
23-Jun-08,3.194
24-Jun-08,3.21
25-Jun-08,6.396
26-Jun-08,0
27-Jun-08,0.031
28-Jun-08,3.256
29-Jun-08,9.78
30-Jun-08,7.001
1-Jul-08,0.329
2-Jul-08,0.332
3-Jul-08,0
4-Jul-08,0
5-Jul-08,0
6-Jul-08,0
7-Jul-08,0
8-Jul-08,0
9-Jul-08,0
10-Jul-08,3.304
11-Jul-08,0
12-Jul-08,0
13-Jul-08,0
14-Jul-08,0
15-Jul-08,0.101
16-Jul-08,0
17-Jul-08,0
18-Jul-08,0
19-Jul-08,8.935
20-Jul-08,0.672
21-Jul-08,8.607
22-Jul-08,3.504
23-Jul-08,0
24-Jul-08,15.212
25-Jul-08,23.677
26-Jul-08,0
27-Jul-08,0.012
28-Jul-08,2.424
29-Jul-08,0
30-Jul-08,0
31-Jul-08,0
1-Aug-08,19.491
2-Aug-08,0.075
3-Aug-08,8.04
4-Aug-08,15.067
5-Aug-08,4.108
6-Aug-08,0.172
7-Aug-08,19.378
8-Aug-08,49.21
9-Aug-08,14.121
10-Aug-08,0.607
11-Aug-08,0
12-Aug-08,14.074
13-Aug-08,8.985
14-Aug-08,0
15-Aug-08,0.034
16-Aug-08,0.162
17-Aug-08,3.575
18-Aug-08,0
19-Aug-08,0.178
20-Aug-08,3.969
21-Aug-08,0
22-Aug-08,0
23-Aug-08,0
24-Aug-08,0
25-Aug-08,0
26-Aug-08,0
27-Aug-08,0
28-Aug-08,0
29-Aug-08,0
30-Aug-08,0
31-Aug-08,0.064
1-Sep-08,0
2-Sep-08,0
3-Sep-08,0
4-Sep-08,0
5-Sep-08,0
6-Sep-08,0
7-Sep-08,131.048
8-Sep-08,0
9-Sep-08,0
10-Sep-08,7.499
11-Sep-08,0
12-Sep-08,0
13-Sep-08,3.637
14-Sep-08,0
15-Sep-08,5.763
16-Sep-08,0
17-Sep-08,0
18-Sep-08,0
19-Sep-08,0
20-Sep-08,0
21-Sep-08,0
22-Sep-08,0
23-Sep-08,0
24-Sep-08,0
25-Sep-08,0
26-Sep-08,0
27-Sep-08,59.946
28-Sep-08,32.256
29-Sep-08,18.241
30-Sep-08,0
1-Oct-08,6.351
2-Oct-08,3.645
3-Oct-08,1.207
4-Oct-08,0.299
5-Oct-08,0
6-Oct-08,0
7-Oct-08,0
8-Oct-08,0
9-Oct-08,1.483
10-Oct-08,0
11-Oct-08,0
12-Oct-08,0
13-Oct-08,0.005
14-Oct-08,0.046
15-Oct-08,0
16-Oct-08,2.352
17-Oct-08,2.337
18-Oct-08,0
19-Oct-08,0
20-Oct-08,0
21-Oct-08,2.303
22-Oct-08,3.871
23-Oct-08,0.067
24-Oct-08,0
25-Oct-08,0.085
26-Oct-08,41.979
27-Oct-08,1.359
28-Oct-08,0
29-Oct-08,9.977
30-Oct-08,0
31-Oct-08,0
1-Nov-08,0
2-Nov-08,0
3-Nov-08,0
4-Nov-08,0
5-Nov-08,0
6-Nov-08,0
7-Nov-08,19.615
8-Nov-08,0.757
9-Nov-08,7.054
10-Nov-08,0
11-Nov-08,0
12-Nov-08,0
13-Nov-08,0
14-Nov-08,9.9
15-Nov-08,15.926
16-Nov-08,22.772
17-Nov-08,0.584
18-Nov-08,0
19-Nov-08,0
20-Nov-08,0
21-Nov-08,0
22-Nov-08,0
23-Nov-08,0
24-Nov-08,0
25-Nov-08,7.555
26-Nov-08,62.976
27-Nov-08,0
28-Nov-08,0
29-Nov-08,4.557
30-Nov-08,0
1-Dec-08,14.652
2-Dec-08,0.049
3-Dec-08,0
4-Dec-08,0
5-Dec-08,0
6-Dec-08,0
7-Dec-08,0.533
8-Dec-08,1.422
9-Dec-08,0
10-Dec-08,4.285
11-Dec-08,6.898
12-Dec-08,32.226
13-Dec-08,12.747
14-Dec-08,0
15-Dec-08,0
16-Dec-08,0.522
17-Dec-08,4.79
18-Dec-08,2.593
19-Dec-08,0
20-Dec-08,7.872
21-Dec-08,0
22-Dec-08,26.344
23-Dec-08,0
24-Dec-08,0.388
25-Dec-08,5.912
26-Dec-08,0
27-Dec-08,0.395
28-Dec-08,1.658
29-Dec-08,0
30-Dec-08,0.406
31-Dec-08,0.001
1-Jan-09,0.319
2-Jan-09,0
3-Jan-09,0
4-Jan-09,0
5-Jan-09,0.957
6-Jan-09,0
7-Jan-09,6.058
8-Jan-09,6.613
9-Jan-09,0
10-Jan-09,0
11-Jan-09,5.962
12-Jan-09,4.533
13-Jan-09,0.258
14-Jan-09,0
15-Jan-09,0
16-Jan-09,0
17-Jan-09,0
18-Jan-09,10.403
19-Jan-09,16.378
20-Jan-09,0
21-Jan-09,0
22-Jan-09,0
23-Jan-09,0
24-Jan-09,0.022
25-Jan-09,0
26-Jan-09,0
27-Jan-09,0
28-Jan-09,0
29-Jan-09,27.944
30-Jan-09,0
31-Jan-09,0
1-Feb-09,0
2-Feb-09,0
3-Feb-09,0
4-Feb-09,1.381
5-Feb-09,0
6-Feb-09,0
7-Feb-09,0
8-Feb-09,0
9-Feb-09,0
10-Feb-09,0
11-Feb-09,1.166
12-Feb-09,9.854
13-Feb-09,4.01
14-Feb-09,0
15-Feb-09,0
16-Feb-09,0
17-Feb-09,0
18-Feb-09,1.248
19-Feb-09,23.998
20-Feb-09,12.398
21-Feb-09,0.003
22-Feb-09,0
23-Feb-09,30.974
24-Feb-09,0.031
25-Feb-09,0
26-Feb-09,0
27-Feb-09,1.563
28-Feb-09,4.134
1-Mar-09,0
2-Mar-09,11.279
3-Mar-09,8.051
4-Mar-09,0
5-Mar-09,0
6-Mar-09,0
7-Mar-09,1.131
8-Mar-09,7.494
9-Mar-09,0
10-Mar-09,2.505
11-Mar-09,3.292
12-Mar-09,12.648
13-Mar-09,0
14-Mar-09,0
15-Mar-09,0
16-Mar-09,0
17-Mar-09,0
18-Mar-09,0
19-Mar-09,1.822
20-Mar-09,0
21-Mar-09,0
22-Mar-09,0
23-Mar-09,0
24-Mar-09,0
25-Mar-09,0
26-Mar-09,0
27-Mar-09,6.107
28-Mar-09,0.21
29-Mar-09,0.328
30-Mar-09,16.794
31-Mar-09,5.128
1-Apr-09,0.64
2-Apr-09,3.099
3-Apr-09,0.063
4-Apr-09,15.132
5-Apr-09,0.343
6-Apr-09,0
7-Apr-09,22.473
8-Apr-09,0.49
9-Apr-09,0
10-Apr-09,0
11-Apr-09,0.558
12-Apr-09,0
13-Apr-09,0
14-Apr-09,0
15-Apr-09,0
16-Apr-09,0
17-Apr-09,0
18-Apr-09,0
19-Apr-09,0.057
20-Apr-09,0
21-Apr-09,20.566
22-Apr-09,19.002
23-Apr-09,7.918
24-Apr-09,0
25-Apr-09,0
26-Apr-09,0.229
27-Apr-09,0.24
28-Apr-09,0
29-Apr-09,0
30-Apr-09,0
1-May-09,2.344
2-May-09,1.468
3-May-09,0
4-May-09,0
5-May-09,0
6-May-09,6.629
7-May-09,15.608
8-May-09,9.789
9-May-09,2.025
10-May-09,4.565
11-May-09,1.902
12-May-09,0
13-May-09,0
14-May-09,1.009
15-May-09,2.621
16-May-09,0.378
17-May-09,6.467
18-May-09,1.72
19-May-09,0
20-May-09,0
21-May-09,0
22-May-09,0
23-May-09,0
24-May-09,0.873
25-May-09,0.493
26-May-09,0
27-May-09,0
28-May-09,17.427
29-May-09,7.427
30-May-09,5.256
31-May-09,1.901
1-Jun-09,2.756
2-Jun-09,0
3-Jun-09,0
4-Jun-09,0
5-Jun-09,0
6-Jun-09,0
7-Jun-09,0
8-Jun-09,0.362
9-Jun-09,3.709
10-Jun-09,4.286
11-Jun-09,0
12-Jun-09,35.743
13-Jun-09,4.59
14-Jun-09,14.36
15-Jun-09,10.29
16-Jun-09,0.335
17-Jun-09,0
18-Jun-09,0
19-Jun-09,51.807
20-Jun-09,47.463
21-Jun-09,2.879
22-Jun-09,2.138
23-Jun-09,3.446
24-Jun-09,4.239
25-Jun-09,1.382
26-Jun-09,0
27-Jun-09,0.708
28-Jun-09,8.142
29-Jun-09,21.504
30-Jun-09,3.604
1-Jul-09,0.361
2-Jul-09,1.201
3-Jul-09,39.457
4-Jul-09,0.588
5-Jul-09,10.255
6-Jul-09,0
7-Jul-09,0
8-Jul-09,36.27
9-Jul-09,17.581
10-Jul-09,0
11-Jul-09,0
12-Jul-09,5.179
13-Jul-09,0
14-Jul-09,0.35
15-Jul-09,0.469
16-Jul-09,0
17-Jul-09,0
18-Jul-09,9.55
19-Jul-09,0.511
20-Jul-09,0
21-Jul-09,0
22-Jul-09,15.485
23-Jul-09,0
24-Jul-09,23.78
25-Jul-09,29.16
26-Jul-09,0.179
27-Jul-09,3.833
28-Jul-09,0.001
29-Jul-09,0
30-Jul-09,4.486
31-Jul-09,2.429
1-Aug-09,15.309
2-Aug-09,0
3-Aug-09,0.19
4-Aug-09,0
5-Aug-09,0
6-Aug-09,0
7-Aug-09,0
8-Aug-09,1.347
9-Aug-09,0
10-Aug-09,0
11-Aug-09,0.427
12-Aug-09,2.368
13-Aug-09,0
14-Aug-09,0
15-Aug-09,0
16-Aug-09,0
17-Aug-09,0
18-Aug-09,0
19-Aug-09,0
20-Aug-09,0
21-Aug-09,0
22-Aug-09,9.252
23-Aug-09,0.089
24-Aug-09,40.281
25-Aug-09,4.36
26-Aug-09,0
27-Aug-09,0
28-Aug-09,0
29-Aug-09,13.796
30-Aug-09,26.332
31-Aug-09,0.315
1-Sep-09,0
2-Sep-09,0
3-Sep-09,0
4-Sep-09,0
5-Sep-09,0
6-Sep-09,0
7-Sep-09,0
8-Sep-09,0
9-Sep-09,0
10-Sep-09,0
11-Sep-09,0
12-Sep-09,0
13-Sep-09,1.447
14-Sep-09,6.394
15-Sep-09,0.243
16-Sep-09,0
17-Sep-09,0
18-Sep-09,0
19-Sep-09,0
20-Sep-09,0
21-Sep-09,0
22-Sep-09,0
23-Sep-09,0
24-Sep-09,0.601
25-Sep-09,0
26-Sep-09,0
27-Sep-09,1.454
28-Sep-09,24.887
29-Sep-09,11.569
30-Sep-09,0.061
1-Oct-09,0
2-Oct-09,0.14
3-Oct-09,0.902
4-Oct-09,44.424
5-Oct-09,0.011
6-Oct-09,0.575
7-Oct-09,5.215
8-Oct-09,16.872
9-Oct-09,0.001
10-Oct-09,4.862
11-Oct-09,0
12-Oct-09,0
13-Oct-09,2.773
14-Oct-09,3.403
15-Oct-09,0
16-Oct-09,0
17-Oct-09,0
18-Oct-09,0
19-Oct-09,13.181
20-Oct-09,0
21-Oct-09,0
22-Oct-09,1.219
23-Oct-09,0.006
24-Oct-09,6.512
25-Oct-09,30.283
26-Oct-09,0
27-Oct-09,0
28-Oct-09,0
29-Oct-09,0.287
30-Oct-09,0
31-Oct-09,0.485
1-Nov-09,2.089
2-Nov-09,0
3-Nov-09,0
4-Nov-09,0
5-Nov-09,0.905
6-Nov-09,2.465
7-Nov-09,0
8-Nov-09,0
9-Nov-09,0
10-Nov-09,0
11-Nov-09,0
12-Nov-09,0
13-Nov-09,0
14-Nov-09,0
15-Nov-09,125.741
16-Nov-09,0
17-Nov-09,0
18-Nov-09,0
19-Nov-09,0
20-Nov-09,0.042
21-Nov-09,10.859
22-Nov-09,0
23-Nov-09,0
24-Nov-09,0
25-Nov-09,0
26-Nov-09,1.575
27-Nov-09,0.504
28-Nov-09,49.779
29-Nov-09,0.007
30-Nov-09,0
1-Dec-09,2.738
2-Dec-09,0
3-Dec-09,22.567
4-Dec-09,10.156
5-Dec-09,0
6-Dec-09,10.316
7-Dec-09,0
8-Dec-09,0
9-Dec-09,0
10-Dec-09,46.315
11-Dec-09,0
12-Dec-09,0
13-Dec-09,0.001
14-Dec-09,18.327
15-Dec-09,0
16-Dec-09,0
17-Dec-09,0
18-Dec-09,0
19-Dec-09,0
20-Dec-09,0
21-Dec-09,0.567
22-Dec-09,0
23-Dec-09,0
24-Dec-09,0
25-Dec-09,0
26-Dec-09,0
27-Dec-09,8.548
28-Dec-09,35.963
29-Dec-09,6.156
30-Dec-09,0
