system:time_start,LST_Day_1km
1-Jan-08,
2-Jan-08,"13,397.19"
3-Jan-08,"12,860.68"
4-Jan-08,
5-Jan-08,"13,196.31"
6-Jan-08,"13,594.11"
7-Jan-08,
8-Jan-08,"14,001.55"
9-Jan-08,
10-Jan-08,"13,705.75"
11-Jan-08,
12-Jan-08,"13,390.72"
13-Jan-08,
14-Jan-08,
15-Jan-08,"13,433.01"
16-Jan-08,"13,366.14"
17-Jan-08,"13,188.31"
18-Jan-08,
19-Jan-08,"13,528.46"
20-Jan-08,"13,304.44"
21-Jan-08,"13,138.69"
22-Jan-08,"13,446.48"
23-Jan-08,"13,493.47"
24-Jan-08,
25-Jan-08,"13,208.74"
26-Jan-08,"13,379.18"
27-Jan-08,
28-Jan-08,"13,439.11"
29-Jan-08,
30-Jan-08,
31-Jan-08,"13,570.42"
1-Feb-08,
2-Feb-08,"13,767.15"
3-Feb-08,
4-Feb-08,
5-Feb-08,
6-Feb-08,
7-Feb-08,
8-Feb-08,
9-Feb-08,
10-Feb-08,
11-Feb-08,"13,173.24"
12-Feb-08,"13,238.28"
13-Feb-08,
14-Feb-08,"13,568.92"
15-Feb-08,"13,582.40"
16-Feb-08,"13,299.06"
17-Feb-08,"13,267.76"
18-Feb-08,
19-Feb-08,"13,774.20"
20-Feb-08,"13,446.55"
21-Feb-08,"13,351.07"
22-Feb-08,
23-Feb-08,
24-Feb-08,"13,583.50"
25-Feb-08,"13,735.94"
26-Feb-08,
27-Feb-08,
28-Feb-08,
29-Feb-08,"13,248.47"
1-Mar-08,
2-Mar-08,"13,567.37"
3-Mar-08,
4-Mar-08,
5-Mar-08,
6-Mar-08,"13,694.55"
7-Mar-08,
8-Mar-08,
9-Mar-08,"13,652.70"
10-Mar-08,
11-Mar-08,"13,606.82"
12-Mar-08,
13-Mar-08,"13,438.41"
14-Mar-08,
15-Mar-08,
16-Mar-08,
17-Mar-08,"13,707.78"
18-Mar-08,"13,786.79"
19-Mar-08,
20-Mar-08,
21-Mar-08,
22-Mar-08,"13,684.33"
23-Mar-08,"13,694.25"
24-Mar-08,"13,744.04"
25-Mar-08,"13,690.82"
26-Mar-08,
27-Mar-08,"13,625.69"
28-Mar-08,
29-Mar-08,
30-Mar-08,"13,816.35"
31-Mar-08,
1-Apr-08,
2-Apr-08,"13,903.78"
3-Apr-08,"13,981.96"
4-Apr-08,
5-Apr-08,
6-Apr-08,
7-Apr-08,"14,178.32"
8-Apr-08,"14,287.77"
9-Apr-08,
10-Apr-08,
11-Apr-08,
12-Apr-08,
13-Apr-08,
14-Apr-08,"14,223.77"
15-Apr-08,"14,467.89"
16-Apr-08,"14,591.30"
17-Apr-08,"14,630.78"
18-Apr-08,"14,878.73"
19-Apr-08,"14,759.54"
20-Apr-08,"14,282.37"
21-Apr-08,"14,592.84"
22-Apr-08,"14,268.73"
23-Apr-08,"15,017.82"
24-Apr-08,"14,825.01"
25-Apr-08,"14,682.86"
26-Apr-08,"14,681.89"
27-Apr-08,
28-Apr-08,
29-Apr-08,
30-Apr-08,"14,411.67"
1-May-08,"14,280.02"
2-May-08,"14,526.91"
3-May-08,
4-May-08,
5-May-08,"14,791.21"
6-May-08,"14,122.73"
7-May-08,"14,854.57"
8-May-08,"14,529.37"
9-May-08,
10-May-08,
11-May-08,"14,642.78"
12-May-08,"13,815"
13-May-08,"14,208.27"
14-May-08,"14,886.38"
15-May-08,
16-May-08,
17-May-08,
18-May-08,"14,845.54"
19-May-08,"14,601.22"
20-May-08,"14,581.01"
21-May-08,"14,622.03"
22-May-08,
23-May-08,"14,730.70"
24-May-08,
25-May-08,"14,921.98"
26-May-08,"14,683.76"
27-May-08,"14,945.28"
28-May-08,"14,738.17"
29-May-08,"14,845.34"
30-May-08,"14,848.83"
31-May-08,
1-Jun-08,"14,811.42"
2-Jun-08,
3-Jun-08,
4-Jun-08,
5-Jun-08,
6-Jun-08,
7-Jun-08,"14,300.91"
8-Jun-08,"15,270.06"
9-Jun-08,
10-Jun-08,"14,849.49"
11-Jun-08,"15,022.16"
12-Jun-08,"14,759.57"
13-Jun-08,"15,111.89"
14-Jun-08,"14,647.37"
15-Jun-08,
16-Jun-08,
17-Jun-08,
18-Jun-08,"14,748.62"
19-Jun-08,"14,686.05"
20-Jun-08,"14,911.20"
21-Jun-08,"14,645.22"
22-Jun-08,"14,729.12"
23-Jun-08,
24-Jun-08,"15,027.68"
25-Jun-08,"14,835.69"
26-Jun-08,"14,886.29"
27-Jun-08,"14,749.75"
28-Jun-08,
29-Jun-08,
30-Jun-08,
1-Jul-08,"14,995.85"
2-Jul-08,
3-Jul-08,"14,988.97"
4-Jul-08,"14,938.64"
5-Jul-08,"14,942.24"
6-Jul-08,"14,978.36"
7-Jul-08,"14,873.95"
8-Jul-08,"15,198.68"
9-Jul-08,"15,042.95"
10-Jul-08,"15,147.25"
11-Jul-08,
12-Jul-08,"14,887.98"
13-Jul-08,"14,924.15"
14-Jul-08,
15-Jul-08,"15,172.27"
16-Jul-08,"15,089.99"
17-Jul-08,"15,133.92"
18-Jul-08,
19-Jul-08,
20-Jul-08,
21-Jul-08,
22-Jul-08,"14,872.82"
23-Jul-08,
24-Jul-08,
25-Jul-08,"14,808.77"
26-Jul-08,"15,045.88"
27-Jul-08,
28-Jul-08,"14,921.78"
29-Jul-08,"14,987.04"
30-Jul-08,"14,995.49"
31-Jul-08,
1-Aug-08,
2-Aug-08,
3-Aug-08,"14,679.45"
4-Aug-08,
5-Aug-08,"14,711.25"
6-Aug-08,
7-Aug-08,
8-Aug-08,
9-Aug-08,"14,657.82"
10-Aug-08,"14,715.69"
11-Aug-08,
12-Aug-08,
13-Aug-08,"14,815.59"
14-Aug-08,"14,864.56"
15-Aug-08,"14,862.98"
16-Aug-08,"14,918.31"
17-Aug-08,"14,870.09"
18-Aug-08,"15,012.32"
19-Aug-08,
20-Aug-08,"14,747.13"
21-Aug-08,"14,918.64"
22-Aug-08,"14,954.16"
23-Aug-08,"14,975.81"
24-Aug-08,
25-Aug-08,"14,772.04"
26-Aug-08,"14,674.04"
27-Aug-08,"14,901.40"
28-Aug-08,
29-Aug-08,
30-Aug-08,"14,855.42"
31-Aug-08,"14,784.94"
1-Sep-08,"14,937.52"
2-Sep-08,"14,566.76"
3-Sep-08,"14,901.85"
4-Sep-08,"15,043.49"
5-Sep-08,"14,867.99"
6-Sep-08,
7-Sep-08,"14,738.15"
8-Sep-08,
9-Sep-08,
10-Sep-08,"14,612.58"
11-Sep-08,"14,470.31"
12-Sep-08,
13-Sep-08,"14,663.32"
14-Sep-08,
15-Sep-08,"14,566.06"
16-Sep-08,
17-Sep-08,"14,696.79"
18-Sep-08,"14,568.02"
19-Sep-08,"14,460.59"
20-Sep-08,"14,510.59"
21-Sep-08,"14,728.06"
22-Sep-08,"14,548.16"
23-Sep-08,"14,471.17"
24-Sep-08,"14,634.34"
25-Sep-08,"14,256.13"
26-Sep-08,
27-Sep-08,
28-Sep-08,
29-Sep-08,"14,514.33"
30-Sep-08,
1-Oct-08,
2-Oct-08,"14,319.15"
3-Oct-08,
4-Oct-08,
5-Oct-08,"14,485.28"
6-Oct-08,"13,997"
7-Oct-08,"14,459.79"
8-Oct-08,"14,206.62"
9-Oct-08,"14,583.86"
10-Oct-08,"14,635.96"
11-Oct-08,"14,536.69"
12-Oct-08,"14,529.54"
13-Oct-08,
14-Oct-08,
15-Oct-08,"14,386.30"
16-Oct-08,
17-Oct-08,"14,355.26"
18-Oct-08,"14,198.46"
19-Oct-08,
20-Oct-08,"14,280.25"
21-Oct-08,
22-Oct-08,
23-Oct-08,
24-Oct-08,"14,310.69"
25-Oct-08,
26-Oct-08,
27-Oct-08,"14,495.20"
28-Oct-08,
29-Oct-08,
30-Oct-08,
31-Oct-08,"14,154.53"
1-Nov-08,"13,788.95"
2-Nov-08,"13,979.28"
3-Nov-08,"13,953.74"
4-Nov-08,"14,349.31"
5-Nov-08,
6-Nov-08,
7-Nov-08,
8-Nov-08,
9-Nov-08,
10-Nov-08,
11-Nov-08,"13,914.14"
12-Nov-08,"13,968.39"
13-Nov-08,
14-Nov-08,
15-Nov-08,
16-Nov-08,
17-Nov-08,"13,993.73"
18-Nov-08,"13,847.27"
19-Nov-08,"13,625.99"
20-Nov-08,"13,652.82"
21-Nov-08,"13,627.83"
22-Nov-08,"13,339.97"
23-Nov-08,"13,612.60"
24-Nov-08,"13,711.41"
25-Nov-08,
