system:time_start,vpd
1-Jan-08,0.155
2-Jan-08,0.174
3-Jan-08,0.063
4-Jan-08,0.096
5-Jan-08,0.168
6-Jan-08,0.188
7-Jan-08,0.156
8-Jan-08,0.261
9-Jan-08,0.26
10-Jan-08,0.307
11-Jan-08,0.19
12-Jan-08,0.272
13-Jan-08,0.29
14-Jan-08,0.165
15-Jan-08,0.162
16-Jan-08,0.157
17-Jan-08,0.152
18-Jan-08,0.182
19-Jan-08,0.264
20-Jan-08,0.245
21-Jan-08,0.189
22-Jan-08,0.199
23-Jan-08,0.251
24-Jan-08,0.197
25-Jan-08,0.177
26-Jan-08,0.242
27-Jan-08,0.14
28-Jan-08,0.172
29-Jan-08,0.162
30-Jan-08,0.197
31-Jan-08,0.285
1-Feb-08,0.2
2-Feb-08,0.189
3-Feb-08,0.217
4-Feb-08,0.218
5-Feb-08,0.117
6-Feb-08,0.125
7-Feb-08,0.144
8-Feb-08,0.11
9-Feb-08,0.116
10-Feb-08,0.109
11-Feb-08,0.152
12-Feb-08,0.121
13-Feb-08,0.072
14-Feb-08,0.193
15-Feb-08,0.167
16-Feb-08,0.153
17-Feb-08,0.124
18-Feb-08,0.123
19-Feb-08,0.232
20-Feb-08,0.239
21-Feb-08,0.177
22-Feb-08,0.137
23-Feb-08,0.137
24-Feb-08,0.179
25-Feb-08,0.203
26-Feb-08,0.15
27-Feb-08,0.122
28-Feb-08,0.152
29-Feb-08,0.152
1-Mar-08,0.116
2-Mar-08,0.215
3-Mar-08,0.175
4-Mar-08,0.222
5-Mar-08,0.21
6-Mar-08,0.256
7-Mar-08,0.212
8-Mar-08,0.167
9-Mar-08,0.354
10-Mar-08,0.299
11-Mar-08,0.253
12-Mar-08,0.255
13-Mar-08,0.327
14-Mar-08,0.23
15-Mar-08,0.223
16-Mar-08,0.228
17-Mar-08,0.303
18-Mar-08,0.345
19-Mar-08,0.212
20-Mar-08,0.21
21-Mar-08,0.309
22-Mar-08,0.292
23-Mar-08,0.346
24-Mar-08,0.313
25-Mar-08,0.322
26-Mar-08,0.33
27-Mar-08,0.383
28-Mar-08,0.192
29-Mar-08,0.234
30-Mar-08,0.317
31-Mar-08,0.255
1-Apr-08,0.277
2-Apr-08,0.606
3-Apr-08,0.502
4-Apr-08,0.264
5-Apr-08,0.347
6-Apr-08,0.299
7-Apr-08,0.38
8-Apr-08,0.442
9-Apr-08,0.442
10-Apr-08,0.517
11-Apr-08,0.397
12-Apr-08,0.388
13-Apr-08,0.402
14-Apr-08,0.466
15-Apr-08,0.582
16-Apr-08,0.62
17-Apr-08,0.58
18-Apr-08,0.916
19-Apr-08,0.696
20-Apr-08,0.446
21-Apr-08,0.458
22-Apr-08,0.496
23-Apr-08,0.623
24-Apr-08,0.736
25-Apr-08,0.725
26-Apr-08,0.568
27-Apr-08,0.403
28-Apr-08,0.369
29-Apr-08,0.307
30-Apr-08,0.577
1-May-08,0.588
2-May-08,0.615
3-May-08,0.418
4-May-08,0.363
5-May-08,0.605
6-May-08,0.765
7-May-08,0.871
8-May-08,0.845
9-May-08,0.694
10-May-08,0.586
11-May-08,0.734
12-May-08,0.662
13-May-08,0.775
14-May-08,0.851
15-May-08,0.673
16-May-08,0.819
17-May-08,0.8
18-May-08,0.711
19-May-08,0.632
20-May-08,0.615
21-May-08,0.586
22-May-08,0.664
23-May-08,0.713
24-May-08,0.841
25-May-08,0.97
26-May-08,0.798
27-May-08,0.976
28-May-08,0.783
29-May-08,0.872
30-May-08,0.772
31-May-08,0.465
1-Jun-08,0.634
2-Jun-08,0.653
3-Jun-08,0.689
4-Jun-08,0.412
5-Jun-08,0.55
6-Jun-08,0.374
7-Jun-08,0.426
8-Jun-08,0.886
9-Jun-08,0.837
10-Jun-08,0.637
11-Jun-08,0.811
12-Jun-08,0.854
13-Jun-08,0.875
14-Jun-08,0.805
15-Jun-08,0.441
16-Jun-08,0.456
17-Jun-08,0.579
18-Jun-08,0.547
19-Jun-08,0.503
20-Jun-08,0.569
21-Jun-08,0.602
22-Jun-08,0.61
23-Jun-08,0.52
24-Jun-08,0.857
25-Jun-08,0.843
26-Jun-08,0.747
27-Jun-08,0.694
28-Jun-08,0.52
29-Jun-08,0.549
30-Jun-08,0.568
1-Jul-08,0.798
2-Jul-08,0.617
3-Jul-08,0.727
4-Jul-08,0.762
5-Jul-08,0.65
6-Jul-08,0.514
7-Jul-08,0.631
8-Jul-08,0.69
9-Jul-08,0.715
10-Jul-08,0.854
11-Jul-08,0.805
12-Jul-08,0.735
13-Jul-08,0.638
14-Jul-08,0.718
15-Jul-08,0.979
16-Jul-08,0.857
17-Jul-08,0.884
18-Jul-08,0.821
19-Jul-08,0.946
20-Jul-08,0.844
21-Jul-08,0.683
22-Jul-08,0.655
23-Jul-08,0.581
24-Jul-08,0.569
