Location,Year,Number,Population,Rate
,,,,
,,,," (per 100,000)"
Islesboro,2017,43,548,7846.7
Islesboro,2013,37,557,6642.7
Islesboro,2018,20,548,3649.6
North Haven,2015,9,367,2452.3
North Haven,2014,8,363,2203.9
Islesboro,2016,11,548,2007.3
North Haven,2017,6,369,1626.0
Vinalhaven,2017,15,"1,182",1269.0
Penobscot,2017,14,"1,216",1151.3
Deer Isle,2017,22,"1,929",1140.5
Deer Isle,2018,22,"1,929",1140.5
Brooklin,2018,9,823,1093.6
Islesboro,2008,7,651,1075.3
Deer Isle,2013,20,"1,938",1032.0
Brooklin,2016,7,823,850.5
South Thomaston,2011,13,"1,576",824.9
Sedgwick,2017,10,"1,227",815.0
Georgetown,2016,8,"1,023",782.0
Deer Isle,2016,15,"1,929",777.6
Stonington,2017,8,"1,054",759.0
Saint George,2015,19,"2,608",728.5
Pownal,2016,11,"1,531",718.5
Bristol,2014,19,"2,709",701.4
Cornish,2014,10,"1,428",700.3
South Thomaston,2018,11,"1,579",696.6
Georgetown,2015,7,"1,025",682.9
Appleton,2018,9,"1,359",662.3
Sedgwick,2014,8,"1,215",658.4
Penobscot,2015,8,"1,217",657.4
Blue Hill,2014,17,"2,668",637.2
Mount Desert,2017,13,"2,042",636.6
South Thomaston,2017,10,"1,579",633.3
Readfield,2017,16,"2,583",619.4
Union,2016,14,"2,300",608.7
Mount Vernon,2018,10,"1,645",607.9
Bristol,2015,16,"2,669",599.5
Pownal,2014,9,"1,502",599.2
Smithfield,2017,6,"1,019",588.8
Mount Desert,2018,12,"2,042",587.7
Georgetown,2017,6,"1,023",586.5
Owls Head,2017,9,"1,552",579.9
South Thomaston,2010,9,"1,558",577.7
South Thomaston,2012,9,"1,567",574.3
Bowdoinham,2017,17,"2,961",574.1
Sedgwick,2018,7,"1,227",570.5
Milbridge,2016,7,"1,287",543.9
Saint George,2012,14,"2,589",540.7
Saint George,2017,14,"2,599",538.7
Blue Hill,2018,14,"2,622",533.9
Pownal,2009,8,"1,519",526.7
Wayne,2017,6,"1,143",524.9
Washington,2014,8,"1,525",524.6
Pownal,2018,8,"1,531",522.5
Southwest Harbor,2018,9,"1,756",512.5
Rockport,2015,17,"3,350",507.5
South Thomaston,2016,8,"1,579",506.6
Saint George,2013,13,"2,580",503.9
Castine,2015,6,"1,195",502.1
Lamoine,2017,8,"1,606",498.1
Saint George,2011,13,"2,621",496.0
Penobscot,2016,6,"1,216",493.4
Penobscot,2018,6,"1,216",493.4
Phippsburg,2016,11,"2,245",490.0
Mount Desert,2016,10,"2,042",489.7
Albion,2016,10,"2,050",487.8
Union,2011,11,"2,260",486.7
Addison,2017,6,"1,236",485.4
Castine,2016,6,"1,254",478.5
Castine,2017,6,"1,254",478.5
Castine,2018,6,"1,254",478.5
North Yarmouth,2013,17,"3,630",468.3
Pownal,2013,7,"1,496",467.9
Readfield,2018,12,"2,583",464.6
Deer Isle,2014,9,"1,940",463.9
Saint George,2018,12,"2,599",461.7
Trenton,2015,7,"1,518",461.1
Saint George,2009,12,"2,606",460.5
Blue Hill,2017,12,"2,622",457.7
Washington,2017,7,"1,532",456.9
East Machias,2015,6,"1,319",454.9
Orland,2016,10,"2,202",454.1
Rockport,2012,15,"3,310",453.2
Northport,2017,7,"1,545",453.1
Trenton,2016,7,"1,549",451.9
Bowdoinham,2013,13,"2,879",451.5
Owls Head,2016,7,"1,552",451.0
Hancock,2017,11,"2,447",449.5
Damariscotta,2016,10,"2,232",448.0
Appleton,2013,6,"1,340",447.8
Union,2012,10,"2,260",442.5
Owls Head,2011,7,"1,587",441.1
Albion,2017,9,"2,050",439.0
Stockton Springs,2017,7,"1,603",436.7
Mount Desert,2015,9,"2,066",435.6
Union,2017,10,"2,300",434.8
Vassalboro,2017,19,"4,400",431.8
Bar Harbor,2017,22,"5,148",427.4
Readfield,2013,11,"2,600",423.1
Rockport,2014,14,"3,325",421.1
Blue Hill,2016,11,"2,622",419.5
Dresden,2013,7,"1,673",418.4
Deer Isle,2015,8,"1,928",414.9
Searsmont,2016,6,"1,447",414.7
North Yarmouth,2009,15,"3,623",414.0
Warren,2014,20,"4,841",413.1
Newcastle,2016,7,"1,695",413.0
Orland,2015,9,"2,190",411.0
Jefferson,2011,10,"2,435",410.7
Dresden,2008,7,"1,707",410.1
North Yarmouth,2014,15,"3,675",408.2
Jefferson,2014,10,"2,452",407.8
Bristol,2016,11,"2,709",406.1
Surry,2018,6,"1,485",404.0
Jefferson,2016,10,"2,482",402.9
Southwest Harbor,2017,7,"1,756",398.6
South Thomaston,2009,6,"1,534",391.1
Woolwich,2016,12,"3,069",391.0
Cushing,2012,6,"1,543",388.9
Bowdoinham,2009,11,"2,829",388.8
Bar Harbor,2016,20,"5,148",388.5
South Thomaston,2013,6,"1,553",386.3
Bowdoin,2016,12,"3,126",383.9
Tremont,2018,6,"1,568",382.7
Blue Hill,2015,10,"2,627",380.7
Hope,2016,6,"1,580",379.7
Hope,2018,6,"1,580",379.7
Hope,2014,6,"1,584",378.8
Stockton Springs,2013,6,"1,587",378.1
Newfield,2016,6,"1,589",377.6
Baldwin,2018,6,"1,590",377.4
Damariscotta,2014,8,"2,158",370.7
Unity,2017,8,"2,162",370.0
Winthrop,2016,22,"5,947",369.9
Rockport,2008,13,"3,523",369.0
Bucksport,2017,18,"4,885",368.5
York,2009,47,"12,772",368.0
Nobleboro,2012,6,"1,646",364.5
Mount Vernon,2015,6,"1,647",364.3
Nobleboro,2013,6,"1,653",363.0
Camden,2017,17,"4,701",361.6
Thomaston,2015,10,"2,767",361.4
Dresden,2011,6,"1,674",358.4
Parsonsfield,2014,7,"1,956",357.9
Eliot,2009,22,"6,166",356.8
Bowdoinham,2008,10,"2,806",356.4
Manchester,2017,9,"2,525",356.4
Warren,2017,17,"4,786",355.2
Newcastle,2017,6,"1,695",354.0
Newcastle,2018,6,"1,695",354.0
Deer Isle,2012,7,"1,979",353.7
Limington,2016,14,"3,974",352.3
Litchfield,2017,13,"3,703",351.1
North Yarmouth,2018,13,"3,716",349.8
Sidney,2017,15,"4,311",347.9
Readfield,2015,9,"2,594",347.0
Saint George,2016,9,"2,599",346.3
Whitefield,2011,8,"2,312",346.0
Bowdoinham,2012,10,"2,893",345.7
Newcastle,2011,6,"1,736",345.6
Belgrade,2016,11,"3,195",344.3
Belgrade,2011,11,"3,205",343.2
Whitefield,2017,8,"2,336",342.5
Machias,2017,7,"2,069",338.3
Bowdoinham,2016,10,"2,961",337.7
Saint George,2008,9,"2,676",336.3
North Yarmouth,2011,12,"3,585",334.7
Rockport,2011,11,"3,295",333.8
Bristol,2013,9,"2,703",333.0
Chelsea,2011,9,"2,713",331.7
Benton,2017,9,"2,731",329.5
Rockport,2017,11,"3,358",327.6
Newcastle,2009,6,"1,836",326.8
North Yarmouth,2015,12,"3,678",326.3
North Yarmouth,2017,12,"3,716",322.9
Freeport,2017,26,"8,076",321.9
West Bath,2014,6,"1,864",321.9
Vassalboro,2013,14,"4,352",321.7
Kittery,2008,32,"9,981",320.6
Phippsburg,2008,7,"2,200",318.2
Winthrop,2013,19,"5,974",318.0
Orland,2012,7,"2,218",315.6
Damariscotta,2017,7,"2,232",313.6
Damariscotta,2018,7,"2,232",313.6
Canaan,2017,7,"2,240",312.5
West Gardiner,2017,11,"3,521",312.4
